"","GSE30577_Rabies_vs_Control"
"100008567",2.7585
"100012",0.3329
"100017",2.4265
"100019",-3.1329
"100034251",3.7275
"100034360",0.7666
"100036521",-1.5438
"100036523",0.0457
"100036526",-0.5029
"100036537",1.3933
"100036538",-1.0765
"100036539",1.549
"100037258",2.63615
"100038384",0.4612
"100038440",0.3827
"100038467",3.365
"100038489",-0.9785
"100038566",-0.6482
"100038614",2.6124
"100038725",-0.478
"100038753",2.5099
"100038862",1.23945
"100038882",4.8877
"100039027",3.2481
"100039222",0.8547
"100039225",1.1279
"100039436",-1.4854
"100039673",0.9436
"100039681",-0.4393
"100039691",0.2518
"100039706",-1.8984
"100039727",1.875
"100039795",-0.2325
"100039901",5.9969
"100039957",2.1971
"100039968",-1.4779
"100040201",-0.0562
"100040214",1.5771
"100040268",1.8664
"100040293",1.6116
"100040328",0.4411
"100040421",1.7758
"100040447",0.7436
"100040529",0.2005
"100040557",-0.2242
"100040598",0.5718
"100040710",0.925
"100040736",-0.5361
"100040766",-0.2571
"100040843",1.883
"100040851",2.2888
"100040882",-2.0347
"100040972",0.5913
"100041244",2.5217
"100041251",-0.6263
"100041311",-1.704
"100041677",1.2174
"100042056",1.9896
"100042165",-0.4992
"100042178",1.7722
"100042277",0.2339
"100042408",-1.311
"100042444",0.3457
"100042450",0.4739
"100042480",-0.3214
"100042484",2.4758
"100042498",4.1787
"100042584",-3.1809
"100042679",-0.1099
"100042680",1.5086
"100042786",1.07155
"100042802",1.654
"100042889",-0.46695
"100042940",1.9567
"100043040",0.1643
"100043057",0.8815
"100043074",-3.9901
"100043099",-0.4011
"100043133",-0.3443
"100043147",-2.3094
"100043189",1.0508
"100043232",-1.2706
"100043251",2.0034
"100043272",-1.7077
"100043305",-1.262
"100043315",3.1302
"100043335",0.3027
"100043468",-1.4356
"100043489",-0.81645
"100043597",0.747
"100043609",2.1827
"100043636",3.1101
"100043772",-0.779
"100043812",1.3302
"100043817",-2.1578
"100043831",2.464
"100043861",0.1327
"100043902",0.1609
"100043911",-2.1626
"100044509",-1.3588
"100045066",1.9065
"100048534",-0.2339
"100048658",1.8023
"100048917",1.5779
"100049077",0.0897
"100049162",-0.2472
"100049165",-0.5642
"100049166",4.1307
"100061",1.968
"100066",0.1784
"100073351",0.8238
"100087",-0.2117
"100088",-0.9208
"100090",-4.3725
"100093714",2.2794
"100102",-0.0546
"100113398",-0.4047
"100121",2.7766
"100125931",-0.6083
"100129",2.6569
"100134986",-0.3221
"100137011",-0.5438
"100141474",3.177
"100163",0.2923
"100169",1.7352
"100174921",0.7567
"100177",0.8344
"100182",4.1947
"100198",3.3852
"100206",-0.8875
"100210",3.7545
"100213",-2.40975
"100216455",0.1878
"100217419",1.1367
"100217468",1.0161
"100226",-0.1649
"100233207",0.8453
"100273",1.21345
"100294583",0.4217
"100302499",2.1234
"100302730",-2.64945
"100303644",1.9069
"100303738",0.0845
"100303741",1.7221
"100306874",-0.8343
"100310872",-0.3848
"100312477",1.3834
"100312484",-0.1758
"100317",0.14345
"100328574",-0.6321
"100336",0.833
"100340",2.9756
"100342",2.2717
"100379143",0.6179
"100379610",1.7629
"100379660",-0.2584
"100379665",0.6204
"100380944",-1.1614
"100381257",0.7768
"100415785",-0.753
"100415913",-0.874
"100415915",0.8821
"100415971",0.6063
"100416706",-0.0809
"100416830",1.2572
"100417675",-0.0741
"100434",-1.5798
"100465",4.7332
"100470",2.6091
"100473",-0.1249
"100494",1.3133
"100502590",-1.2657
"100502643",-0.3958
"100502670",-2.1088
"100502698",-0.4446
"100502700",0.4291
"100502723",2.4038
"100502841",-1.6133
"100502846",-1.5762
"100502861",-0.0734
"100502876",0.1928
"100502936",-0.0905
"100502940",-1.2303
"100502942",-0.1677
"100502945",0.4734
"100503019",1.018
"100503040",2.4143
"100503041",0.2109
"100503044",0.6368
"100503068",0.2037
"100503082",0.6395
"100503185",0.2898
"100503209",0.4623
"100503311",0.912
"100503337",3.1946
"100503359",-0.4871
"100503361",-1.148
"100503386",-2.9641
"100503460",2.7909
"100503495",-1.1937
"100503519",1.5296
"100503582",-0.5678
"100503613",-0.8194
"100503661",0.2334
"100503670",1.58925
"100503676",1.8781
"100503727",3.8458
"100503759",-0.6689
"100503767",3.1072
"100503812",-0.70955
"100503842",2.0328
"100503849",-1.7956
"100503859",-0.8619
"100503884",-2.043
"100503890",0.24165
"100503895",-0.1341
"100503915",2.4063
"100503969",-0.7798
"100503970",0.9547
"100503991",0.2389
"100504007",1.023
"100504029",-2.1222
"100504061",-0.52
"100504140",-0.3699
"100504145",0.5499
"100504162",-0.3562
"100504166",-0.0583
"100504177",-0.0328
"100504178",0.521
"100504202",2.3128
"100504221",1.0555
"100504229",-1.0239
"100504231",0.7583
"100504249",-0.0661
"100504265",-0.1723
"100504283",-0.3297
"100504323",-1.7195
"100504389",-2.7781
"100504404",2.9442
"100504446",2.0732
"100504454",-0.7969
"100504461",-2.6023
"100504464",-0.1604
"100504474",-1.1016
"100504486",3.1129
"100504493",0.7928
"100504538",-1.8482
"100504539",0.2302
"100504561",0.8956
"100504568",1.4108
"100504601",0.7627
"100504632",0.6538
"100504641",0.1953
"100504661",0.1221
"100504663",0.54065
"100504703",0.4137
"100504720",-2.091
"100504734",1.86105
"100529079",1.442
"100529082",6.6806
"100532",0.230766666666667
"100532729",-0.7512
"100534273",1.4525
"100534287",-0.34105
"100534296",-0.2811
"100561",-0.0103
"100604",2.6048
"100608",5.4086
"100609",-0.07375
"100647",-0.1211
"100678",-3.35405
"100683",-1.57156666666667
"100689",1.17745
"100689703",-1.1284
"100702",4.3863
"100705",0.19665
"100710",0.7073
"100715",2.9163
"100727",0.9376
"100737",-3.59705
"100756",0.1185
"100855",-0.22435
"100861531",2.09555
"100861861",2.0378
"100861913",-0.2001
"100862085",0.5021
"100900",0.857
"100910",2.2912
"100929",0.71275
"100952",2.1052
"100972",-0.5266
"100978",2.27325
"100986",-0.992266666666667
"101023",2.0753
"101055782",0.682
"101055840",0.6289
"101055907",-1.6939
"101056014",0.3252
"101095",-0.6866
"101118",0.0395
"101122",-0.5766
"101142",0.563
"101148",-0.0629
"101187",4.4993
"101197",-0.9084
"101202",-2.6327
"101206",-0.794466666666667
"101214",-1.11566666666667
"101240",0.4361
"101320",1.2295
"101351",0.5342
"101358",2.07205
