"","GSE30577_Rabies_vs_Control"
"100008567",2.2846
"100012",0.2362
"100017",3.9443
"100019",-3.2097
"100034251",5.0422
"100034360",0.6707
"100036521",-0.9952
"100036523",0.0364
"100036526",-0.5512
"100036537",0.8598
"100036538",-0.8257
"100036539",1.6484
"100037258",3.1785
"100038384",0.2803
"100038440",0.2099
"100038467",1.2508
"100038489",-1.0442
"100038566",-0.3664
"100038614",4.284
"100038725",-0.4883
"100038753",2.4973
"100038862",0.8127
"100038882",5.5542
"100039027",1.7967
"100039222",0.5904
"100039225",0.9485
"100039436",-1.0682
"100039673",0.5412
"100039681",-0.5042
"100039691",0.2711
"100039706",-1.0512
"100039727",1.3168
"100039795",-0.151
"100039901",3.9959
"100039957",1.4035
"100039968",-0.8413
"100040201",-0.0621
"100040214",1.427
"100040268",1.2738
"100040293",0.7615
"100040328",0.3288
"100040421",1.298
"100040447",0.8556
"100040529",0.09915
"100040557",-0.182
"100040598",0.4853
"100040710",0.4644
"100040736",-0.4826
"100040766",-0.1714
"100040843",2.0743
"100040851",4.2248
"100040882",-0.8133
"100040972",0.428
"100041244",2.4831
"100041251",-0.266
"100041311",-0.9398
"100041677",1.3648
"100042056",1.3749
"100042165",-0.2801
"100042178",0.868
"100042277",0.2607
"100042408",-1.0437
"100042444",0.3206
"100042450",0.357
"100042480",-0.2253
"100042484",1.9834
"100042498",5.1742
"100042584",-2.1677
"100042679",-0.0847
"100042680",0.8127
"100042786",0.8859
"100042802",2.4285
"100042889",-0.2902
"100042940",2.8066
"100043040",0.1255
"100043057",0.5227
"100043074",-2.2171
"100043099",-0.2847
"100043133",-0.15545
"100043147",-1.7807
"100043189",1.1945
"100043232",-1.0138
"100043251",1.3584
"100043272",-1.2978
"100043305",-0.892
"100043315",1.6137
"100043335",0.3266
"100043468",-0.5205
"100043489",-0.44975
"100043597",0.905933333333333
"100043609",1.9508
"100043636",3.6242
"100043772",-0.6713
"100043812",0.6127
"100043817",-1.0667
"100043831",1.3492
"100043861",0.1532
"100043902",0.0794
"100043911",-1.4348
"100044509",-0.6611
"100045066",0.7925
"100048534",-0.127366666666667
"100048658",3.1084
"100048917",1.3505
"100049077",0.0715
"100049162",-0.1716
"100049165",-0.4161
"100049166",5.268
"100061",1.0747
"100066",0.1262
"100073351",0.9489
"100087",-0.2201
"100088",-0.7011
"100090",-3.9218
"100093714",1.5888
"100102",-0.0546
"100113398",-0.2656
"100121",3.579
"100125931",-0.7573
"100129",1.6055
"100134986",-0.1564
"100137011",-0.4155
"100141474",2.851
"100163",0.336
"100169",1.573
"100174921",0.37935
"100177",0.4371
"100182",4.5528
"100198",3.9891
"100206",-0.556
"100210",3.4587
"100213",-1.13565
"100216455",0.166
"100217419",0.7215
"100217468",0.8217
"100226",-0.281
"100233207",0.5191
"100273",0.72855
"100294583",0.61625
"100302499",2.9776
"100302730",-1.3904
"100303644",2.6399
"100303738",0.0703
"100303741",2.2426
"100306874",-0.5761
"100310872",-0.2276
"100312477",0.6417
"100312484",-0.1612
"100317",0.12915
"100328574",-0.477
"100336",0.80275
"100340",4.1107
"100342",3.2363
"100379143",0.2753
"100379610",1.727
"100379660",-0.2121
"100379665",0.6519
"100380944",-0.6161
"100381257",0.6835
"100415785",-0.7192
"100415913",-0.6087
"100415915",0.6133
"100415971",0.4817
"100416706",-0.0528
"100416830",1.0622
"100417675",-0.0635
"100434",-1.7929
"100465",5.3455
"100470",3.7087
"100473",-0.072
"100494",1.1882
"100502590",-0.6161
"100502643",-0.2889
"100502670",-1.2812
"100502698",-0.9149
"100502700",1.40155
"100502723",1.814
"100502841",-1.142
"100502846",-1.0325
"100502861",-0.0845
"100502876",0.2451
"100502936",-0.0657
"100502940",-0.8464
"100502942",-0.1363
"100502945",0.6923
"100503019",0.9783
"100503040",1.2014
"100503041",0.0995
"100503044",0.7662
"100503068",0.2593
"100503082",0.4366
"100503185",0.1335
"100503209",0.395
"100503311",0.6926
"100503337",4.1535
"100503359",-0.289
"100503361",-0.7845
"100503386",-2.1662
"100503460",5.0299
"100503495",-0.7689
"100503519",2.1856
"100503582",-0.4254
"100503613",-0.6063
"100503661",0.1845
"100503670",1.73995
"100503676",2.2184
"100503727",1.9694
"100503759",-0.7845
"100503767",4.2544
"100503812",-0.6507
"100503842",1.9797
"100503849",-0.9771
"100503859",-0.4188
"100503884",-1.8482
"100503890",0.16635
"100503895",-0.0722
"100503915",3.6567
"100503969",-0.3797
"100503970",0.763
"100503991",0.3094
"100504007",0.4994
"100504029",-1.5931
"100504061",-0.57375
"100504140",-0.3067
"100504145",0.3396
"100504162",-0.2991
"100504166",-0.0421
"100504177",-0.0243
"100504178",0.3867
"100504202",1.2551
"100504221",0.5719
"100504229",-0.6086
"100504231",0.5763
"100504249",-0.0509
