"","GSE42264_Measles_vs_Control"
"100008567",0.1432
"100009600",-0.0634
"100012",0.0232
"100017",0.2999
"100019",-0.0068
"100034251",0.0324
"100034360",0.0537
"100034675",0.0563
"100034739",-0.1943
"100034748",0.243
"100036520",-0.0413
"100036521",0.0869
"100036523",-0.0539
"100036538",-0.055
"100036539",-0.0065
"100036768",-0.0056
"100037258",0.00798
"100037262",0.0853
"100037278",0.0819
"100038347",-0.1776
"100038358",-0.1212
"100038371",0.0904
"100038377",-0.0856
"100038392",0.1061
"100038394",-0.0158
"100038436",-0.2597
"100038489",0.0688
"100038525",-0.0636
"100038566",0.0465333333333333
"100038570",-0.0412
"100038571",0.0012
"100038599",-0.2386
"100038601",0.0025
"100038614",-0.0047
"100038645",-0.2555
"100038658",0.0346
"100038689",-0.249
"100038711",-0.0256
"100038725",-0.0151
"100038732",-0.0871
"100038743",0.1289
"100038746",-0.2401
"100038759",-0.0311
"100038761",-0.0701
"100038882",2.3902
"100039095",-0.0227
"100039186",-0.0427
"100039210",0.5926
"100039239",0.09545
"100039332",-0.0349
"100039359",-0.078
"100039495",0.021
"100039596",-0.009
"100039641",-9e-04
"100039684",-0.0238
"100039691",0.0033
"100039706",-0.0358
"100039781",-0.0953
"100039795",-0.451666666666667
"100039864",0.001
"100039968",0.1697
"100040049",-0.0459
"100040151",-0.0233
"100040201",-0.0518
"100040214",0.0342
"100040248",0.1102
"100040249",0.0494
"100040268",-0.0344
"100040294",0.3287
"100040322",-0.1696
"100040421",-0.057
"100040447",0.0144
"100040462",1.946
"100040529",-0.0711
"100040591",0.1298
"100040608",0.1418
"100040724",-0.1647
"100040766",-0.0391
"100040769",0.00588420666666667
"100040792",-0.3547
"100040822",-0.3297
"100040834",-0.0035
"100040882",0.0367
"100040972",-0.158
"100041194",0.1865
"100041241",-0.1071
"100041290",-0.0667
"100041347",-0.0664
"100041581",-0.09295
"100041660",-0.026
"100041979",-0.0831
"100042132",-0.3496
"100042150",-0.2602
"100042165",-0.0403666666666667
"100042173",-0.0991
"100042178",-0.1093
"100042194",0.0229
"100042198",3e-04
"100042277",0.1368
"100042332",0.1622
"100042416",0.0319
"100042480",-0.0705666666666667
"100042484",-0.0417
"100042498",-0.3425
"100042605",-0.062
"100042679",0.1995
"100042757",-0.0293
"100042770",0.027
"100042784",-0.025
"100042889",0.0315
"100042940",0.0392
"100043040",-0.1096
"100043057",-0.0046
"100043072",-0.0454
"100043102",-0.0599
"100043132",-0.0419
"100043133",0.1208
"100043189",0.0154
"100043213",-0.0534
"100043232",-0.0915
"100043270",-0.0461
"100043272",-0.2188
"100043305",0.0205
"100043315",-0.043
"100043332",0.1111
"100043335",0.0587
"100043424",-0.0222
"100043468",-0.0266
"100043489",0.049
"100043515",-0.0275
"100043597",-0.0402
"100043636",0.0867
"100043766",-0.0415
"100043772",-0.0034
"100043777",-0.0607
"100043812",-0.0802
"100043820",0.0391
"100043902",-0.1632
"100043911",-0.005575
"100044193",0.0257
"100044236",-0.10145
"100044509",-0.0253
"100045469",-0.0316
"100047123",-0.1017
"100048534",-0.0475666666666667
"100048658",0.0673
"100048701",0.0575
"100049077",0.1348
"100049161",-0.0469
"100049166",-0.0738
"100049168",-0.024
"100049789",0.1601
"100061",-0.05885
"100066",0.0322
"100072",0.10815
"100073351",0.2385
"100087",-0.0228
"100088",0.1318
"100090",-0.0435
"100102",0.1884
"100113398",-0.1262
"100121",0.182
"100125594",-0.0816
"100126030",-0.027
"100126226",-0.0132
"100126229",0.0133
"100126242",0.0082
"100126243",-0.0761
"100126244",-0.0551
"100126795",-0.0604
"100127111",0.17985
"100127433",-0.0794
"100129",0.0513
"100134986",0.0381
"100137011",0.0064
"100141474",-0.0048
"100163",-0.1645
"100165",0.056
"100169",0.1326
"100169874",0.0599
"100169878",-0.085
"100174921",0.0187
"100177",0.0822
"100182",-0.05595
"100198",-0.0537
"100201",-0.161833333333333
"100206",0.0233
"100210",0.0572
"100213",-0.04665
"100216343",0.0479
"100217446",0.0433
"100226",0.0291
"100270744",-0.0369
"100273",0.0887333333333333
"100302594",0.1565
"100302648",0.2192
"100302688",0.1096
"100303741",-0.0964
"100310872",-0.0697
"100316689",-0.2637
"100316700",0.0244
"100317",-0.02165
"100328574",-0.0321
"100329140",-0.0132
"100336",0.03605
"100340",-0.1967
"100342",0.0818
"100379143",-0.0764
"100379606",-0.0973
"100379608",-0.0705
"100379609",-0.0251
"100379610",-0.0026
"100379665",-0.0799
"100380944",-0.0965
"100381257",0.0545
"100382",0.3269
"100383",-0.0739
"100415785",-0.0075
"100415901",-0.0058
"100416145",-0.0316
"100416706",-0.0681
"100416830",-0.0329
"100417514",-0.0208
"100417675",0.001
"100434",-0.0032
"100463519",-0.0589
"100465",-0.0083
"100470",-0.061
"100473",-0.1131
"100494",-0.193633333333333
"100502590",-0.0416
"100502602",0.0814
"100502619",0.0389
"100502624",0.0541
"100502679",1.0522
"100502694",-0.018
"100502695",0.0756
"100502698",-0.0376
"100502700",0.0535
"100502723",-0.1176
"100502736",0.0853
"100502739",0.1208
"100502742",-0.0271
"100502745",-0.0415
"100502820",0.0683
"100502829",-0.1757
"100502834",-0.0462
"100502841",-0.0903
"100502861",-0.107
"100502888",-0.0128
"100502917",0.1169
"100502923",0.0031
"100502931",0.0164
"100502933",-0.1404
"100502936",-0.0505
"100502942",-0.0536
"100502950",-0.0685
"100502982",-0.0117
"100503007",0.0848
"100503019",0.0359
"100503043",0.0306
"100503044",-0.0508
"100503120",0.2605
"100503142",-0.0373
"100503166",-0.0366
"100503167",0.019
"100503178",0.0311
"100503185",-0.154366666666667
"100503197",-0.0304
"100503199",0.0575
"100503265",-0.0258
"100503289",-0.0078
"100503307",0.0103
"100503311",0.2796
"100503337",0.0711
"100503359",-0.0801
"100503380",-0.0811
"100503386",-0.0084
"100503392",-0.055
