"","GSE42264_Measles_vs_Control"
"100008567",0.0737346171669842
"100009600",0.0453018935334048
"100012",0.0617376200599718
"100017",0.0698465193190023
"100019",0.0504980151306008
"100034251",0.076541459957477
"100034360",0.077758470894874
"100034675",0.046200558017397
"100034739",0.0545571966080755
"100034748",0.0607971177662689
"100036520",0.0573451818939184
"100036521",0.0411750769959725
"100036523",0.0515789473684211
"100036538",0.0509731232622799
"100036539",0.0638506876227898
"100036768",0.0635641316685585
"100037258",0.0410863049916322
"100037262",0.053960020242915
"100037278",0.0469771710450843
"100038347",0.0321116676008462
"100038358",0.0730120481927711
"100038371",0.076043068640646
"100038377",0.0630153121319199
"100038392",0.0551140200509064
"100038394",0.0413287993722208
"100038436",0.107300747841177
"100038489",0.0491885322084793
"100038525",0.0720843250595036
"100038566",0.0654766524756672
"100038570",0.0456459118103257
"100038571",0.0566037735849057
"100038599",0.0672150543692602
"100038601",0.0520833333333333
"100038614",0.056422569027611
"100038645",0.047005795235029
"100038658",0.0660557464681176
"100038689",0.0715578929218036
"100038711",0.0428954423592493
"100038725",0.039119170984456
"100038732",0.0482575211923098
"100038743",0.0729319904945117
"100038746",0.0435935145341976
"100038759",0.0480160568164274
"100038761",0.0462859029382634
"100038882",0.212638002971345
"100039095",0.059799789251844
"100039186",0.0478699551569507
"100039210",0.128831688334275
"100039239",0.0683816384141188
"100039332",0.0622880599678743
"100039359",0.059095386014092
"100039495",0.0594059405940594
"100039596",0.0689655172413793
"100039641",0.0616438356164384
"100039684",0.0393909301555776
"100039691",0.0562180579216354
"100039706",0.0710176552271375
"100039781",0.0451316537222959
"100039795",0.0678260553741179
"100039864",0.0333333333333333
"100039968",0.0425825554551842
"100040049",0.0544940530211419
"100040151",0.052300785634119
"100040201",0.0475447452960073
"100040214",0.0362826225334182
"100040248",0.0588801025860227
"100040249",0.0562706458594373
"100040268",0.0537920250195465
"100040294",0.126622751261605
"100040322",0.0538224746913776
"100040421",0.0535512965050733
"100040447",0.0566929133858268
"100040462",0.184973955362914
"100040529",0.0497968903207732
"100040591",0.0695866616630033
"100040608",0.0572536035854161
"100040724",0.0400554501678097
"100040766",0.0488254095644223
"100040769",0.055362876502953
"100040792",0.059883171258779
"100040822",0.0570968412302577
"100040834",0.0438047559449312
"100040882",0.0636600173460538
"100040972",0.070567217507816
"100041194",0.056019464135528
"100041241",0.0477102637205987
"100041290",0.0679364432674679
"100041347",0.0476566425034092
"100041581",0.055093511856985
"100041660",0.0658394530260826
"100041979",0.055385230605172
"100042132",0.0563416599516519
"100042150",0.0693071944170684
"100042165",0.0424489622222895
"100042173",0.0731257378984652
"100042178",0.0477981370533957
"100042194",0.0587782340862423
"100042198",0.0714285714285714
"100042277",0.0471577786204281
"100042332",0.0445880881709471
"100042416",0.0519713261648745
"100042480",0.0753330361648971
"100042484",0.046343631918204
"100042498",0.0489656454172445
"100042605",0.0385956175298805
"100042679",0.0758872532237818
"100042757",0.0752053388090349
"100042770",0.0372876674492473
"100042784",0.0312226801548645
"100042889",0.0506517749511474
"100042940",0.0493267899836416
"100043040",0.0410994862564218
"100043057",0.0473738414006179
"100043072",0.0474265743323208
"100043102",0.0726500909642207
"100043132",0.0450828491499892
"100043133",0.0438969439296486
"100043189",0.0622977346278317
"100043213",0.0840662443433234
"100043232",0.0519561637612856
"100043270",0.0636300897170462
"100043272",0.0420461970098774
"100043305",0.049552816050278
"100043315",0.0755578984361272
"100043332",0.0470643056849953
"100043335",0.0643005805674225
"100043424",0.0580767360618797
"100043468",0.0377787246129811
"100043489",0.0613650594865373
"100043515",0.0508788159111933
"100043597",0.055817823956643
"100043636",0.126554147467111
"100043766",0.0451415603847614
"100043772",0.0576271186440678
"100043777",0.0551467248114836
"100043812",0.0657215438826518
"100043820",0.0654941373534338
"100043902",0.0795942255169723
"100043911",0.0573339338742993
"100044193",0.0527612399917881
"100044236",0.0925724058307729
"100044509",0.0737081938438502
"100045469",0.0603860118478884
"100047123",0.0453552156268118
"100048534",0.0673047557650089
"100048658",0.0856779121578612
"100048701",0.0620280474649407
"100049077",0.0473863676310331
"100049161",0.0552284503061705
"100049166",0.0563444503597713
"100049168",0.0521852576647097
"100049789",0.0800900450225112
"100061",0.0546338748350422
"100066",0.0466396292004635
"100072",0.0347369402788158
"100073351",0.0631905253954376
"100087",0.0302106797402942
"100088",0.0299246208337117
"100090",0.0331025036146412
"100102",0.0813858050023759
"100113398",0.0457345799811553
"100121",0.0589225589225589
"100125594",0.0579380857710878
"100126030",0.0614194722474977
"100126226",0.040133779264214
"100126229",0.046830985915493
"100126242",0.0606957809030348
"100126243",0.0509711989283322
"100126244",0.0516255973016022
"100126795",0.0435943702634428
"100127111",0.0525263079308025
"100127433",0.0359552597020332
"100129",0.039376727049432
"100134986",0.0597553324968632
"100137011",0.0533333333333333
"100141474",0.0524017467248908
"100163",0.0499726593353181
"100165",0.067275348390197
"100169",0.0367028343666962
"100169874",0.0741703813769193
"100169878",0.057397528529948
"100174921",0.0659611992945326
"100177",0.0406890406890407
"100182",0.0482952804276204
"100198",0.0302859398793074
"100201",0.0471553016306202
"100206",0.0339848308051342
"100210",0.0338321405335068
"100213",0.0433400820396461
"100216343",0.0597405836867049
"100217446",0.0651127819548872
"100226",0.0245590345176808
"100270744",0.0484760903836048
"100273",0.04038502141911
"100302594",0.0945847939078931
"100302648",0.0487089462690547
"100302688",0.0685428392745466
"100303741",0.0622096024780589
"100310872",0.0512424643434789
"100316689",0.0921158347015056
"100316700",0.055328798185941
"100317",0.0343253534699869
"100328574",0.0559818625741193
"100329140",0.074872376630743
"100336",0.0394197922851218
"100340",0.0868509360649947
"100342",0.0639162369120175
"100379143",0.0450312389484852
"100379606",0.0686516616101037
"100379608",0.0572286711583732
"100379609",0.078782172002511
"100379610",0.0753623188405797
"100379665",0.0481944342763994
"100380944",0.093029981683216
"100381257",0.0636533520205559
"100382",0.092548285461746
"100383",0.0353033377582775
"100415785",0.0545058139534884
"100415901",0.0668202764976958
"100416145",0.0604437643458301
"100416706",0.0467531442431408
"100416830",0.0878974084958589
"100417514",0.0628019323671498
"100417675",0.0512820512820513
"100434",0.0615384615384615
"100463519",0.078764375501471
"100465",0.0514051195549076
"100470",0.053293727066224
"100473",0.0782753131704616
"100494",0.0363696307036808
"100502590",0.0485018071586802
"100502602",0.072239971600994
"100502619",0.0602098358326463
"100502624",0.0588875585065854
"100502679",0.146897861171609
"100502694",0.0600200066688896
"100502695",0.0441588785046729
"100502698",0.0390405980687364
"100502700",0.0564643799472295
"100502723",0.060181157566143
"100502736",0.06093292378027
"100502739",0.0524169053197952
"100502742",0.0632291180587961
"100502745",0.056058354721059
"100502820",0.043233320673503
"100502829",0.0588353480896092
"100502834",0.0473118279569892
"100502841",0.0285208932124696
"100502861",0.056715785010071
"100502888",0.0464947330185252
"100502917",0.0610922393519728
"100502923",0.0711009174311927
"100502931",0.0543406229290921
"100502933",0.0430622009569378
"100502936",0.0565460295871098
"100502942",0.0740229250103577
"100502950",0.0542230665716774
"100502982",0.0556550543387453
"100503007",0.0680960411145909
"100503019",0.0591141116416927
"100503043",0.0314912009879592
"100503044",0.063366405404615
"100503120",0.0638370867743279
"100503142",0.087950954963452
"100503166",0.0556146482297523
"100503167",0.0722708254089007
"100503178",0.0357950761083224
"100503185",0.0556862834806703
"100503197",0.0609951845906902
"100503199",0.0365288101137158
"100503265",0.0677877036258539
"100503289",0.0594059405940594
"100503307",0.0431684828164292
"100503311",0.0757210561949899
"100503337",0.064002160410478
"100503359",0.0460159705865456
"100503380",0.0372959300988733
"100503386",0.0461031833150384
"100503392",0.0624857986821177
"100503447",0.0717659255846101
"100503470",0.0625512795467865
"100503471",0.0925581928677904
"100503474",0.0791335740072202
"100503481",0.0479843316468092
"100503490",0.0666666666666667
"100503495",0.0526315789473684
"100503518",0.0514046622833234
"100503538",0.0435389797091925
"100503546",0.0654545454545454
"100503572",0.0375375520523148
"100503582",0.0534372652141247
"100503594",0.0616621983914209
"100503622",0.0701101662156939
"100503652",0.0518392618671847
"100503659",0.0373244589106421
"100503661",0.071973602804702
"100503670",0.0380902915806136
"100503676",0.0649957188448665
"100503727",0.0468497576736672
"100503759",0.0486668392441108
"100503783",0.0645967166309779
"100503797",0.049329003002635
"100503802",0.0533382789317507
"100503812",0.0426433403949976
"100503827",0.0588661474370585
"100503842",0.0513350082965489
"100503849",0.072992700729927
"100503859",0.0778384432311354
"100503868",0.06519222567477
"100503869",0.050935751495273
"100503882",0.0498575498575499
"100503884",0.0287743006842844
"100503890",0.0457476346089313
"100503895",0.0518918918918919
"100503915",0.0620929222752931
"100503924",0.0470017381228273
"100503961",0.081315577078289
"100503969",0.0632118880591386
"100504029",0.0460407376160058
"100504061",0.0547539905616997
"100504116",0.0435786303810569
"100504121",0.102270496630243
"100504141",0.0665315956631256
"100504145",0.0408163265306122
"100504154",0.0577105763141229
"100504156",0.052617192838595
"100504162",0.0482545602890611
"100504164",0.0515198351365276
"100504166",0.04
"100504221",0.0543248200931283
"100504229",0.0269537393567981
"100504231",0.056
"100504255",0.0627768149431928
"100504268",0.0633527487433176
"100504304",0.0601062026889617
"100504309",0.0411347517730496
"100504312",0.0641274776525457
"100504350",0.0582846746213083
"100504377",0.0603717472118959
"100504389",0.0389001107708347
"100504404",0.290789488870807
"100504412",0.0401413273564936
"100504421",0.0565217391304348
"100504446",0.0419054134952536
"100504454",0.0640854472630174
"100504455",0.0665188470066519
"100504457",0.0458419042021746
"100504461",0.0660491341119613
"100504464",0.0576735092864125
"100504474",0.0692316172417594
"100504486",0.0631142577670129
"100504497",0.0788025889967638
"100504512",0.0654411764705882
"100504538",0.0501280150923056
"100504549",0.0526173772261198
"100504561",0.0625151441725224
"100504586",0.04123371268349
"100504594",0.0724070450097847
"100504626",0.072463768115942
"100504628",0.0516246259085079
"100504637",0.0593041644702161
"100504663",0.0393835616438356
"100504687",0.0386137224638698
"100504714",0.0619469026548673
"100504715",0.0465343974438924
"100504734",0.0682556879739978
"100504740",0.0667903525046382
"100515",0.0486787269649389
"100526796",0.0649013499480789
"100532",0.0454766061591739
"100532730",0.0584470162280985
"100534641",0.0597208698474521
"100559",0.0818876554917164
"100561",0.0290430233606927
"100604",0.0599755824600672
"100608",0.0424232491228957
"100609",0.0406042268550134
"100616095",0.0399540097729233
"100637",0.0401901209313519
"100647",0.0671869271208737
"100653389",0.0679809653297077
"100675",0.0665300331073625
"100678",0.0280043083551316
"100683",0.0341482343810632
"100689",0.0497123321515684
"100689703",0.0429100637991356
"100702",0.205873861578436
"100705",0.0373165618448637
"100710",0.0356983923136085
"100715",0.044610003923516
"100727",0.0628135223555071
"100732",0.0764983435398052
"100737",0.0346004582222846
"100740",0.0430455015511893
"100756",0.0264220505617978
"100763",0.0299440574999592
"100764",0.0444131923966792
"100855",0.0350578053514688
"100861869",0.057103138533925
"100862268",0.0629770992366412
"100900",0.0475168309103327
"100910",0.0610647181628393
"100929",0.0530772305820204
"100952",0.0486593545202367
"100972",0.0402852635153742
"100978",0.0554383431283758
"100986",0.0566375545287617
"101023",0.0426983680360158
"101055670",0.0403930131004367
"101055769",0.0555952097707986
"101055782",0.0534305601590984
"101056065",0.0720853254873115
"101056236",0.0690393062281788
"101095",0.0451401302863401
"101100",0.0574079239430004
"101113",0.0391183132949991
"101118",0.0514559263119479
"101122",0.0412242348532167
"101142",0.0580600416129991
"101148",0.0446566604267156
"101185",0.0429863735257071
"101187",0.0566151416936757
"101197",0.0245535714285714
"101202",0.0648675414706611
"101206",0.0302664273881833
"101214",0.0740087948853731
"101240",0.0477024070964121
"101243624",0.0590928449744463
"101314",0.0263638619114215
"101351",0.0396721879213355
"101358",0.0311473778485421
"101359",0.0575663788598051
"101401",0.0581931449211711
"101434",0.0677472227281005
"101437",0.0376495258066053
"101471",0.0265787370103917
"101476",0.0518764942280792
"101488",0.0526256206416126
"101489",0.0430602229559966
"101490",0.0534656803009511
"101497",0.0526888331835596
"101502",0.0434796073209253
"101513",0.0382426360459311
"101533",0.0470117799632552
"101540",0.0678864804731604
"101543",0.0442477876106195
"101544",0.0448717948717949
"101565",0.0310308877941086
"101568",0.0306529797547762
"101592",0.035259183053146
"101602",0.0649099226879355
"101604",0.0485625485625486
"101612",0.0411587685460708
"101613",0.0604651162790698
"101631",0.0494460516526669
"101685",0.0586611448280022
"101694",0.0505687357816055
"101700",0.0427370948379352
"101706",0.0346964665995726
"101739",0.0379400936499785
"101744",0.0540458015267176
"101772",0.0473357560889064
"101786",0.0702115965924705
"101809",0.0428947080092035
"101831",0.0369872920756276
"101861",0.0353718428437792
"101867",0.0429306608884074
"101869",0.0427974275758615
"101883",0.0521186756076175
"101943",0.0293016289084441
"101966",0.0340302811824081
"101985",0.0352941176470588
"101994",0.0395616226322565
"102022",0.0557911030351975
