"","GSE42264_Measles_vs_Control"
"100008567",0.00543679376876172
"100009600",0.00205226155771194
"100012",0.00381153373066944
"100017",0.00487853626097975
"100019",0.00255004953213038
"100034251",0.00585859509242205
"100034360",0.00604637979590897
"100034675",0.00213449156111887
"100034739",0.0029764877017322
"100034748",0.00369628952868556
"100036520",0.00328846988644658
"100036521",0.00169538696562427
"100036523",0.00266038781163435
"100036538",0.00259825929511158
"100036539",0.00407691030990308
"100036768",0.00404039883477784
"100037258",0.00168808445786542
"100037262",0.0029116837846158
"100037278",0.00220685459939911
"100038347",0.00103115919610723
"100038358",0.00533075918130353
"100038371",0.005782548288286
"100038377",0.00397092956308329
"100038392",0.00303755520617172
"100038394",0.00170806965754928
"100038436",0.0115134504872758
"100038489",0.00241951170082461
"100038525",0.00519614991928417
"100038566",0.00428719201941929
"100038570",0.00208354926499603
"100038571",0.00320398718405126
"100038599",0.00451786353386261
"100038601",0.00271267361111111
"100038614",0.00318350629567553
"100038645",0.00220954478567747
"100038658",0.00436336164146023
"100038689",0.00512053203940831
"100038711",0.00184001897519568
"100038725",0.0015303095385111
"100038732",0.00232878835162623
"100038743",0.00531907523749155
"100038746",0.0019003945094433
"100038759",0.00230554171219838
"100038761",0.00214238481081034
"100038882",0.0452149203076418
"100039095",0.00357601479456496
"100039186",0.00229153260672847
"100039210",0.0165976039190599
"100039239",0.00467604847219928
"100039332",0.00387980241456151
"100039359",0.00349226464815454
"100039495",0.00352906577786492
"100039596",0.00475624256837099
"100039641",0.00379996246950647
"100039684",0.0015516453785216
"100039691",0.00316047003648036
"100039706",0.00504350735396057
"100039781",0.00203686616770922
"100039795",0.00460037378761291
"100039864",0.00111111111111111
"100039968",0.00181327402909384
"100040049",0.00296960181467102
"100040151",0.00273537217794607
"100040201",0.00226050280526221
"100040214",0.00131642869790251
"100040248",0.00346686648054055
"100040249",0.00316638558543821
"100040268",0.00289358195570352
"100040294",0.0160333211370583
"100040322",0.00289685878190398
"100040421",0.00286774135737427
"100040447",0.00321408642817286
"100040462",0.0342153641626013
"100040529",0.00247973028561912
"100040591",0.00484230348140129
"100040608",0.00327797512351597
"100040724",0.00160443908814589
"100040766",0.00238392061913358
"100040769",0.00306504809468123
"100040792",0.00358599420000826
"100040822",0.00326004927847325
"100040834",0.00191885664339498
