"","GSE42264_Measles_vs_Control"
"100008567",1.9421
"100009600",-1.3995
"100012",0.42245
"100017",4.2937
"100019",0.6498
"100034251",0.4233
"100034360",0.6906
"100034675",1.2186
"100034739",-3.5614
"100034748",3.9969
"100036520",-0.7202
"100036521",2.1105
"100036523",-1.045
"100036538",-1.079
"100036539",-0.1018
"100036768",-0.0881
"100037258",0.26846
"100037262",1.5808
"100037278",1.7434
"100038347",-5.5307
"100038358",-1.66
"100038371",1.1888
"100038377",-1.3584
"100038392",1.9251
"100038394",-0.3823
"100038436",-2.4203
"100038489",1.3987
"100038525",-0.8823
"100038566",0.701866666666667
"100038570",-0.9026
"100038571",0.0212
"100038599",-3.5498
"100038601",0.048
"100038614",-0.0833
"100038645",-5.4355
"100038658",0.5238
"100038689",-3.4797
"100038711",-0.5968
"100038725",-0.386
"100038732",-1.8049
"100038743",1.7674
"100038746",-5.5077
"100038759",-0.6477
"100038761",-1.5145
"100038882",11.2407
"100039095",-0.3796
"100039186",-0.892
"100039210",4.5998
"100039239",1.28105
"100039332",-0.5603
"100039359",-1.3199
"100039495",0.3535
"100039596",-0.1305
"100039641",-0.0146
"100039684",-0.6042
"100039691",0.0587
"100039706",-0.5041
"100039781",-2.1116
"100039795",-6.7321
"100039864",0.03
"100039968",3.9852
"100040049",-0.941266666666667
"100040151",-0.4455
"100040201",-1.0895
"100040214",0.9426
"100040248",1.8716
"100040249",0.8779
"100040268",-0.6395
"100040294",2.5959
"100040322",-3.1511
"100040421",-1.0644
"100040447",0.254
"100040462",10.5204
"100040529",-1.4278
"100040591",1.8653
"100040608",2.4767
"100040724",-4.1118
"100040766",-0.7711
"100040769",0.1143
"100040792",-5.9232
"100040822",-5.7744
"100040834",-0.0799
"100040882",0.5765
"100040972",-2.239
"100041194",3.3292
"100041241",-2.2448
"100041290",-0.9818
"100041347",-1.3933
"100041581",-1.6243
"100041660",-0.3949
"100041979",-1.5004
"100042132",-6.205
"100042150",-3.7543
"100042165",-0.880666666666667
"100042173",-1.3552
"100042178",-2.2867
"100042194",0.3896
"100042198",0.0042
"100042277",2.9009
"100042332",3.66695
"100042416",0.6138
"100042480",-0.881633333333333
"100042484",-0.8998
"100042498",-6.9947
"100042605",-1.6064
"100042679",2.6289
"100042757",-0.3896
"100042770",0.7241
"100042784",-0.8007
"100042889",0.3082
"100042940",0.7947
"100043040",-2.6667
"100043057",-0.0971
"100043072",-1.12
"100043102",-0.8245
"100043132",-0.9294
"100043133",2.7519
"100043189",0.2472
"100043213",-0.6975
"100043232",-1.7611
"100043270",-0.7245
"100043272",-5.2038
"100043305",0.4137
"100043315",-0.5691
"100043332",2.3606
"100043335",0.9129
"100043424",-0.3928
"100043468",-0.7041
"100043489",0.7985
"100043515",-0.5405
"100043597",-0.6836
"100043636",0.66225
"100043766",-0.9405
"100043772",-0.059
"100043777",-1.1007
"100043812",-1.2203
"100043820",0.597
"100043902",-2.0504
"100043911",-0.16155
"100044193",0.4871
"100044236",-1.1813
"100044509",-0.4367
"100045469",-0.5233
"100047123",-2.2423
"100048534",-0.712133333333333
"100048658",0.7855
"100048701",0.927
"100049077",2.8447
"100049161",-0.8492
"100049166",-1.3414
"100049168",-0.4599
"100049789",1.999
"100061",-1.0858
"100066",0.6904
"100072",3.10425
