"","GSE44331_VSV_vs_Control"
"100008567",-0.1186
"100009600",-0.0661
"100012",0.00045
"100017",0.0126
"100019",-0.12615
"100034251",0.3555
"100034360",0.0065
"100034675",-0.0575
"100034739",0.0766
"100034748",0.2125
"100036520",-0.0728
"100036521",0.0327
"100036523",-0.113
"100036538",-0.0324
"100036539",-0.1604
"100036768",0.0582
"100037258",0.06296
"100037262",-0.1027
"100037278",-0.0109
"100038347",-0.1999
"100038358",0.1099
"100038371",0.1506
"100038377",-0.0026
"100038392",0.0869
"100038394",0.0508
"100038436",-0.1536
"100038489",-0.1221
"100038525",-0.1683
"100038566",0.111633333333333
"100038570",-0.0338
"100038571",-0.0504
"100038599",-0.2241
"100038601",-0.071
"100038614",-0.1041
"100038645",-0.1244
"100038658",-0.2463
"100038689",-0.0934
"100038711",-0.0709
"100038725",0.1273
"100038732",-0.1731
"100038743",-0.0619
"100038746",0.0487
"100038759",-0.1611
"100038761",0.0646
"100038882",3.0056
"100039095",-0.0419
"100039186",0.0397
"100039210",-0.0259
"100039239",-0.2232
"100039332",0.1166
"100039359",-0.0424
"100039495",-0.1723
"100039596",-0.0391
"100039641",-0.132
"100039684",0.1847
"100039691",-0.0575
"100039706",0.1653
"100039781",-0.1247
"100039795",-0.137466666666667
"100039864",0.0996
"100039968",-0.1454
"100040049",-0.0495666666666667
"100040151",-0.0401
"100040201",0.1039
"100040214",-0.0243
"100040248",0.0021
"100040249",-0.0324
"100040268",-0.0538
"100040294",0.0502
"100040322",-0.0136
"100040421",-0.0192
"100040447",-0.1527
"100040462",2.1354
"100040529",-0.0061
"100040591",-0.0482
"100040608",0.1009
"100040724",-0.2439
"100040766",-0.1211
"100040769",0.0132333333333333
"100040792",0.1201
"100040822",0.0044
"100040834",-0.3581
"100040882",0.0289
"100040972",0.2914
"100041194",0.1876
"100041241",0.0113
"100041290",0.0277
"100041347",-0.0187
"100041581",0.0873
"100041660",-0.0411
"100041979",0.0331
"100042132",-0.123
"100042150",0.1629
"100042165",0.0195
"100042173",0.0524
"100042178",-0.0377
"100042194",0.0697
"100042198",-0.0847
"100042277",-0.1283
"100042332",-0.02035
"100042416",-0.0473
"100042480",0.118266666666667
"100042484",0.117
"100042498",0.1042
"100042605",-0.124
"100042679",0.0544
"100042757",-0.0394
"100042770",0.1223
"100042784",-0.1015
"100042889",-0.036
"100042940",-0.0585
"100043040",-0.0759
"100043057",0.0172
"100043072",-0.0238
"100043102",-0.0632
"100043132",0.195
"100043133",-0.0398
"100043189",0.2311
"100043213",-0.0651
"100043232",0.0754
"100043270",-0.0987
"100043272",-0.0414
"100043305",-0.1216
"100043315",0.045
"100043332",0.0064
"100043335",0.0955
"100043424",-0.0459
"100043468",0.002
"100043489",-0.2043
"100043515",0.0878
"100043597",-0.00395
"100043636",0.6961
"100043766",-0.1045
"100043772",0.0404
"100043777",0.0591
"100043812",0.0731
"100043820",-0.2973
"100043902",-0.0529
"100043911",-0.00365
"100044193",-0.0719
"100044236",-0.0923
"100044509",-0.12615
"100045469",-0.0813
"100047123",0.0253
"100048534",0.011
"100048658",0.0426
"100048701",0.0155
"100049077",0.1217
"100049161",0.1054
"100049166",-0.03275
"100049168",-0.0543
"100049789",0.09
"100061",-0.0669
"100066",-0.0695
"100072",0.0959
"100073351",0.122
"100087",-0.0083
"100088",-0.1211
"100090",-0.1162
"100102",0.0416
"100113398",-0.1096
"100121",0.1807
"100125594",-0.0045
"100126030",-0.1581
"100126226",-0.2149
"100126229",-0.1584
"100126242",0.098
"100126243",7e-04
"100126244",-0.0905
"100126795",-0.1741
"100127111",0.0498
"100127433",-0.1461
"100129",-0.1024
"100134986",-0.0529
"100137011",-0.0753
"100141474",-0.1242
"100163",-0.1495
"100165",0.0217
"100169",0.1434
"100169874",-0.0777
"100169878",-0.019
"100174921",-0.0096
"100177",0.023
"100182",0.1146
"100198",0.0284
"100201",-0.0756091666666667
"100206",-0.1341
"100210",-0.067
"100213",-0.0483
"100216343",-0.0488
"100217446",0.0839
"100226",0.0246
"100270744",-0.1172
"100273",0.0632
"100302594",-0.2059
"100302648",-0.0084
"100302688",-0.0751
"100303741",0.0041
"100310872",-0.0598
"100316689",-0.1895
"100316700",0.0912
"100317",-0.0343
"100328574",-0.1754
"100329140",-0.0195
"100336",0.0315
"100340",0.2899
"100342",-0.1467
"100379143",-0.0688
"100379606",-0.1116
"100379608",-0.1169
"100379609",-0.0217
"100379610",-0.1725
"100379665",0.0445
"100380944",0.1372
"100381257",0.0969
"100382",0.258133333333333
"100383",-0.07325
"100415785",-0.0391
"100415901",-0.1605
"100416145",0.1272
"100416706",0.17835
"100416830",0.1172
"100417514",-0.0677
"100417675",-0.0145
"100434",0.0051
"100463519",0.1051
"100465",-0.05075
"100470",-0.1326
"100473",0.2301
"100494",0.0440666666666667
"100502590",-0.0396
"100502602",-0.1526
"100502619",-0.2324
"100502624",0.0276
"100502679",0.1169
"100502694",0.055
"100502695",-0.1633
"100502698",-0.0786
"100502700",-0.0398
"100502723",0.0244
"100502736",-0.0598
"100502739",0.0647
"100502742",-0.175
"100502745",-0.058
"100502820",-0.0157
"100502829",-0.0471
"100502834",-0.0941
"100502841",0.1626
"100502861",-0.159
"100502888",0.0226
"100502917",-0.1431
"100502923",-0.0684
"100502931",-0.0995
"100502933",-0.1458
"100502936",0.03025
"100502942",-0.1644
"100502950",0.0609
"100502982",-0.24765
"100503007",0.1244
"100503019",-0.0135
"100503043",-0.0417
"100503044",0.0263
"100503120",0.1205
"100503142",-0.1848
"100503166",0.083
"100503167",-0.0382
"100503178",0.1147
"100503185",-0.0145333333333333
"100503197",0.0553
"100503199",0.1109
"100503265",-0.103
"100503289",-0.0688
"100503307",-0.0054
"100503311",-0.059
"100503337",0.3075
"100503359",-0.2251
"100503380",0.0491
"100503386",-0.124
"100503392",0.1114
"100503447",-0.009
"100503470",-0.2297
"100503471",0.0571
"100503474",0.021
"100503481",0.1149
"100503490",-0.145
"100503495",-0.0424
"100503518",0.1794
"100503538",0.0302
"100503546",0.063
"100503572",0.019
"100503582",0.0609
"100503594",0.0151
"100503622",0.0436
"100503652",-0.0645
"100503659",-0.1755
