"","GSE44331_VSV_vs_Control"
"100008567",0.101898788555718
"100009600",0.0853123386680434
"100012",0.0776193456105847
"100017",0.111504424778761
"100019",0.0753366722826039
"100034251",0.102591481011197
"100034360",0.188953488372093
"100034675",0.112042088854248
"100034739",0.105393505778756
"100034748",0.13504925325707
"100036520",0.099399235390497
"100036521",0.0673948887056884
"100036523",0.100061985300629
"100036538",0.0660550458715596
"100036539",0.112364273204904
"100036768",0.111451551129835
"100037258",0.0836657868221649
"100037262",0.0783311722980703
"100037278",0.0647653000594177
"100038347",0.0861155387067591
"100038358",0.0809278350515464
"100038371",0.0745138785809708
"100038377",0.103174603174603
"100038392",0.0960858027421495
"100038394",0.0666579189082798
"100038436",0.0969819421644147
"100038489",0.074656068480587
"100038525",0.113165680473373
"100038566",0.0875504746060615
"100038570",0.0641975308641975
"100038571",0.101962371029739
"100038599",0.104232558139535
"100038601",0.0905843327379433
"100038614",0.120737647877523
"100038645",0.0878717242353606
"100038658",0.131922870915908
"100038689",0.0611977460359062
"100038711",0.0614491246316519
"100038725",0.0874193105342673
"100038732",0.167944115649559
"100038743",0.0734979814770838
"100038746",0.064546056991385
"100038759",0.066048952482473
"100038761",0.116796239378051
"100038882",0.152290231049858
"100039095",0.0844247430989321
"100039186",0.068566493955095
"100039210",0.143173023770039
"100039239",0.0881156301826481
"100039332",0.0988805970149254
"100039359",0.0951312542068656
"100039495",0.0774625724947174
"100039596",0.0693508336289464
"100039641",0.112907364639466
"100039684",0.111770045385779
"100039691",0.0761993108931884
"100039706",0.117877772231334
"100039781",0.0893842735287793
"100039795",0.0787351812624729
"100039864",0.073761386358587
"100039968",0.065516153742171
"100040049",0.093593556912227
"100040151",0.0775478630825759
"100040201",0.0752081071299312
"100040214",0.0907732536421367
"100040248",0.075
"100040249",0.126414358174015
"100040268",0.0906945380984491
"100040294",0.0758651957080248
"100040322",0.095572733661279
"100040421",0.0788177339901478
"100040447",0.0746845348723467
"100040462",0.185051345378916
"100040529",0.100826446280992
"100040591",0.0862254025044723
"100040608",0.0660081119979066
"100040724",0.10265583568332
"100040766",0.067721759096969
"100040769",0.115044508038594
"100040792",0.152701843610935
"100040822",0.0810313075506446
"100040834",0.0854551962772939
"100040882",0.0983327662470228
"100040972",0.122767104819683
"100041194",0.115439049904621
"100041241",0.0700123915737299
"100041290",0.186531986531987
"100041347",0.0728476821192053
"100041581",0.082194318805314
"100041660",0.0513493253373313
"100041979",0.0937146092865232
"100042132",0.116764761723942
"100042150",0.0940694115608939
"100042165",0.0888261480991392
"100042173",0.0834129258198026
"100042178",0.11007299270073
"100042194",0.0885979407652218
"100042198",0.0749822946175637
"100042277",0.102722177742194
"100042332",0.0860675847874002
"100042416",0.0908218125960061
"100042480",0.122340777151303
"100042484",0.0729199127454036
"100042498",0.0793541999847689
"100042605",0.104341972399865
"100042679",0.0923285811269518
"100042757",0.139716312056738
"100042770",0.0625191698190369
"100042784",0.0815326532251587
"100042889",0.0713075793896677
"100042940",0.128148959474261
"100043040",0.062966650074664
"100043057",0.0852751611303917
"100043072",0.0720171407051879
"100043102",0.086705995335437
"100043132",0.0799082080072122
"100043133",0.0911798396334479
"100043189",0.128890128276631
"100043213",0.154098202477666
"100043232",0.0833057120760137
"100043270",0.0785765464533079
"100043272",0.0606682297772567
"100043305",0.0808349398391278
"100043315",0.0805152979066023
"100043332",0.0739030023094688
"100043335",0.0829857490441432
"100043424",0.0861622213299493
"100043468",0.105820105820106
"100043489",0.122123259011298
"100043515",0.094185797039262
"100043597",0.100797206289999
"100043636",0.111383642639235
"100043766",0.110439046626893
"100043772",0.0696671839972409
"100043777",0.0880250223413762
"100043812",0.0667275216795984
"100043820",0.106129297112055
"100043902",0.0696602580984988
"100043911",0.0746675570936286
"100044193",0.093207155820586
"100044236",0.163702442066881
"100044509",0.118887169673032
"100045469",0.106511201362505
"100047123",0.103816167418958
"100048534",0.0812924143750704
"100048658",0.0724366604318993
"100048701",0.124698310539019
"100049077",0.0785769628099174
"100049161",0.075366464068645
"100049166",0.120845091375373
"100049168",0.0666830406484097
"100049789",0.0752634219769192
"100061",0.0699525075982054
"100066",0.102462037446558
"100072",0.0745730499615716
"100073351",0.153304850464941
"100087",0.0776426566884939
"100088",0.0811716602989477
"100090",0.0637480798771121
"100102",0.122173274596182
"100113398",0.0859742704737998
"100121",0.0673876561625956
"100125594",0.0925925925925926
"100126030",0.0735177865612648
"100126226",0.115345392088455
"100126229",0.138003136434919
"100126242",0.0958154086820493
"100126243",0.0648148148148148
"100126244",0.128114382785957
"100126795",0.126572155579789
"100127111",0.0969903722836542
"100127433",0.120059166735147
"100129",0.104457819034989
"100134986",0.0665995215913383
"100137011",0.0923246689553703
"100141474",0.0963462881079823
"100163",0.0741788230624194
"100165",0.0837837837837838
"100169",0.0752597879710297
"100169874",0.104421448730009
"100169878",0.0932286555446516
"100174921",0.0929332042594385
"100177",0.0674684658257554
"100182",0.147977638050804
"100198",0.0632798573975045
"100201",0.077365814994176
"100206",0.103688239387613
"100210",0.0764927503139628
"100213",0.0739191377984871
"100216343",0.0886789024168635
"100217446",0.0871778886118038
"100226",0.0727595385980479
"100270744",0.106468023255814
"100273",0.0623850511438913
"100302594",0.114848282016957
"100302648",0.0709459459459459
"100302688",0.109268150734759
"100303741",0.142361111111111
"100310872",0.156462585034014
"100316689",0.10291082871728
"100316700",0.0754030591153369
"100317",0.0704624212218069
"100328574",0.124124265798599
"100329140",0.12588766946417
"100336",0.094468806542677
"100340",0.0727003711505668
"100342",0.125202696936076
"100379143",0.0966427869082736
"100379606",0.0733969089115423
"100379608",0.0786675639300135
"100379609",0.0777499104263705
"100379610",0.0735858715126696
"100379665",0.128088678930926
"100380944",0.0686549239391513
"100381257",0.0792832596956308
"100382",0.0824832063254012
"100383",0.0619165320602378
"100415785",0.0978478478478478
"100415901",0.100563909774436
"100416145",0.0774665042630938
"100416706",0.122191279399273
"100416830",0.0836067912683692
"100417514",0.0641037780513209
"100417675",0.104391648668107
"100434",0.070054945054945
"100463519",0.0656382712965276
"100465",0.0816801360985861
"100470",0.0674054493696625
"100473",0.0897741016737544
"100494",0.0674975062861747
"100502590",0.111927642736009
"100502602",0.0720320981826764
"100502619",0.123215653331759
"100502624",0.101210121012101
"100502679",0.101510941299062
"100502694",0.112520458265139
"100502695",0.104485251775545
"100502698",0.0519635065450218
"100502700",0.0910963607232776
"100502723",0.0721466587817859
"100502736",0.106367840626112
"100502739",0.126490713587488
"100502742",0.115108860093403
"100502745",0.114828746782815
"100502820",0.0920821114369501
"100502829",0.0984531772575251
"100502834",0.102127197742566
"100502841",0.0753056687662097
"100502861",0.0986229996278377
"100502888",0.0804556781772873
"100502917",0.0920138888888889
"100502923",0.11821638437608
"100502931",0.0926529472017879
"100502933",0.11983233336073
"100502936",0.0819653085514286
"100502942",0.08338405356056
"100502950",0.0903963188362773
"100502982",0.163916725944366
"100503007",0.158997955010225
"100503019",0.0710152551288795
"100503043",0.0554373836745546
"100503044",0.112712378372256
"100503120",0.102265976406688
"100503142",0.070151463386858
"100503166",0.0754545454545455
"100503167",0.0809836760652957
"100503178",0.0773785562644643
"100503185",0.0889704471936041
"100503197",0.084106463878327
"100503199",0.0745145467983605
"100503265",0.0821175157458343
"100503289",0.0788357969519881
"100503307",0.099264705882353
"100503311",0.0753897265525172
"100503337",0.0921845489702311
"100503359",0.0910782925348978
"100503380",0.0532653504013886
"100503386",0.0568129753504994
"100503392",0.0646696853593405
"100503447",0.0945378151260504
"100503470",0.0812493367762017
"100503471",0.116033326559642
"100503474",0.122235157159488
"100503481",0.092878506183817
"100503490",0.0811597447665958
"100503495",0.0820116054158607
"100503518",0.0672212230215827
"100503538",0.0635521885521886
"100503546",0.102123520829956
"100503572",0.0660131028407422
"100503582",0.0808442851453604
"100503594",0.103212576896787
"100503622",0.105237750422399
"100503652",0.124301406822124
"100503659",0.0823909341749801
"100503661",0.12772410694226
"100503670",0.0620341865748148
"100503676",0.0848933957358294
"100503727",0.0995316159250585
"100503759",0.0885558583106267
"100503783",0.110459095616155
"100503797",0.0823562730104786
"100503802",0.0730962080852397
"100503812",0.101934295363832
"100503827",0.100875473670456
"100503842",0.0818925136456906
