"","GSE44331_VSV_vs_Control"
"100008567",0.0103833631091229
"100009600",0.00727819512901093
"100012",0.00602476281301539
"100017",0.0124332367452424
"100019",0.00567561419061646
"100034251",0.0105250119760708
"100034360",0.0357034207679827
"100034675",0.0125534296748232
"100034739",0.0111077910603367
"100034748",0.0182383008052923
"100036520",0.00988020799621543
"100036521",0.00454207102365212
"100036523",0.0100124009023032
"100036538",0.00436326908509385
"100036539",0.0126257298928662
"100036768",0.0124214482492463
"100037258",0.00699996388457194
"100037262",0.00613577255358998
"100037278",0.00419454409178641
"100038347",0.00741588600675533
"100038358",0.0065493144861303
"100038371",0.00555231810117965
"100038377",0.0106449987402368
"100038392",0.00923248148860326
"100038394",0.0044432781531828
"100038436",0.00940549710598187
"100038489",0.00557352856097809
"100038525",0.0128064712370015
"100038566",0.00766508560374663
"100038570",0.00412132296905959
"100038571",0.0103963251060062
"100038599",0.0108644261763115
"100038601",0.00820552133757843
"100038614",0.0145775796149966
"100038645",0.00772143992009526
"100038658",0.0174036438706953
"100038689",0.00374516411987527
"100038711",0.00377599491799629
"100038725",0.00764213585428665
"100038732",0.0282052259813123
"100038743",0.00540195328120576
"100038746",0.00416619347313513
"100038759",0.00436246412403198
"100038761",0.013641361532855
"100038882",0.0231923144732192
"100039095",0.00712753724732068
"100039186",0.00470136409329408
"100039210",0.0204985147354561
"100039239",0.00776436428248521
"100039332",0.00977737246602807
"100039359",0.00904995552697128
"100039495",0.00600045013749935
"100039596",0.00480953812502981
"100039641",0.0127480729898294
"100039684",0.0124925430455391
"100039691",0.00580633498059679
"100039706",0.0138951691862223
"100039781",0.00798954835426764
"100039795",0.00619922876843446
"100039864",0.00544074211754074
"100039968",0.00429236640116778
"100040049",0.00875975389548228
"100040151",0.00601367106867394
"100040201",0.00565625937806721
"100040214",0.00823978357677969
"100040248",0.005625
"100040249",0.0159805899525481
"100040268",0.00822549924089104
"100040294",0.0057555279198169
"100040322",0.00913414741948977
"100040421",0.0062122351913417
"100040447",0.00557777974909877
"100040462",0.0342440004265468
"100040529",0.0101659722696537
"100040591",0.00743482003705825
"100040608",0.00435707084952818
"100040724",0.0105382205998408
"100040766",0.0045862366551879
"100040769",0.0132352388298422
"100040792",0.0233178530421783
"100040822",0.00656607280336715
"100040834",0.00730259057079082
"100040882",0.00966933291779162
"100040972",0.0150717620258071
"100041194",0.0133261742428816
"100041241",0.00490173497387328
"100041290",0.0347941819995692
"100041347",0.00530678479014078
"100041581",0.0067559060438696
"100041660",0.0026367532125991
"100041979",0.0087824279937257
"100042132",0.0136340095804488
"100042150",0.00884905419141284
"100042165",0.00789008458613021
"100042173",0.00695771619381989
"100042178",0.0121160637220949
"100042194",0.00784959510783775
"100042198",0.00562234450611513
"100042277",0.0105518458000988
"100042332",0.00740762915113632
"100042416",0.00824860164322406
"100042480",0.0149672657539849
"100042484",0.00531731367479727
"100042498",0.00629708905522269
"100042605",0.0108872472042943
"100042679",0.00852456689291612
"100042757",0.0195206478547357
"100042770",0.00390864659486157
"100042784",0.00664757354193398
"100042889",0.00508477087841376
"100042940",0.0164221558143357
"100043040",0.00396479902162518
"100043057",0.00727185310581426
"100043072",0.00518646855535084
"100043102",0.00751792962710882
"100043132",0.0063853217069239
"100043133",0.00831376315558128
"100043189",0.0166126651671665
"100043213",0.0237462560068477
"100043232",0.0069398416644917
"100043270",0.00617427365252885
"100043272",0.00368063410430602
"100043305",0.00653428749879542
"100043315",0.00648271319698891
"100043332",0.00546165375035336
"100043335",0.00688663454441751
"100043424",0.00742392838451118
"100043468",0.0111978947957784
"100043489",0.0149140903915405
"100043515",0.00887096436392105
"100043597",0.0101600767958687
"100043636",0.0124063158475849
"100043766",0.0121967830198569
"100043772",0.00485351652610542
"100043777",0.00774840455819978
"100043812",0.00445256214950127
"100043820",0.0112634277054989
"100043902",0.00485255155834947
"100043911",0.00557524408233029
"100044193",0.00868757389616299
"100044236",0.0267984895386605
"100044509",0.0141341591128644
"100045469",0.0113446360156841
"100047123",0.0107777966175611
"100048534",0.00660845663492815
"100048658",0.00524706977452629
"100048701",0.0155496686512855
"100049077",0.00617433908443113
"100049161",0.00568010390621035
"100049166",0.0146035361095223
"100049168",0.00444662791011746
"100049789",0.00566458268767581
"100061",0.00489335331927698
"100066",0.0104984691176998
"100072",0.00556113978057105
"100073351",0.0235023771760779
"100087",0.00602838213764733
"100088",0.00658883843568775
"100090",0.00406381768801867
"100102",0.0149263090255541
"100113398",0.00739157518350209
"100121",0.0045410962030882
"100125594",0.00857338820301783
"100126030",0.00540486494086769
"100126226",0.0133045594760394
"100126229",0.0190448656658749
"100126242",0.00918059254090813
"100126243",0.00420096021947874
"100126244",0.0164132950766267
"100126795",0.0160205105681144
"100127111",0.00940713231572183
"100127433",0.0144142035171377
"100129",0.0109114359575466
"100134986",0.00443549627619514
"100137011",0.00852384449771871
"100141474",0.00928260723218634
"100163",0.00550249779092572
"100165",0.00701972242512783
"100169",0.00566403568544435
"100169874",0.010903838954874
"100169878",0.0086915822146633
"100174921",0.00863658045392652
"100177",0.00455199388088112
"100182",0.0218973813630947
"100198",0.0040043403522485
"100201",0.00598546932971307
"100206",0.010751250987303
"100210",0.00585114085059425
"100213",0.00546403893287173
"100216343",0.0078639477338596
"100217446",0.00759998426281207
"100226",0.00529395045700082
"100270744",0.0113354399760005
"100273",0.00389189460622594
"100302594",0.0131901278822464
"100302648",0.00503332724616508
"100302688",0.0119395287649941
"100303741",0.0202666859567901
"100310872",0.0244805405155259
"100316689",0.0105906386672774
"100316700",0.00568562132395099
"100317",0.00496495280443934
"100328574",0.0154068333600412
"100329140",0.0158477053231202
"100336",0.00892435540959774
"100340",0.00528534396543016
"100342",0.0156757153200668
"100379143",0.00933982826139798
"100379606",0.00538710623776923
"100379608",0.00618858561468276
"100379609",0.00604504857130863
"100379610",0.00541488048627912
"100379665",0.0164067096702699
"100380944",0.00471349858109065
"100381257",0.00628583526796484
"100382",0.00680347932571871
