"","GSE44331_VSV_vs_Control"
"100008567",-1.1639
"100009600",-0.7748
"100012",0.00560000000000001
"100017",0.113
"100019",-1.6819
"100034251",3.4652
"100034360",0.0344
"100034675",-0.5132
"100034739",0.7268
"100034748",1.5735
"100036520",-0.7324
"100036521",0.4852
"100036523",-1.1293
"100036538",-0.4905
"100036539",-1.4275
"100036768",0.5222
"100037258",0.79524
"100037262",-1.3111
"100037278",-0.1683
"100038347",-2.3213
"100038358",1.358
"100038371",2.0211
"100038377",-0.0252
"100038392",0.9044
"100038394",0.7621
"100038436",-1.5838
"100038489",-1.6355
"100038525",-1.4872
"100038566",1.3402
"100038570",-0.5265
"100038571",-0.4943
"100038599",-2.15
"100038601",-0.7838
"100038614",-0.8622
"100038645",-1.4157
"100038658",-1.867
"100038689",-1.5262
"100038711",-1.1538
"100038725",1.4562
"100038732",-1.0307
"100038743",-0.8422
"100038746",0.7545
"100038759",-2.4391
"100038761",0.5531
"100038882",19.736
"100039095",-0.4963
"100039186",0.579
"100039210",-0.1809
"100039239",-2.6197
"100039332",1.1792
"100039359",-0.4457
"100039495",-2.2243
"100039596",-0.5638
"100039641",-1.1691
"100039684",1.6525
"100039691",-0.7546
"100039706",1.4023
"100039781",-1.3951
"100039795",-1.70076666666667
"100039864",1.3503
"100039968",-2.2193
"100040049",-0.5676
"100040151",-0.5171
"100040201",1.3815
"100040214",-0.2677
"100040248",0.028
"100040249",-0.2563
"100040268",-0.5932
"100040294",0.6617
"100040322",-0.1423
"100040421",-0.2436
"100040447",-2.0446
"100040462",11.5395
"100040529",-0.0605
"100040591",-0.559
"100040608",1.5286
"100040724",-2.3759
"100040766",-1.78525
"100040769",-0.100366666666667
"100040792",0.7865
"100040822",0.0543
"100040834",-4.1905
"100040882",0.2939
"100040972",2.3736
"100041194",1.6251
"100041241",0.1614
"100041290",0.1485
"100041347",-0.2567
"100041581",1.15095
"100041660",-0.8004
"100041979",0.3532
"100042132",-1.0534
"100042150",1.7317
"100042165",-0.0792000000000001
"100042173",0.6282
"100042178",-0.3425
"100042194",0.7867
"100042198",-1.1296
"100042277",-1.249
"100042332",-0.1991
"100042416",-0.5208
"100042480",0.175133333333333
"100042484",1.6045
"100042498",1.3131
"100042605",-1.1884
"100042679",0.5892
"100042757",-0.282
"100042770",1.9562
"100042784",-1.2449
"100042889",-0.4303
"100042940",-0.4565
"100043040",-1.2054
"100043057",0.2017
"100043072",-0.61885
"100043102",-0.7289
"100043132",2.4403
"100043133",-0.4365
"100043189",1.793
"100043213",-0.4593
"100043232",0.9051
"100043270",-1.2561
"100043272",-0.6824
"100043305",-1.5043
"100043315",0.5589
"100043332",0.0866
"100043335",1.1508
"100043424",-0.5308
"100043468",0.0189
"100043489",-1.6729
"100043515",0.9322
"100043597",0.01825
"100043636",6.156
"100043766",-0.99
"100043772",0.5799
"100043777",0.6714
"100043812",1.0955
"100043820",-2.8013
"100043902",-0.7594
"100043911",-0.13705
"100044193",-0.7714
"100044236",-0.52905
"100044509",-1.21975
"100045469",-0.7633
"100047123",0.2437
"100048534",0.254233333333333
"100048658",0.5881
"100048701",0.1243
"100049077",1.5488
"100049161",1.3985
"100049166",-0.21415
"100049168",-0.8143
"100049789",1.1958
"100061",-0.844
"100066",-0.6783
"100072",1.3683
"100073351",0.7958
"100087",-0.1069
"100088",-1.4919
"100090",-1.8228
"100102",0.3405
"100113398",-1.2748
"100121",2.6815
"100125594",-0.0486
"100126030",-2.1505
"100126226",-1.8631
"100126229",-1.1478
"100126242",1.0228
"100126243",0.0108
"100126244",-0.7064
"100126795",-1.3755
"100127111",0.5577
"100127433",-1.2169
"100129",-0.9803
"100134986",-0.7943
"100137011",-0.8156
"100141474",-1.2891
"100163",-2.0154
"100165",0.259
"100169",1.9054
"100169874",-0.7441
"100169878",-0.2038
"100174921",-0.1033
"100177",0.3409
"100182",0.7316
"100198",0.4488
"100201",-0.854666666666667
"100206",-1.2933
"100210",-0.8759
"100213",-0.6063
"100216343",-0.5503
"100217446",0.9624
"100226",0.3381
"100270744",-1.1008
"100273",1.0424
"100302594",-1.7928
"100302648",-0.1184
"100302688",-0.6873
"100303741",0.0288
"100310872",-0.3822
"100316689",-1.8414
"100316700",1.2095
"100317",-0.4751
"100328574",-1.4131
"100329140",-0.1549
"100336",0.24765
"100340",3.9876
"100342",-1.1717
"100379143",-0.7119
"100379606",-1.5205
"100379608",-1.486
"100379609",-0.2791
"100379610",-2.3442
"100379665",0.2465
"100380944",1.9984
"100381257",1.2222
"100382",3.05663333333333
"100383",-1.17735
"100415785",-0.3996
"100415901",-1.596
"100416145",1.642
"100416706",1.3559
"100416830",1.4018
"100417514",-1.0561
"100417675",-0.1389
"100434",0.0728
"100463519",1.6012
"100465",-0.565
"100470",-1.9672
"100473",2.5631
"100494",0.621366666666667
"100502590",-0.3538
"100502602",-2.1185
"100502619",-1.67335
"100502624",0.2727
"100502679",1.1516
"100502694",0.4888
"100502695",-1.5629
"100502698",-1.5126
"100502700",-0.4369
"100502723",0.3382
"100502736",-0.5622
"100502739",0.5115
"100502742",-1.5203
"100502745",-0.5051
"100502820",-0.1705
"100502829",-0.4784
"100502834",-0.9214
"100502841",2.1592
"100502861",-1.6122
"100502888",0.2809
"100502917",-1.5552
"100502923",-0.5786
"100502931",-1.0739
"100502933",-1.2167
"100502936",0.3129
"100502942",-1.9716
"100502950",0.6737
"100502982",-1.5091
"100503007",0.7824
"100503019",-0.1901
"100503043",-0.7522
"100503044",0.28395
"100503120",1.1783
"100503142",-2.6343
"100503166",1.1
"100503167",-0.4717
"100503178",1.4491
"100503185",-0.194233333333333
"100503197",0.6575
"100503199",1.4883
"100503265",-1.2543
"100503289",-0.8727
"100503307",-0.0544
"100503311",-0.7826
"100503337",3.3357
"100503359",-2.4715
"100503380",0.9218
"100503386",-2.1826
"100503392",1.7226
"100503447",-0.0952
"100503470",-2.8271
"100503471",0.4921
"100503474",0.1718
"100503481",1.2371
"100503490",-1.7866
"100503495",-0.517
"100503518",2.6688
"100503538",0.4752
"100503546",0.6169
"100503572",0.3122
"100503582",0.7533
"100503594",0.1463
"100503622",0.4143
"100503652",-0.5189
"100503659",-2.15245
"100503661",-0.8902
"100503670",0.17225
"100503676",-0.7692
"100503727",-1.8788
"100503759",0.0734
"100503783",-0.2897
"100503797",1.7655
"100503802",1.2764
"100503812",0.3257
"100503827",-0.7653
"100503842",0.8378
"100503849",-0.2343
"100503859",1.1568
"100503868",0.3349
"100503869",-0.256
"100503882",-0.5384
"100503884",0.1934
"100503890",-1.6009
"100503895",-1.1615
"100503915",-1.8937
"100503924",0.3094
"100503961",-1.3405
"100503969",-0.5458
"100504029",-0.648
"100504061",-1.40155
"100504116",-1.34395
"100504121",1.242
"100504141",-1.3209
"100504145",0.6393
"100504154",-1.8153
"100504156",-0.9565
"100504162",-1.2701
"100504164",-0.5869
"100504166",0.2948
"100504221",-0.7412
"100504229",0.8225
"100504231",-0.6931
"100504255",0.0335
"100504268",0.3304
"100504304",0.1113
"100504309",-0.8063
"100504312",0.6408
"100504350",-0.5782
"100504377",-1.8381
"100504389",0.0442
"100504404",-2.6247
"100504412",-0.7562
"100504421",0.7228
"100504446",-1.4796
"100504454",0.1619
"100504455",-1.7971
"100504457",0.3833
"100504461",-1.7709
"100504464",-0.9501
