"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"100008567",-0.027,-0.0529
"100009600",0.015,0.0899
"100012",-0.1365,-0.10105
"100017",0.3838,0.4863
"100019",-0.04375,-0.11345
"100034251",-0.0832,0.0224
"100034360",0.1073,0.063
"100034675",0.0065,-0.0496
"100034739",0.072,0.159
"100034748",-0.3437,-0.2739
"100036520",0.0893,0.0844
"100036521",-0.04,-0.0278
"100036523",0.0185,0.0222
"100036538",-0.0324,0.0696
"100036539",0.0408,0.1118
"100036768",0.0014,-0.0164
"100037258",0.05368,0.07514
"100037262",0.0096,-0.118
"100037278",-0.051,-0.2183
"100038347",0.0482,0.0758
"100038358",-0.026,-0.0736
"100038371",-0.1026,0.0131
"100038377",0.2378,0.244
"100038392",-0.0486,0.0269
"100038394",-0.0262,0.0137
"100038436",-0.0602,-0.0055
"100038489",-0.0251,0.1565
"100038525",-0.2307,-0.2618
"100038566",0.0256666666666667,-0.101066666666667
"100038570",-0.031,0.1252
"100038571",0.2116,0.1427
"100038599",-0.0862,-0.1778
"100038601",0.0481,0.0241
"100038614",0.0201,-0.1371
"100038645",0.0418,0.0629
"100038658",-0.1852,-0.0335
"100038689",-0.0675,-0.0321
"100038711",-0.123,0.0455
"100038725",-0.0129,0.086
"100038732",0.2439,0.3739
"100038743",-0.0127,0.0677
"100038746",0.037,0.0474
"100038759",-0.1243,-0.1767
"100038761",0.0738,0.0971
"100038882",0.6235,0.0761
"100039095",0.0455,0.1446
"100039186",-0.0593,-0.0883
"100039210",-0.1364,0.0229
"100039239",-0.0317,-0.077
"100039332",-0.1752,-0.1738
"100039359",-0.0267,0.0649
"100039495",0.0032,0.0335
"100039596",-0.0538,-0.1745
"100039641",0.008,-0.047
"100039684",-0.1883,0.0019
"100039691",-0.1678,-0.0775
"100039706",-0.0931,0.0056
"100039781",-0.1266,-0.1727
"100039795",0.0444,0.0854
"100039864",0.0157,-0.0955
"100039968",-0.2043,-0.0898
"100040049",0.0695333333333333,0.102366666666667
"100040151",0.1036,0.0146
"100040201",-0.1022,-0.0114
"100040214",0.0262,0.0075
"100040248",0.1355,0.1792
"100040249",-0.087,-0.1355
"100040268",0.0048,0.0088
"100040294",-0.0835,-0.1577
"100040322",0.0022,0.0611
"100040421",-0.0428,-0.0364
"100040447",-0.0507,0.0602
"100040462",0.3548,-0.0338
"100040529",0.0201,-0.0494
"100040591",0.0455,0.0167
"100040608",0.1374,0.0718
"100040724",-0.1073,-0.1894
"100040766",-0.18695,0.007
"100040769",-0.0154666666666667,0.127366666666667
"100040792",0.1432,-0.1637
"100040822",-0.0801,-0.0342
"100040834",-0.2674,-0.2118
"100040882",-0.2123,-0.0053
"100040972",0.3691,0.0519
"100041194",-0.0807,0.142
"100041241",-0.2468,-0.1919
"100041290",-0.0873,0.0909
"100041347",0.1455,0.1802
"100041581",-0.0293,-0.0033
"100041660",0.0379,-0.0382
"100041979",-0.1646,-0.157
"100042132",0.0648,0.1109
"100042150",-0.175,-0.0211
"100042165",0.0253333333333333,0.0141
"100042173",0.0543,0.1518
"100042178",0.1489,0.0331
"100042194",-0.2062,0.0518
"100042198",0.0093,0.0052
"100042277",-0.1439,-0.0825
"100042332",0.0965,0.08945
"100042416",-0.0266,0.0705
"100042480",0.0076,0.0746666666666667
"100042484",0.1487,-0.2938
"100042498",-0.0356,0.0385
"100042605",-0.0315,-0.0531
"100042679",0.1624,0.0676
"100042757",-0.1721,0.0346
"100042770",-0.055,-0.0732
"100042784",-0.251,-0.1206
"100042889",0.0592,0.0679
"100042940",-0.2113,-0.0843
"100043040",-0.0655,0.0193
"100043057",-0.2046,-0.0845
"100043072",0.1302,0.0613
"100043102",-0.1422,-0.2588
"100043132",0.1077,0.173
"100043133",-0.0062,-0.1185
"100043189",-0.0652,-0.0841
"100043213",0.13745,0.05285
"100043232",-0.0747,-0.1375
"100043270",0.0386,-0.034
"100043272",-0.0666,-0.0694
"100043305",0.0763,0.0343
"100043315",0.1425,0.092
"100043332",-0.0355,0.0354
"100043335",0.0238,-0.0064
"100043424",-0.0335,0.0868
"100043468",0.0776,0.1463
"100043489",0.0418,-0.0243
"100043515",-0.2066,-0.161
"100043597",0.30175,0.3224
"100043636",0.21125,0.04705
"100043766",0.00615,0.16325
"100043772",-0.1089,-0.2824
"100043777",-0.0122,0.1116
"100043812",-0.1083,-0.0092
"100043820",-0.0874,-0.0839
"100043902",-0.1016,-0.1088
"100043911",-0.01605,-0.01645
"100044193",-0.1544,-0.1319
"100044236",0.33435,0.35735
"100044509",-0.00975,-0.0494
"100045469",-0.1355,-0.1849
"100047123",-0.0475,-0.079
"100048534",0.0663,0.0156
"100048658",-0.1679,-0.325
"100048701",-0.0201,0.1139
"100049077",-0.1132,0.0483
"100049161",-0.0021,0.0502
"100049166",-0.1866,-0.07785
"100049168",0.0925,-0.0216
"100049789",-0.0823,-0.1243
"100061",0.05025,0.00675000000000001
"100066",-0.0565,0.0689
"100072",0.0204,-0.0155
"100073351",-0.0276,0.0723
"100087",0.0736,-0.0252
"100088",-0.0773,-0.0815
"100090",-0.0131,-0.1609
"100102",-0.1378,0.0885
"100113398",-0.1167,-0.0086
"100121",-0.0421,-0.0052
"100125594",0.1473,0.044
"100126030",0.0274,-0.0672
"100126226",-0.0579,-0.0519
"100126229",-0.1168,-0.0303
"100126242",-0.1348,-0.0626
"100126243",0.1977,0.0398
"100126244",-0.0498,-0.001
"100126795",-0.0601,0.21
"100127111",0.10405,0.14725
"100127433",-0.1186,-0.0664
"100129",-0.0346,-0.1225
"100134986",0.049,0.0362
"100137011",-0.3275,-0.2344
"100141474",0.1856,0.011
"100163",-0.0599,-0.0208
"100165",2e-04,-0.1342
"100169",-0.0129,0.096
"100169874",-0.0319,-0.0731
"100169878",0.0353,-0.1314
"100174921",-0.0895,-0.3069
"100177",-0.1119,-0.0042
"100182",0.05925,-0.0596
"100198",0.0393,-0.0452
"100201",0.0121,0.00483333333333333
"100206",0.0713,-0.041
"100210",-0.1207,-0.0485
"100213",0.0865,-0.0235
"100216343",-0.031,-0.0154
"100217446",0.2076,0.1713
"100226",-0.005,0.003
"100270744",-0.0247,-0.2909
"100273",-0.0614333333333333,-0.0253333333333333
"100302594",-0.2167,-0.3427
"100302648",-0.046,0.067
"100302688",-0.3583,-0.0697
"100303741",0.2376,-0.0827
"100310872",0.0316,-0.0367
"100316689",-0.1055,0.0286
"100316700",-0.2842,-0.2054
"100317",-0.00755,-0.01565
"100328574",0.1208,0.1671
"100329140",0.0505,0.17
"100336",-0.02605,-0.03895
"100340",-0.0542,-0.0491
"100342",-0.0361,0.0791
"100379143",0.0112,0.0466
"100379606",-0.0916,-0.0463
"100379608",-0.0957,0.0649
"100379609",-0.0328,-0.0709
"100379610",-0.025,-0.1077
"100379665",-0.05855,0.0515
"100380944",0.2437,0.1314
"100381257",-0.192,-0.1933
