"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"100008567",0.0728744939271255,0.0729353371018889
"100009600",0.0803427959292983,0.0802248795288238
"100012",0.0994555995721532,0.0993261554405304
"100017",0.25444179262795,0.25447409733124
"100019",0.0890695944097718,0.0891425723078141
"100034251",0.27910097282791,0.278953922789539
"100034360",0.180003355141755,0.180051443269506
"100034675",0.102685624012638,0.101910828025478
"100034739",0.18456805947193,0.184476157326836
"100034748",0.125865162778775,0.125832682501034
"100036520",0.129364044618282,0.129348659003831
"100036521",0.0817828664894705,0.0816206694069289
"100036523",0.0930583501006036,0.0930817610062893
"100036538",0.135564853556485,0.135698966660168
"100036539",0.115319389485585,0.115388584993291
"100036768",0.157303370786517,0.16015625
"100037258",0.118209254197632,0.118660895812939
"100037262",0.124191461836999,0.124027748581038
"100037278",0.0618331716779825,0.0617870991480569
"100038347",0.0594181459566075,0.0594416562107905
"100038358",0.130195292939409,0.130242434967262
"100038371",0.0984644913627639,0.0984222389181067
"100038377",0.157587806494367,0.157582020149832
"100038392",0.10606721955478,0.106072555205047
"100038394",0.135190918472652,0.135375494071146
"100038436",0.105263157894737,0.104364326375712
"100038489",0.1103781882146,0.110156964876469
"100038525",0.145322834645669,0.145323341659728
"100038566",0.105336269662256,0.105415995280316
"100038570",0.135194068905364,0.13538062283737
"100038571",0.136966793967247,0.136961320664171
"100038599",0.151016117729502,0.151100535395598
"100038601",0.0571191069944187,0.0570144310385616
"100038614",0.116319444444444,0.116472687112395
"100038645",0.113958560523446,0.113990576295759
"100038658",0.10083850593488,0.100691313495642
"100038689",0.107381482659879,0.107321965897693
"100038711",0.0702014725186919,0.0701943844492441
"100038725",0.088477366255144,0.0885958586586999
"100038732",0.261078998073218,0.261066890099148
"100038743",0.112788632326821,0.112776944860903
"100038746",0.108695652173913,0.108615948670944
"100038759",0.117419232949178,0.117471080973275
"100038761",0.155532139093783,0.155633915691617
"100038882",0.224944079659427,0.22501478415139
