"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"100008567",0.00531069186513465,0.00531956339816617
"100009600",0.00645496485773688,0.0064360312954143
"100012",0.00989141628625649,0.00986568515459641
"100017",0.0647406258357248,0.0647570662125495
"100019",0.00793339264832125,0.00794639819765386
"100034251",0.0778973530334858,0.0778152910396722
"100034360",0.0324012078622887,0.032418522223432
"100034675",0.0105443373788649,0.0103858168688385
"100034739",0.034065368577234,0.0340314526220756
"100034748",0.0158420392013274,0.0158338639854059
"100036520",0.0167350560400008,0.0167310755860895
"100036521",0.00668843725123455,0.00666193367443519
"100036523",0.00865985652344651,0.00866421423203196
"100036538",0.0183778295197913,0.0184142095526373
"100036539",0.0132985615913281,0.013314525546754
"100036768",0.0247443504608004,0.0256500244140625
"100037258",0.0139734277779603,0.0140804081951291
"100037262",0.0154235191932107,0.0153828824180813
"100037278",0.00382334111975886,0.00381764562113182
"100038347",0.00353051606892071,0.00353331049308181
"100038358",0.0169508143035786,0.0169630918662016
"100038371",0.00969525605932781,0.00968693711365288
"100038377",0.0248339167557061,0.0248320930745021
"100038392",0.0112502550640818,0.0112513869677278
"100038394",0.0182765844374793,0.018326524395007
"100038436",0.0110803324099723,0.010891912619856
"100038489",0.0121833444335376,0.0121345569107957
"100038525",0.0211187262694525,0.02111887363115
"100038566",0.0110957297063595,0.0111125320609395
"100038570",0.0182774362671883,0.0183279130398343
"100038571",0.0187599026496663,0.0187584033580739
"100038599",0.0228058678140909,0.0228313717968363
"100038601",0.00326259238383985,0.0032506453466509
"100038614",0.0135302131558642,0.0135658868431818
"100038645",0.0129865535165759,0.0129938514842393
"100038658",0.0101684042791788,0.0101387406134776
"100038689",0.0115307828182339,0.0115180043641456
"100038711",0.00492824674379265,0.00492725160820828
"100038725",0.0078282443394469,0.00784922617147233
"100038732",0.0681622432349152,0.0681559211060407
"100038743",0.0127212755821547,0.0127186392921591
"100038746",0.0118147448015123,0.0117974243056892
"100038759",0.0137872762663734,0.0137994548650297
"100038761",0.0241902462910878,0.0242219157135054
"100038882",0.0505998389738267,0.0506316530866965
"100039095",0.00394299416073086,0.00393886990017361
"100039186",0.00405530433701184,0.00405584789393473
"100039210",0.0352984389348026,0.0354070552141026
"100039239",0.0219597112816522,0.021974545261541
"100039332",0.00462784517273846,0.00462900585593812
