"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"100008567",-0.3705,-0.7253
"100009600",0.1867,1.1206
"100012",-1.7194,-1.3642
"100017",1.5084,1.911
"100019",-0.5508,-1.4003
"100034251",-0.2981,0.0803
"100034360",0.5961,0.3499
"100034675",0.0633,-0.4867
"100034739",0.3901,0.8619
"100034748",-2.7307,-2.1767
"100036520",0.6903,0.6525
"100036521",-0.4891,-0.3406
"100036523",0.1988,0.2385
"100036538",-0.239,0.5129
"100036539",0.3538,0.9689
"100036768",0.0089,-0.1024
"100037258",0.34276,0.5716
"100037262",0.0773,-0.9514
"100037278",-0.8248,-3.5331
"100038347",0.8112,1.2752
"100038358",-0.1997,-0.5651
"100038371",-1.042,0.1331
"100038377",1.509,1.5484
"100038392",-0.4582,0.2536
"100038394",-0.1938,0.1012
"100038436",-0.5719,-0.0527
"100038489",-0.2274,1.4207
"100038525",-1.5875,-1.8015
"100038566",0.411133333333333,-0.883266666666667
"100038570",-0.2293,0.9248
"100038571",1.5449,1.0419
"100038599",-0.5708,-1.1767
"100038601",0.8421,0.4227
"100038614",0.1728,-1.1771
"100038645",0.3668,0.5518
"100038658",-1.8366,-0.3327
"100038689",-0.6286,-0.2991
"100038711",-1.7521,0.6482
"100038725",-0.1458,0.9707
"100038732",0.9342,1.4322
"100038743",-0.1126,0.6003
"100038746",0.3404,0.4364
"100038759",-1.0586,-1.5042
"100038761",0.4745,0.6239
"100038882",2.7718,0.3382
"100039095",0.7246,2.304
"100039186",-0.9312,-1.3865
"100039210",-0.726,0.1217
"100039239",-0.36825,-0.74965
"100039332",-2.5754,-2.5545
"100039359",-0.2527,0.6144
"100039495",0.0233,0.2419
"100039596",-0.8716,-2.8271
"100039641",0.0634,-0.3744
"100039684",-1.3214,0.0133
"100039691",-2.4833,-1.1467
"100039706",-0.8725,0.0527
"100039781",-0.7886,-1.0755
"100039795",0.3214,0.594633333333333
"100039864",0.2928,-1.7828
"100039968",-1.2459,-0.5473
"100040049",0.492666666666667,0.730666666666667
"100040151",1.2757,0.1803
"100040201",-0.9361,-0.1041
"100040214",0.3416,0.0978
"100040248",2.1751,2.8769
"100040249",-1.7774,-2.7673
"100040268",0.0335,0.061
"100040294",-1.2782,-2.4159
"100040322",0.0117,0.3283
"100040421",-0.4686,-0.3979
"100040447",-1.2651,1.5014
"100040462",1.1944,-0.1139
"100040529",0.1388,-0.3406
"100040591",0.3315,0.1221
"100040608",1.5373,0.8027
"100040724",-0.3511,-0.6199
"100040766",-1.3399,0.21275
"100040769",-0.2193,1.54233333333333
"100040792",0.9366,-1.0707
"100040822",-0.7715,-0.3295
"100040834",-1.6975,-1.3445
"100040882",-4.2084,-0.1056
"100040972",2.0397,0.2867
"100041194",-0.3651,0.6423
"100041241",-1.7951,-1.3956
"100041290",-0.8907,0.9281
"100041347",2.722,3.3701
"100041581",-0.31775,-0.096
"100041660",0.6116,-0.616
"100041979",-2.5641,-2.4458
"100042132",0.3399,0.5816
"100042150",-1.4339,-0.1727
"100042165",0.1531,0.0839333333333334
"100042173",0.5443,1.5209
"100042178",1.0407,0.2316
"100042194",-1.0962,0.2754
"100042198",0.083,0.047
"100042277",-0.9607,-0.5509
"100042332",0.7095,0.65405
"100042416",-0.2913,0.7734
"100042480",-0.4146,-0.175166666666667
"100042484",2.0437,-4.0387
"100042498",-0.4805,0.5191
"100042605",-0.3423,-0.5762
"100042679",1.2189,0.5073
"100042757",-1.7519,0.3517
"100042770",-0.6004,-0.7991
"100042784",-1.8732,-0.9002
"100042889",0.42015,0.5745
"100042940",-1.7585,-0.7018
"100043040",-0.8272,0.2444
"100043057",-1.5473,-0.6392
"100043072",0.66815,0.33945
"100043102",-0.969,-1.7635
"100043132",1.5634,2.5107
"100043133",-0.0412,-0.7817
"100043189",-0.7634,-0.9844
"100043213",1.4364,0.0501
"100043232",-0.6731,-1.2387
"100043270",0.3445,-0.3035
"100043272",-1.6558,-1.7247
"100043305",0.4513,0.2028
"100043315",1.7007,1.0976
"100043332",-0.2712,0.2701
"100043335",0.2086,-0.0559
"100043424",-0.17285,1.0438
"100043468",0.8442,1.5906
"100043489",0.3716,-0.2162
"100043515",-2.2178,-1.7283
"100043597",1.34665,0.9719
"100043636",2.218,1.40325
"100043766",0.03485,0.81155
"100043772",-1.5932,-4.1337
"100043777",-0.1257,1.1485
"100043812",-0.9656,-0.0823
"100043820",-0.8989,-0.863
"100043902",-1.192,-1.2761
"100043911",-0.173075,-0.206375
"100044193",-1.5688,-1.341
"100044236",0.9721,1.0588
"100044509",-0.0253,-0.5154
"100045469",-1.6723,-2.2813
"100047123",-0.7734,-1.2866
"100048534",0.605866666666667,0.0824333333333333
"100048658",-1.2213,-2.3642
"100048701",-0.2072,1.1722
"100049077",-1.1458,0.4886
"100049161",-0.0136,0.3322
"100049166",-1.083,-0.3042
"100049168",0.474,-0.1108
"100049789",-2.4631,-3.7217
"100061",-0.2122,-0.68505
"100066",-0.5113,0.6238
"100072",-0.1277,-0.477
"100073351",-0.2601,0.6815
"100087",1.5652,-0.5367
"100088",-0.9665,-1.0187
"100090",-0.1336,-1.6398
"100102",-1.3123,0.8427
"100113398",-0.8121,-0.0599
"100121",-0.8423,-0.104
"100125594",1.7719,0.5292
"100126030",0.2424,-0.5934
"100126226",-0.5612,-0.5033
"100126229",-0.88,-0.2282
"100126242",-1.1282,-0.5236
"100126243",1.3566,0.2733
"100126244",-0.4705,-0.0092
"100126795",-0.3766,1.3154
"100127111",0.63095,0.93535
"100127433",-1.2408,-0.6951
"100129",-0.2314,-0.8194
"100134986",0.4092,0.3024
"100137011",-2.413,-1.7269
"100141474",2.1358,0.1261
"100163",-0.8726,-0.3026
"100165",0.0022,-1.3227
"100169",-0.108,0.8053
"100169874",-0.2427,-0.5556
"100169878",0.2523,-0.9382
"100174921",-0.4114,-1.4113
"100177",-0.9691,-0.0363
"100182",0.34275,-0.24215
"100198",0.4001,-0.4601
"100201",0.184333333333333,0.170066666666667
"100206",0.6952,-0.4001
"100210",-0.9869,-0.3964
"100213",0.96575,-0.00390000000000001
"100216343",-0.2781,-0.1382
"100217446",1.6352,1.3492
"100226",-0.1078,0.0653
"100270744",-0.2034,-2.3939
"100273",-0.464166666666667,-0.0560333333333333
"100302594",-0.6666,-1.0543
"100302648",-0.3275,0.4767
"100302688",-2.3731,-0.4617
"100303741",1.5337,-0.534
"100310872",0.2299,-0.2668
"100316689",-0.6661,0.1806
"100316700",-1.7301,-1.2505
"100317",-0.08965,-0.143
"100328574",0.7635,1.0562
"100329140",0.4072,1.3716
