"","GSE53784_WNV_vs_Control","GSE53784_JEV_vs_Control"
"100008567",-0.3712,-0.1675
"100009600",0.3762,0.1526
"100009609",-0.013,0.0452
"100009614",0.1307,-0.0839
"100012",-0.0234,0.0016
"100015211",0.0764,-0.2606
"100017",0.1029,-0.2338
"100019",0.2022,0.2673
"100033459",2.0915,1.7426
"100034251",3.5291,2.316
"100034360",-0.2313,-0.1555
"100034726",0.07045,0.0236
"100036518",-0.0201,0.0026
"100036520",-0.0331,0.0078
"100036523",-0.0322,0.1086
"100036526",0.1321,-0.134
"100036533",-0.1739,-0.1321
"100036537",-0.4003,-0.2875
"100036538",0.2424,-0.0372
"100036539",0.1318,-0.0017
"100036544",-0.0809,0.1897
"100036768",0.2378,0.2942
"100037258",0.097,0.2989
"100037260",0.1328,-0.1426
"100037262",-0.1514,0.0138
"100037278",-0.0402,0.0805
"100037396",-0.2657,0.0723
"100037413",0.1276,-0.1455
"100038347",-0.4367,-0.2462
"100038349",-0.9947,-0.6347
"100038352",-0.0189,-0.0853
"100038353",-0.0383,0.383
"100038354",0.1019,-0.0706
"100038355",0.0655,-0.0895
"100038356",-0.4248,-0.2233
"100038357",-0.0778,0.1833
"100038358",0.0136,0.0338
"100038367",-0.0304,0.1543
"100038371",-0.0668,0.3273
"100038374",-0.1078,-0.4024
"100038375",0.2223,-0.1487
"100038376",-0.1659,0.038
"100038378",0.0032,-4e-04
"100038380",-0.1658,-0.2858
"100038381",-0.2337,-0.4511
"100038382",0.0956,-0.1661
"100038383",0.041,-0.025
"100038384",0.1734,-0.0549
"100038388",-0.0895,0.0878
"100038394",-0.08,-0.0478
"100038395",-0.0394,-0.0652
"100038397",0.1818,0.0364
"100038405",0.0371,-0.329
"100038410",0.0835,0.1318
"100038411",0.0156,-0.2861
"100038412",0.0014,0.0644
"100038417",0.2072,0.2145
"100038418",-0.0087,-0.1788
"100038428",-0.3465,-0.2776
"100038429",-0.0883,-0.1651
"100038431",0.024,0.1453
"100038433",0.104,-0.0936
"100038436",-0.015,-0.2936
"100038437",0.126,-0.0233
"100038439",0.1201,-0.0458
"100038440",0.0941,0.0477
"100038447",0.0163,0.0195
"100038453",-0.1671,-0.3289
"100038454",0.056,0.0824
"100038460",-0.0369,-0.2671
"100038464",0.4302,0.3216
"100038465",0.093,-0.0818
"100038467",0.1274,-0.4481
"100038468",-0.0301,-0.0875
"100038474",-0.058,-0.15
"100038476",0.266,0.0257
"100038479",-0.0525,0.1946
"100038485",0.2141,0.0109
"100038487",0.148,-0.1241
"100038489",0.0907,0.1609
"100038493",0.1541,-0.1783
"100038494",0.1004,-0.1055
"100038496",0.1634,0.0382
"100038497",0.0953,-0.3963
"100038504",0.0166,-0.1123
"100038506",0.0333,-0.2646
"100038509",0.2477,0.0777
"100038512",0.033,-0.2228
"100038513",-0.0435,0.1408
"100038516",0.1062,-0.1291
"100038522",-0.0485,-0.3332
"100038525",-0.0268,0.0104
"100038526",-0.6197,-0.2994
"100038528",-0.0222,-0.1043
"100038543",-0.0636,0.109
"100038545",0.026,0.0203
"100038552",-0.0647,-0.1307
"100038554",0.0251,-0.1224
"100038555",0.0199,-0.2449
"100038556",0.1272,0.0109
"100038557",-0.0173,-0.2011
"100038558",-0.26,0.02
"100038560",-0.1566,-0.2905
"100038561",0.0999,-0.0612
"100038564",-0.7323,-0.6231
"100038566",0.00105,0.0686
"100038569",-0.0848,0.0091
"100038570",-0.0462,-0.0478
"100038571",-0.092,-0.1546
"100038572",-0.1865,-0.1476
"100038574",0.0854,-0.1056
"100038575",0.115,-0.0045
"100038577",-0.0993,-0.6977
"100038578",-0.0688,0.2281
"100038582",0.0378,0.0393
"100038584",-0.0905,-0.0519
"100038589",0.0227,-0.3792
"100038590",-0.0952,0.0648
"100038591",0.0353,-0.1177
"100038592",0.0762,0.074
"100038594",0.0101,0.017
"100038595",0.0998,-0.0943
"100038599",-0.0322,0.1426
"100038600",0.0366,0.028
"100038601",-0.1024,0.056
"100038602",-0.1489,0.0514
"100038607",0.0307,-0.0697
"100038608",0.0428,0.0715
"100038609",0.1159,0.0556
"100038610",0.0746,0.0523
"100038614",0.7628,0.7354
"100038617",-0.0919,-0.0202
"100038618",-0.143,-0.3376
"100038623",0.1022,0.0894
"100038626",-0.0523,-0.0991
"100038627",-0.2625,0.0128
"100038628",0.1088,0.0529
"100038629",0.094,0.0711
"100038631",-0.0619,0.1008
"100038634",-0.0038,-0.2878
"100038636",-0.1037,-0.1332
"100038638",-0.0035,0.0981
"100038639",0.0013,0.1188
"100038645",-0.2712,-0.2321
"100038646",-0.013,-0.1468
"100038648",0.1246,0.1647
"100038649",-0.132,-0.3042
"100038653",-0.1862,0.0267
"100038654",0.0034,0.0037
"100038657",0.1081,-0.4124
"100038659",0.7843,-0.0306
"100038666",-0.2454,-0.3895
"100038667",-0.117,0.0064
"100038668",0.0999,-0.1226
"100038671",0.0494,0.2562
"100038672",-0.3022,-0.1309
"100038682",0.0416,-0.1735
"100038683",0.0504,-0.048
"100038687",0.0342,-0.1586
"100038689",-0.2414,-0.3034
"100038690",6e-04,-0.182
"100038691",-0.0695,-0.0373
"100038692",-0.1791,-0.1282
"100038693",0.2198,0.0497
"100038697",0.1348,-0.041
"100038699",-1.6073,-0.748
"100038700",-0.0174,-0.338
"100038708",-1.3512,-0.6883
"100038709",-0.1604,-0.2178
"100038711",0.7931,1.04
"100038712",0.1999,0.163
"100038713",-0.1867,-0.0359
"100038714",-0.0843,0.0385
"100038718",0.0235,-0.3392
"100038720",0.0736,0.1069
"100038723",0.0222,0.0165
"100038725",0.0824,-0.1933
"100038726",0.1253,-0.0677
"100038727",0.0448,-0.0834
"100038728",0.0122,-0.1237
"100038732",-0.0736,-0.2154
"100038734",0.1871,0.045
"100038735",0.0449,0.2663
"100038737",-0.6346,-0.0445
"100038743",-0.4585,-0.1236
"100038746",-1.4661,-0.6644
"100038750",-0.006,0.0313
"100038752",0.5542,9e-04
"100038753",0.1943,-0.0299
"100038755",-0.0047,0.1596
"100038759",0.198,-0.0185
"100038761",-0.0757,0.0038
"100038850",0.09975,-0.15195
"100038854",0.3344,-0.1284
"100038862",0.0186,0.1137
"100038882",2.7751,3.3161
"100038941",0.0486,-0.0585
"100039062",0.0676,0.0559
"100039139",0.0766,0.09
"100039225",0.0865,0.0628
"100039265",0.2182,-0.1124
"100039355",0.01595,-0.029
"100039359",-0.0246,-0.068
"100039596",0.0445,-0.0975
"100039641",0.1197,-0.0969
"100039672",0.0777,-0.1214
"100039681",-0.3378,-0.069
"100039691",0.9817,0.5504
"100039781",0.4794,0.0653
"100039795",-0.2539,-0.6671
"100039801",-0.1278,-0.4535
"100039901",0.3624,0.008
"100039946",-0.0314,0.0353
"100039968",-0.2444,0.0426
"100040049",0.031,-0.1743
"100040201",-0.0353,0.0455
"100040214",0.1529,0.1776
"100040249",0.1612,0.0211
"100040268",0.0578,0.1888
"100040322",-0.0973,-0.0808
"100040447",0.2994,0.0423
"100040591",-1.1228,-1.677
"100040608",-0.0844,0.1147
"100040766",-0.067,-0.3558
"100040822",0.1869,0.1344
"100040846",-0.0284,-0.0725
"100040851",0.2421,0.0687
"100040882",0.1,-0.2288
"100040999",0.0783,-0.0687
"100041085",0.4338,0.0124
"100041194",-0.07625,-0.12815
"100041413",0.0986,0.2846
"100041480",0.1326,0.409
"100041581",-1.5399,-0.8272
"100041585",0.0346,0.0178
"100042056",-0.141,-0.0511
"100042150",-0.3854,0.0749
"100042165",0.3567,0.21405
"100042332",-0.1774,-0.1543
"100042416",0.0571,-0.0019
"100042444",-0.00756666666666667,0.1815
"100042605",0.1269,-0.0928
"100042636",-0.1997,0.1644
"100042679",-0.0837,-0.159
"100042784",-0.4199,-0.1745
"100042785",0.0772,-0.0186
"100042814",0.1853,0.0752
"100042855",0.1139,-0.1235
"100042891",-0.3008,0.1052
"100042948",0.0019,-0.0559
"100043040",-0.1737,-0.1501
"100043057",0.0958,-0.0521
"100043065",0.0891,-0.0112
"100043133",0.2395,0.0722
"100043254",0.0405,0.0268
"100043270",-0.07392,-0.06242
"100043272",-0.007,-0.2276
"100043314",0.861,0.4318
"100043315",0.255,-0.0268
"100043335",0.2334,-0.0953
"100043424",0.2419,0.1471
"100043580",-0.0166,-0.31
"100043582",-0.0952,-0.1246
"100043609",0.1903,-0.0917
"100043682",-0.0478,-0.1756
"100043757",-0.4713,-0.0942
"100043772",0.1036,0.2411
"100043861",0.1468,0.0174
"100043899",0.0296,0.1261
"100043902",-0.0262,-0.0682
"100043911",-0.1856,-0.0538
"100045778",0.2309,0.0522
"100045792",0.149376923076923,0.185138461538462
"100048534",-0.11584,-0.142
"100048658",0.348,0.0204
"100048894",0.0142,-0.0725
"100048895",0.0344,-0.3375
"100048897",0.1123,-0.0132
"100048917",-0.096,0.0487
"100048926",0.1544,-0.2145
"100049077",-0.0889,-0.212
"100049162",0.1829,-0.2515
"100049165",0.0854,-0.0109
"100049166",0.0136,0.0363
"100049168",0.0402,-0.1461
"100049549",0.3604,0.0322
"100049562",-0.0058,0.0174
"100049566",-0.0124,-0.3355
"100049568",1.0095,0.4209
"100061",0.3376,-0.1334
"100066",-0.0062,0.1419
"100072",-0.606575,-0.486575
"100087",0.4468,0.5263
"100088",0.2022,0.18
"100090",0.8185,0.5401
"100093700",-0.1187,0.0477
"100101457",0.3147,-0.0954
"100101919",-0.1589,-0.252
"100102",-0.0469,-0.2958
"100121",0.7639,0.8974
"100124452",0.0657,-0.1656
"100124467",-0.8704,-0.4078
"100124468",0.0876,-0.0092
"100124470",0.0791,-0.1037
"100124476",-0.1923,-0.0271
"100124481",-0.0278,-0.1396
"100124494",-1.5193,-0.3895
"100125339",0.0543,-0.0536
"100125931",-0.2415,-0.0367
"100126034",-0.8745,-0.5084
"100126244",0.0067,-0.1385
"100126357",0.0116,0.0015
"100126795",0.3484,0.1295
"100126875",0.1523,0.0473
"100126880",0.0548,-0.2696
"100127111",-0.152,-0.2162
"100129",-0.7344,-0.5624
"100134986",0.0011,-0.0716
"100134990",-0.364,0.0491
"100137011",-0.0736,-0.3994
"100141474",0.1242,0.0149
"100151693",-0.1702,-0.1917
"100155",0.1481,0.0774
"100163",-0.1958,-0.3281
"100165",0.0235,0.0722
"100169",0.6707,0.3967
"100174921",-0.1582,-0.1661
"100177",-0.2533,-0.0984
"100182",0.8253,0.2763
"100191037",-0.0463,-0.3562
"100198",0.0495,0.0975
"100201",-0.7025,-0.456
"100206",0.4582,0.3894
"100210",0.4482,0.1935
"100213",-0.0082,0.071
"100216530",1.1337,-0.0345
"100216533",0.7744,0.125
"100216534",-0.142,-0.1651
"100216537",0.7998,-0.2421
"100216540",-0.31605,-0.0933
"100217416",0.115975,-0.0834
"100217418",0.0152,-0.209966666666667
"100217419",0.2128,-0.5577
"100217424",0.0143,0.1422
"100217426",0.2828,-0.2718
"100217427",0.2267,0.1134
"100217428",-0.033,-0.2961
"100217440",0.147366666666667,-0.0849666666666667
"100217442",-0.181,-0.1999
"100217445",-0.05915,-0.23905
"100217446",0.0185,-0.2333
"100217448",-0.0949,-0.1286
"100217451",0.0969,0.0362
"100217453",0.1786,-0.2446
"100217454",0.1404,-0.0089
"100217455",0.3213,0.3055
"100217456",1.3514,0.4482
"100217457",-0.06925,0.1233
"100217460",0.1108,0.2151
"100217464",0.3605,0.04905
"100217466",0.023,-0.1347
"100217467",-0.2142,-0.2309
"100226",-0.077,-0.059
"100233207",0.1673,-0.0197
"100233208",-0.0934,0.0695
"100270707",0.0373,-0.2406
"100273",0.207,0.1471
"100294583",0.0035,-0.1409
"100302498",-0.39505,-0.3902
"100302499",0.4366,-0.44645
"100302565",-0.1509,-0.0232
"100302592",0.1953,-0.1697
"100302594",0.0605,-0.7461
"100302730",0.1666,0.231
"100303731",-0.1104,-0.4384
"100303733",-0.3701,-0.5302
"100303738",0.1384,-0.4272
"100303740",0.4046,0.27035
"100303741",-0.4135,-0.2722
"100303746",0.1251,-0.2177
"100303747",-0.1646,-0.2074
"100303751",0.1041,-0.1885
"100306874",0.1914,-0.1987
"100306955",-0.2132,-0.4881
"100306959",-0.1464,-0.1062
"100310813",-0.1187,-0.2047
"100312484",-0.0097,0.1904
"100312987",0.0432,-0.1083
"100313512",0.3383,0.2034
"100313944",-0.0195,-0.2516
"100313945",-0.0574,0.0376
"100315693",0.0959,0.025
"100316706",0.2625,-0.0998
"100316717",-0.569,-0.4838
"100316736",-0.037,-0.2634
"100316932",-0.1165,-0.1298
"100317",-0.0072,-9.581e-05
"100322896",0.2877,0.0922
"100328574",0.2096,-0.0403
"100336",0.4924,0.5321
"100340",-0.2111,-0.0244
"100342",0.1798,-0.0798
"100379095",-0.4094,-0.3498
"100379143",-0.0134,-0.1447
"100379145",-0.1113,-0.2789
"100379259",-0.089,0.0303
"100379660",0.106,0.0217
"100379665",-0.1162,0.0057
"100383",0.6535,0.475
"100415785",-0.0182,-0.1305
"100415913",0.2032,0.1809
"100416706",0.209,-0.0553
"100417514",0.0838,0.2247
"100417675",-0.1606,-0.4788
"100434",-0.192,-0.1795
"100465",0.5535,0.355
"100470",-0.0031,0.0233
"100494",0.4139,0.4352
"100502590",0.4531,0.0748
"100502698",-0.2269,-0.203
"100502700",-0.1193,-0.1382
"100502723",0.1305,-0.0953
"100502739",-0.0018,-0.097
"100502766",0.0976,-0.1003
"100502829",0.1456,-0.3168
"100502841",-0.0192,0.0073
"100502846",-0.9173,-0.9257
"100502861",-0.075,-0.0982
"100502876",-0.0497,-0.2253
"100502936",0.104,-0.0297
"100502942",-0.1673,-0.1923
"100503003",-0.114,0.0871
"100503019",-0.0817,-0.0894
"100503041",0.1774,0.0887
"100503043",-0.2935,-0.3466
"100503044",0.5086,0.2841
"100503048",0.1161,-0.2576
"100503085",-0.4071,-0.2297
"100503185",-0.2232,-0.0229
"100503240",0.1512,0.3202
"100503311",0.1582,-0.0428
"100503337",0.5382,0.3194
"100503338",-0.07,0.0708
"100503355",0.1584,-0.0473
"100503359",-0.0566,0.1764
"100503386",-0.2225,-0.4329
"100503427",-0.0136,0.1869
"100503486",0.1476,-0.0701
"100503495",-0.0859,0.0056
"100503545",0.0598,-0.0576
"100503565",0.0981,-0.0797
"100503613",0.1114,-0.0975
"100503659",-0.3787,-0.2687
"100503759",-0.047,0.1607
"100503794",0.1444,0.1574
"100503799",0.04215,0.0246
"100503802",-0.72695,-0.5268
"100503812",-0.0103,-0.0217
"100503842",0.0076,0.0307
"100503849",-0.5959,-0.2973
"100503879",0.0209,-0.0178
"100503884",-0.37625,-0.32085
"100503895",0.1266,-0.0116
"100503915",0.0881,-0.2511
"100503946",-0.08005,-0.2235
"100503970",0.203,0.2851
"100503991",0.1119,0.0926
"100503992",0.0167,-0.0664
"100504061",0.4376,0.1133
"100504104",0.1883,-0.0572
"100504140",0.1732,-0.0466
"100504156",0.056,-0.1023
"100504162",-0.1349,-0.182
"100504178",-0.0374,-0.0145
"100504207",0.1729,-0.0497
"100504221",0.6057,0.1701
"100504229",-0.5337,-0.0626
"100504234",0.3355,0.1051
"100504285",0.1587,-0.1613
"100504309",0.0477,-0.0103
"100504360",-0.3244,-0.2182
"100504399",-0.13775,-0.11205
"100504404",0.4886,1.3256
"100504406",-0.0024,0.1474
"100504412",-0.0665,-0.1142
"100504464",0.6096,0.195
"100504486",1.081,0.971
"100504508",0.0364,-0.3266
"100504518",0.0729,-0.02475
"100504538",-0.1289,-0.0453
"100504594",0.9523,0.6442
"100504608",0.0525,0.0144
"100504650",0.0354,-0.1394
"100504663",0.0457,0.2601
"100504715",-0.4985,-0.1272
"100504733",-0.0741,0.1559
"100515",-0.1431,0.1345
"100526510",0.1038,-0.1952
"100526546",0.3658,-0.1392
"100529074",0.194,-0.1936
"100529076",-0.3402,-0.3261
"100529077",-0.2356,-0.2566
"100532",-0.1416,0.0012
"100532729",-0.1021,-0.1084
"100534273",0.6864,6e-04
"100534287",-0.5562,-0.2402
"100534296",0.131,0.177
"100535",0.2068,0.4002
"100559",-0.0857,0.1737
"100561",0.5454,0.588
"100579147",0.1238,0.0819
"100604",0.5457,0.5252
"100608",0.7784,0.7985
"100609",0.4431,0.4636
"100637",0.5278,0.3163
"100647",0.064,0.2417
"100678",0.8842,0.702
"100683",-0.40315,-0.1952
"100689",0.5122,0.0848
"100689703",-0.193,-0.1495
"100705",0.2884,0.038
"100710",-0.7198,-0.5721
"100715",0.5054,0.4607
"100727",0.1313,-0.0465
"100732",-0.659,-0.485
"100737",-0.258,-0.1617
"100756",0.497,0.1007
"100763",-0.1803,0.0678
"100764",-0.4338,-0.3273
"100855",-0.0582,0.028
"100856880",-0.0469,-0.1547
"100861571",-0.2135,-0.4696
"100861572",0.2341,-0.4108
"100862203",-0.5342,-0.395
"100862242",-0.0083,-0.3538
"100900",-0.0152,0.0339
"100929",-0.1688,-0.1217
"100952",0.1893,0.1663
"100972",-0.0433,0.1541
"100978",0.3191,0.30195
"100986",-0.2236,0.0062
"101023",0.2441,0.2897
"101055670",0.2055,-0.0859
"101055749",0.0451,-0.0394
"101055939",0.3498,0.1007
"101056014",0.0465,-0.1853
"101056032",0.0752,-0.1576
"101056229",-0.0746,-0.145
"101095",0.1095,0.0148
"101113",-0.2893,-0.3093
"101118",0.4607,0.3661
"101122",-0.1504,-0.125
"101142",0.3313,0.4418
"101148",0.4228,0.2634
"101185",-0.9659,-0.4481
"101187",0.9892,1.3599
"101202",-0.0389,0.143
"101206",0.2221,0.1939
"101214",0.102166666666667,0.1038
"101240",-0.0203,-0.2633
"101314",-0.1798,-0.2571
"101320",0.2274,0.3601
"101351",-0.1904,-0.3025
"101358",-0.1363,-0.2081
"101401",0.8511,1.11911666666667
"101434",-0.0375,-0.2816
"101437",0.1536,-0.1045
"101471",0.2262,0.2162
"101476",-0.2168,-0.1712
"101488",-0.0458,-0.5518
"101489",0.4818,0.4008
"101490",-0.3413,-0.3439
"101497",0.6958,0.4393
"101502",0.4037,0.2692
"101513",0.2337,0.0904
"101533",0.781,0.5278
"101540",0.7443,0.1305
"101543",0.2923,0.0729
"101544",-0.5125,0.1704
"101565",-0.6527,-0.7898
"101568",-0.0387,-0.099
"101592",0.6468,0.3262
"101602",0.274,0.2004
"101604",0.4288,0.1158
"101612",0.5295,0.4023
"101613",0.0095,-0.1707
"101631",0.1259,0.2206
"101685",1.14,0.4884
"101700",-0.0458,-0.0119
"101706",0.0554,-0.0192
"101739",-0.522,-0.2419
"101744",-0.1041,0.0126
"101772",0.0095,-0.4164
"101809",0.2405,-0.054
"101831",0.1946,0.2284
"101861",-0.326,-0.1422
"101867",0.5568,0.3178
"101869",0.9924,0.4195
"101883",-0.2264,-0.0561
"101943",0.7584,0.5976
"101966",0.3221,0.2574
"101985",0.7472,0.4963
"101994",0.1767,0.1037
"102022",0.0727,-0.1907
"102032",-0.2101,0.0315
"102058",-0.2172,-0.116
"102060",0.2359,0.0108
"102075",0.3415,0.038
"102093",-0.4501,-0.1277
"102098",0.11795,0.00435
"102103",-0.0313,0.0052
"102122",0.0823,0.2164
"102124",-0.0388,-0.0661
"102141",-0.2091,-0.1666
"102162",0.3502,0.2229
"102182",0.1559,0.404
"102193",0.2742,0.2837
"102209",0.3719,0.3417
"102247",-0.0528,0.0392
"102278",-0.255,-0.2777
"102323",-0.6287,-0.284
"102334",-0.2415,0.0071
"102339",0.202,0.215
"102371",-0.0377,0.0075
"102414",0.6219,0.2773
"102423",0.7097,0.4431
"102436",-0.3623,0.0119
"102442",0.315911111111111,0.196666666666667
"102448",0.269,0.0242
"102465258",-0.3166,-0.3593
"102465895",-0.1175,-0.6512
"102466256",-0.0635,0.181
"102502",-0.9306,-0.932
"102545",0.607,0.0791
"102566",0.2116,0.1932
"102570",0.0832,-0.0966
"102580",-0.2186,0.1101
"102595",1.191,0.678
"102607",-0.2318,5e-04
"102614",-1.0328,-0.433
"102626",0.6387,0.4283
"102631730",-0.0075,0.3489
"102631912",-0.1284,-0.0145
"102632",-0.3521,-0.2812
"102632303",0.0641,-0.0646
"102632690",0.0249,-0.2606
"102632837",-0.0382,0.0802
"102633151",-0.7933,-0.6212
"102633245",0.0663,0.0148
"102633266",0.214,-0.1526
"102633345",-0.0894,-0.1086
"102633384",0.0934,0.1457
"102633458",-0.0308,0.1977
"102633750",0.6613,0.6303
"102634296",-0.166,0.037
"102634333",0.247,-0.2308
"102634490",-0.0348,0.0165
"102634678",0.0933,-0.0903
"102635190",0.1026,0.1221
"102635467",0.0667,0.0468
"102635496",0.0502,0.08345
"102635561",-0.4566,-0.4196
"102635943",-0.1329,-0.2595
"102636082",0.1573,0.0258
"102636313",-0.12665,-0.13295
"102636896",0.1289,-0.2677
"102636989",0.3227,0.0346
"102637189",0.1187,-0.0051
"102637366",-0.1436,0.0989
"102637492",0.0257,-0.0845
"102637973",0.3304,0.3173
"102638085",0.176266666666667,0.005
"102638268",0.1292,-0.0525
"102638454",0.0063,0.1406
"102638466",-0.008,0.1097
"102638502",0.2112,0.0091
"102638670",0.1112,-0.1759
"102638797",0.0181,0.2802
"102638837",0.055,0.1195
"102638882",-0.2414,-0.053
"102639025",0.1398,0.1414
"102639117",0.1501,0.3245
"102639143",0.2581,0.1948
"102639173",-0.097,0.1083
"102639227",-0.0593,-0.0665
"102639543",1.4702,1.7883
"102639645",-0.0817,-0.1555
"102639802",0.3317,0.0492
"102640526",-0.2159,-0.2652
"102640779",-0.8081,-0.4383
"102640920",0.2376,-0.025
"102640923",-0.043,-0.3311
"102641859",0.1453,-0.0873
"102644",0.2966,0.2251
"102657",0.153,0.2443
"102680",0.4371,-0.1849
"102693",-0.3124,-0.4236
"102747",-0.1445,0.0185
"102774",0.0051,0.0034
"102791",-0.0896,-0.047
"102857",0.5689,0.1661
"102866",-0.2958,-0.6184
"102871",-0.0188,-0.0381
"102920",0.2191,0.055
"102941",-0.1631,-0.0823
"102954",-1.0281,-0.4057
"102991",-0.0738,-0.3118
"103012",-0.7199,-0.3741
"103080",-0.0656,-0.1239
"103098",-0.9391,-0.244
"103135",0.3738,0.1486
"103136",0.704,0.3167
"103140",0.0573,-0.1346
"103142",0.13,-0.2684
"103149",0.0343,-0.285
"103161",0.1842,0.2496
"103172",-0.2621,-0.2493
"103175",0.2475,-0.0365
"103199",-0.7541,-0.3527
"103213",0.1719,0.4668
"103220",-0.0605,0.156
"103236",-0.1408,-0.3318
"103266",-0.4091,-0.2396
"103268",-0.2641,0.0525
"103284",0.2576,0.141
"103406",-0.2043,-0.1634
"103425",0.1611,0.1925
"103466",0.1262,-0.1917
"103468",0.0778,0.1141
"103511",0.4476,0.3021
"103534",-0.3436,-0.1653
"103537",-0.2463,-0.3233
"103551",-0.4832,-0.4151
"103554",0.3058,0.101
"103573",0.3236,0.1452
"103583",0.3567,0.3421
"103655",0.152,-0.1276
"103677",0.1339,0.0341
"103694",-0.2094,-0.0796
"103710",0.1849,0.0936
"103711",0.0271,-0.2853
"103712",-1.0079,-0.3357
"103724",0.5138,0.3625
"103733",-0.4406,-0.0933
"103737",0.0779,-0.0736
"103742",-0.2936,-0.2681
"103743",-0.6442,-0.7671
"103765",0.067,0.2594
"103768",-0.8328,-0.2606
"103775",0.0923,-0.0472
"103784",-0.1927,0.0317
"103806",0.0856,0.1007
"103836",-0.4147,-0.1344
