"","GSE53784_WNV_vs_Control","GSE53784_JEV_vs_Control"
"100008567",0.0693741005849702,0.0693725408987368
"100009600",0.0969013213816552,0.096919657033979
"100009609",0.0942617738125842,0.0942448008481025
"100009614",0.101490914738313,0.101524685382381
"100012",0.0591357088703563,0.0601503759398496
"100015211",0.108677098150782,0.108728304405875
"100017",0.0771422145588125,0.0771464396489144
"100019",0.0583667696215686,0.058364994104546
"100033459",0.158757267993502,0.15876168437164
"100034251",0.161816289381136,0.161816593886463
"100034360",0.0823366082870568,0.0823230451585579
"100034726",0.102925766760825,0.102828629757568
"100036518",0.113881019830028,0.115555555555556
"100036520",0.0642095053346266,0.0641975308641975
"100036523",0.100374064837905,0.100416088765603
"100036526",0.0780917474580279,0.0781022323249985
"100036533",0.107704694661216,0.107678513205086
"100036537",0.0774994191899636,0.0775078855848812
"100036538",0.0822838521334736,0.0822644847412649
"100036539",0.0939683445030657,0.0965909090909091
"100036544",0.118016046681255,0.118068089873654
"100036768",0.147135255537681,0.147122068310247
"100037258",0.0754335484874407,0.0753979264939586
"100037260",0.0704434542754084,0.0704093220757419
"100037262",0.0997102212855638,0.0994236311239193
"100037278",0.0728392824787099,0.072745346105187
"100037396",0.0923082267926626,0.0922900178708195
"100037413",0.107362221287337,0.107356304877149
"100038347",0.087982270575199,0.0879757012685367
"100038349",0.120721879702898,0.120713592879286
"100038352",0.0995260663507109,0.0996728207525123
"100038353",0.0879247015610652,0.0880034925668068
"100038354",0.095313815358713,0.0952895127547577
"100038355",0.110399460643856,0.110275998028586
"100038356",0.121354092272532,0.121371888248723
"100038357",0.125241468126207,0.125256252562526
"100038358",0.0843149411035338,0.0844366724956283
"100038367",0.148148148148148,0.148080614203455
"100038371",0.0904413755754129,0.0904318514629901
"100038374",0.064128494943486,0.0641458904546324
"100038375",0.0976756447998594,0.097700394218134
"100038376",0.093076750448833,0.0930004894762604
"100038378",0.065439672801636,0.0689655172413793
"100038380",0.0897477535996536,0.0897443949004584
"100038381",0.108773562950896,0.108759071292524
"100038382",0.0616734404231985,0.0616807159567752
"100038383",0.076592564916869,0.0765696784073507
"100038384",0.110530341662417,0.110507246376812
"100038388",0.0931224638435126,0.0931071049840933
"100038394",0.0926998841251448,0.0925818322680612
"100038395",0.0926622765757291,0.0927453769559033
"100038397",0.0593981768876401,0.0593704126569891
"100038405",0.116046293400063,0.115926708949965
"100038410",0.0979472140762463,0.0979634309499034
"100038411",0.1,0.100052456723203
"100038412",0.0777777777777778,0.0772923667786846
"100038417",0.0778479110309588,0.0778584392014519
