"","GSE53784_WNV_vs_Control","GSE53784_JEV_vs_Control"
"100008567",0.00481276583197356,0.00481254943074691
"100009600",0.00938986608551083,0.00939341991958412
"100009609",0.00888528200229479,0.0088820824868985
"100009614",0.0103004057744196,0.0103072617419915
"100012",0.00349703206359954,0.00361806772570524
"100015211",0.0118107116624748,0.0118218441789765
"100017",0.00595092126703786,0.00595157315050359
"100019",0.00340667979605726,0.0034064725368237
"100033459",0.0252038701407608,0.0252052724245204
"100034251",0.0261845115090794,0.0261846100570165
"100034360",0.00677931706421623,0.00677708376417796
"100034726",0.0105937134633037,0.010573727097819
"100036518",0.0129688866775273,0.0133530864197531
"100036520",0.00412286057531744,0.0041213229690596
"100036523",0.010074952892084,0.0100833908829815
"100036526",0.00609832102104841,0.00609995869414805
"100036533",0.0116003012520659,0.011594662206058
"100036537",0.0060061599747817,0.00600747232783904
"100036538",0.00677063232192335,0.00676744544974581
"100036539",0.00883004976864685,0.00932980371900826
"100036544",0.0139277872742721,0.0139400738464133
"100036768",0.0216487834221387,0.0216449029838848
"100037258",0.00569022023740707,0.00568484731958838
"100037260",0.00496228025025156,0.00495747263516555
"100037262",0.00994212822881609,0.00988505842586518
"100037278",0.0053055610720133,0.00529188537996345
"100037396",0.00852080873360563,0.00851744739859618
"100037413",0.0115266465597511,0.0115253761968754
"100038347",0.00774087993556752,0.00773972401369081
"100038349",0.014573772239001,0.0145717715058261
"100038352",0.00990543788324611,0.00993467119676244
"100038353",0.00773075314460238,0.00774461470395602
"100038354",0.00908472339823482,0.00908009124103914
"100038355",0.0121880409104544,0.0121607957412006
"100038356",0.0147268157112903,0.0147311352570604
"100038357",0.0156854253384078,0.0156891288060072
"100038358",0.00710900929329237,0.00712955166213399
"100038367",0.0219478737997256,0.0219278683028724
"100038371",0.0081796424159729,0.0081779197590243
"100038374",0.00411246386371671,0.0041146952622177
"100038375",0.0095405315870683,0.0095453670303788
"100038376",0.00866328147411434,0.00864909104282402
"100038378",0.00428235077638518,0.00475624256837099
"100038380",0.00805465927618413,0.00805405641604943
"100038381",0.0118316879970325,0.0118285355884122
"100038382",0.00380361325363382,0.00380451072094039
"100038383",0.0058664210005448,0.00586291565140511
"100038384",0.0122169564280107,0.0122118515017853
"100038388",0.00867179327228632,0.00866893299851898
"100038394",0.00859326851681528,0.00857139566611142
"100038395",0.00858629750019691,0.00860170494669259
"100038397",0.00352814341757538,0.00352484589906117
"100038405",0.0134667422118934,0.0134390018479698
"100038410",0.00959365674529803,0.00959683380347649
"100038411",0.01,0.0100104940963485
"100038412",0.00604938271604938,0.0059741099622507
"100038417",0.00606029725188408,0.00606193655488618
"100038418",0.00571331090480759,0.00575119299902802
"100038428",0.045028481330863,0.0450150620018373
"100038429",0.00919582686380823,0.0091849086029314
"100038431",0.00280318038334368,0.00279513605873798
"100038433",0.0103980402693527,0.0103869477594726
"100038436",0.00899020427342368,0.0089289756899546
"100038437",0.00397177975928848,0.00397418350949195
"100038439",0.00701729031599186,0.00703632143192583
"100038440",0.00457838529000407,0.00457262774775881
"100038447",0.00437616614311014,0.00440220284957109
"100038453",0.00704031803757483,0.0070429573226047
"100038454",0.00746606920336684,0.00747755764114959
"100038460",0.0126871754619007,0.0127035290707362
"100038464",0.0138932125002456,0.0138966944600439
"100038465",0.0135580904922672,0.0135508550655486
"100038467",0.0140319499369003,0.014044735378801
"100038468",0.00997347481274072,0.00996580224789449
"100038474",0.00811874626960624,0.00811817452750348
