"","GSE53784_WNV_vs_Control","GSE53784_JEV_vs_Control"
"100008567",-5.3507,-2.4145
"100009600",3.8823,1.5745
"100009609",-0.2209,0.44415
"100009614",1.2878,-0.8264
"100012",-0.3957,0.0266
"100015211",0.703,-2.3968
"100017",1.3339,-3.0306
"100019",3.4643,4.5798
"100033459",13.1742,10.9762
"100034251",21.8093,14.3125
"100034360",-2.8092,-1.8889
"100034726",0.6651,0.1932
"100036518",-0.1765,0.0225
"100036520",-0.5155,0.1215
"100036523",-0.3208,1.0815
"100036526",1.6916,-1.7157
"100036533",-1.6146,-1.2268
"100036537",-5.1652,-3.7093
"100036538",2.9459,-0.4522
"100036539",1.4026,-0.0176
"100036544",-0.6855,1.6067
"100036768",1.6162,1.9997
"100037258",1.2859,3.9643
"100037260",1.8852,-2.0253
"100037262",-1.5184,0.1388
"100037278",-0.5519,1.1066
"100037396",-2.8784,0.7834
"100037413",1.1885,-1.3553
"100038347",-4.9635,-2.7985
"100038349",-8.2396,-5.2579
"100038352",-0.1899,-0.8558
"100038353",-0.4356,4.3521
"100038354",1.0691,-0.7409
"100038355",0.5933,-0.8116
"100038356",-3.5005,-1.8398
"100038357",-0.6212,1.4634
"100038358",0.1613,0.4003
"100038367",-0.2052,1.042
"100038371",-0.7386,3.6193
"100038374",-1.681,-6.2732
"100038375",2.2759,-1.522
"100038376",-1.7824,0.4086
"100038378",0.0489,-0.0058
"100038380",-1.8474,-3.1846
"100038381",-2.1485,-4.1477
"100038382",1.5501,-2.6929
"100038383",0.5353,-0.3265
"100038384",1.5688,-0.4968
"100038388",-0.9611,0.943
"100038394",-0.863,-0.5163
"100038395",-0.4252,-0.703
"100038397",3.0607,0.6131
"100038405",0.3197,-2.838
"100038410",0.8525,1.3454
"100038411",0.156,-2.8595
"100038412",0.018,0.8332
"100038417",2.6616,2.755
"100038418",-0.1151,-2.3577
"100038428",-1.6329,-1.3084
"100038429",-0.9208,-1.7227
"100038431",0.4533,2.7483
"100038433",1.0199,-0.9184
"100038436",-0.1582,-3.1071
"100038437",1.9993,-0.3696
"100038439",1.4337,-0.546
"100038440",1.3907,0.7054
"100038447",0.2464,0.2939
"100038453",-1.9915,-3.9191
"100038454",0.6481,0.9529
"100038460",-0.3276,-2.3698
"100038464",3.6498,2.7281
"100038465",0.7987,-0.7027
"100038467",1.0755,-3.7811
"100038468",-0.3014,-0.8765
"100038474",-0.6437,-1.6648
"100038476",3.2596,0.3144
"100038479",-0.4983,1.8454
"100038485",1.7881,0.091
"100038487",1.7808,-1.4942
"100038489",0.8998,1.5965
"100038493",1.6594,-1.9208
"100038494",1.0719,-1.1259
"100038496",1.7977,0.4203
"100038497",0.8563,-3.5617
"100038504",0.1604,-1.084
"100038506",0.4044,-3.2171
"100038509",2.8107,0.8811
"100038512",0.3613,-2.4385
"100038513",-0.4114,1.3313
"100038516",0.8664,-1.0536
"100038522",-0.4122,-2.8349
"100038525",-0.2155,0.0836
"100038526",-6.9771,-3.3706
"100038528",-0.2457,-1.1522
"100038543",-0.6116,1.0488
"100038545",0.2442,0.1912
"100038552",-0.634,-1.2795
"100038554",0.1937,-0.9428
