"","GSE91074_VEEV_vs_Control"
"100017",0.7205
"100019",-0.1288
"100036538",-0.1049
"100036539",-0.0285
"100037258",0.19436
"100038347",-0.1966
"100038746",-0.7585
"100038882",6.0054
"100040201",-0.0529
"100040214",-0.0787
"100040249",-0.0797
"100040268",-0.09
"100040462",5.3571
"100040608",-0.1747
"100042165",-0.273733333333333
"100042173",-0.0748
"100042198",-0.0953
"100042480",-0.4379
"100042889",-0.247
"100043270",-0.1428
"100043272",-0.4205
"100043315",-0.1432
"100043468",-0.2499
"100044236",-0.70565
"100049077",-0.0959
"100049166",0.0862
"100049789",-0.0281
"100087",0.0602
"100088",-0.2946
"100090",-0.1202
"100121",1.7499
"100126226",-0.0469
"100127111",0.11135
"100127433",-0.1209
"100129",-0.2696
"100134986",-0.056
"100141474",-0.0649
"100163",-0.1139
"100177",-0.1981
"100182",0.5161
"100198",0.0858
"100206",-0.1392
"100210",4e-04
"100213",-0.20755
"100217446",0.2172
"100226",-0.0917
"100273",-0.0164333333333333
"100302594",-0.6349
"100310872",-0.2298
"100317",-0.09025
"100336",-0.0678
"100340",0.4751
"100379609",-0.1837
"100381257",0.0032
"100383",-0.1449
"100416145",-0.2288
"100434",-0.0948
"100463519",-0.0103
"100470",-0.2064
"100494",0.0166666666666667
"100502723",-0.0452
"100502739",-0.1709
"100503043",-0.6994
"100503659",-0.32265
"100503670",-0.4813
"100503890",-0.0997
"100503895",-0.1444
"100503915",0.0154
"100504309",-0.2985
"100504404",0.14175
"100504486",1.9331
"100504538",-0.0641
"100504663",-0.2405
"100504714",-0.0484
"100504715",-0.1166
"100515",-0.24505
"100526796",-0.2205
"100532",0.06735
"100559",-0.1656
"100561",0.0061
"100604",0.6417
"100608",0.350633333333333
"100609",-0.217
"100637",-0.5657
"100647",-0.07665
"100653389",0.5648
"100678",-0.2253
"100683",-0.2209
"100689",-0.1094
"100705",-0.1436
"100715",0.1813
"100727",0.23505
"100732",-0.197
"100763",-0.1405
"100764",-0.4496
"100855",-0.1902
"100900",-0.197
"100929",-0.1754
"100952",0.17465
"100972",-0.1395
"100978",0.1763
"100986",-0.078
"101055782",-0.1656
"101095",-0.2249
"101100",-0.27835
"101113",-0.4448
"101118",0.165866666666667
"101142",0.0154
"101185",-0.4183
"101202",-0.098
"101206",-0.2469
"101214",0.1399
"101314",-0.16475
"101351",-0.45555
"101358",0.1692
"101437",-0.2315
"101476",-0.0387
"101489",-0.0696666666666667
"101497",0.2994
"101502",0.6373
"101513",-0.2571
"101540",0.196733333333333
"101568",0.1296
"101592",-0.1062
"101604",-0.0581
"101612",-0.0945
"101613",-0.1136
"101706",0.10525
"101739",-0.13895
"101772",-0.1577
"101831",-0.0742
"101861",-0.0305
"101867",-0.1271
"101869",-0.1185
"101883",-0.3381
"101943",0.2176
"101966",0.0026
"101985",0.4763
"102022",-0.0851
"102032",-0.1406
"102058",-0.417
"102060",-0.0484
"102093",-0.079
"102098",-0.1302
"102115",-0.0926
"102122",0.082
"102124",-0.1838
"102162",-0.1078
"102193",-0.0732
"102209",0.03165
"102216272",-0.0323
"102247",-0.15025
"102294",0.282
"102334",-0.3095
"102339",0.14525
"102371",0.1802
"102414",-0.1371
"102423",0.1102
"102443350",-0.1131
"102448",-0.0142
"102502",-0.6964
"102545",0.6144
"102566",0.3225
"102570",-0.0248
"102580",-0.0984
"102595",0.0992
"102607",-0.108
"102614",-0.5165
"102631912",0.3797
"102632",-0.50355
"102633266",-0.1373
"102633540",-0.1241
"102634389",-0.0458
"102635561",-0.2521
"102636151",-0.0339
"102636700",-0.144
"102638039",-0.1047
"102638292",-0.1307
"102638354",-0.2506
"102638854",-0.0858
"102640192",-0.1196
"102640368",-0.1017
"102640451",-0.0221
"102642321",0.0889
"102644",0.2114
"102657",0.0458
"102693",-0.2805
"102747",-0.3025
"102791",0.121233333333333
"102857",0.09385
"102866",-0.313
"103080",-0.0384
"103098",-0.1571
"103135",-0.2674
"103136",-0.1185
"103140",-0.3117
"103142",-0.2374
"103149",-0.1385
"103161",0.4825
"103172",-0.2692
"103199",-0.3555
"103213",0.4277
"103236",-0.2764
"103266",-0.111
"103268",-0.04265
"103284",-0.053
"103406",-0.5784
"103425",0.0862
"103466",-0.1153
"103468",-0.107
"103511",0.3547
"103534",-0.5318
"103537",-0.35995
"103551",-1.5682
"103554",0.0121333333333333
"103573",0.2724
"103583",0.123033333333333
"103655",-0.1483
"103694",0.0451
"103710",-0.12335
"103711",-0.3063
"103712",0.0059
"103724",0.0429
"103733",-0.4051
"103737",-0.0432
"103742",-0.3241
"103743",-0.235
"103768",-0.2763
"103806",-0.10385
"103841",0.0174
"103844",-0.1138
"103850",-0.1874
"103889",0.0739
"103963",0.15408
"103967",-0.0605
"103988",-0.13225
"104001",-0.2935
"104002",-0.0518
"104009",-0.1052
"104010",-0.3946
"104027",0.39385
"104069",-0.3847
"104079",-0.1828
"104086",-0.3423
"104099",-0.00766666666666666
"104103",-0.3704
"104110",0.3217
"104111",-0.335025
"104112",-0.098775
"104130",-0.250666666666667
"104156",-0.5258
"104158",-0.0264333333333333
"104174",-0.4756
"104175",-0.96535
"104183",0.1362
"104184",-0.1776
"104215",-0.0937
"104263",-0.055
"104271",-0.1453
"104318",-0.0185
"104346",-0.0633
"104348",-0.1955
"104349",-0.1284
"104360",-0.1047
"104362",-0.18
"104383",-0.3677
"104384",-0.0563
"104394",-0.1152
"104401",-0.2492
"104416",-0.1428
"104418",-0.60045
"104443",-0.1937
"104444",0.2464
"104445",0.0181
"104457",-0.1599
"104458",0.4737
"104479",-0.31045
"104570",0.04495
"104601",-0.0529
"104625",-0.144975
"104662",0.1423
"104681",0.1727
"104718",-0.2644
"104721",-0.1188
"104725",-0.4589
"104732",-0.109
"104759",1.6173
"104771",-0.3021
"104776",-0.9032
"104799",-0.0452
"104806",-0.2618
"104831",-0.0291
"104836",-0.07485
"104884",-0.3606
"104886",-0.184
"104910",-0.2427
"104943",0.05775
"105005",-0.5593
"105014",-0.2381
"105083",-0.0221
"105148",0.10155
"105180375",-0.1583
"105203",0.5964
"105239",-0.251
"105243269",-0.0824
"105243422",0.0662
"105245",-0.1186
"105245924",0.0055
"105246278",-0.5534
"105246959",1.1239
"105278",-0.1811
"105298",-0.29985
"105348",0.1335
"105349",-0.1685
"105351",-0.3724
"105352",-0.1044
"105355",-0.0193
"105377",-0.434
"105387",0.201
"105418",-0.1598
"105428",-0.3069
"105439",-0.553766666666667
"105440",-0.2147
"105445",-0.574566666666667
"105446",-0.17
"105501",0.06935
"105513",-0.2099
"105594",0.0026
"105663",-0.3451
"105670",-0.1391
"105675",-0.11965
"105689",0.0239
"105727",-0.3023
"105732",-0.1174
"105734",-0.1008
"105782",-0.2494
"105785",-0.0163
"105833",-0.1684
"105835",-0.2131
"105837",0.1133
"105844",-0.0434
"105853",-0.6452
"105855",0.90805
"105859",-0.748766666666667
"105866",-0.123
"105886298",-0.2094
"105887",-0.0912
"106014",-0.4696
"106021",-0.0730666666666667
"106025",0.04415
"106039",-0.0395
"106042",-0.5813
"106052",0.09235
"106064",-0.2267
