"","GSE91074_VEEV_vs_Control"
"100017",0.13775763833123
"100019",0.0527069607562303
"100036538",0.0475823278599292
"100036539",0.0457537325413389
"100037258",0.0726343323857418
"100038347",0.101923376017419
"100038746",0.0793542852360228
"100038882",0.0666360416500226
"100040201",0.0453376756942064
"100040214",0.0462995646546653
"100040249",0.0475735689130305
"100040268",0.0458388509728023
"100040462",0.100014002072307
"100040608",0.0745084659018211
"100042165",0.0648473910333783
"100042173",0.043189560598187
"100042198",0.0613927720157186
"100042480",0.0862704150988002
"100042889",0.0698944508899516
"100043270",0.0511882998171847
"100043272",0.0844801607232546
"100043315",0.0858822118267962
"100043468",0.0616489046773239
"100044236",0.182865574805186
"100049077",0.0482006433453961
"100049166",0.0581724929140235
"100049789",0.0499822127356813
"100087",0.0501040366208906
"100088",0.0375937930682456
"100090",0.0441733122634229
"100121",0.0694570135746606
"100126226",0.0456669912366115
"100127111",0.0654103341346766
"100127433",0.0451304639964164
"100129",0.0581448012595165
"100134986",0.04880174291939
"100141474",0.0381383322559793
"100163",0.0612266838681933
"100177",0.0470356388156801
"100182",0.0976628271048212
"100198",0.043610856968588
"100206",0.0415187759119516
"100210",0.0470588235294118
"100213",0.0458432563051815
"100217446",0.069200624462357
"100226",0.039777903092873
"100273",0.0663835299929136
"100302594",0.0924782241384333
"100310872",0.0562890385793019
"100317",0.0510267961782901
"100336",0.0409528972156557
"100340",0.11496116340407
"100379609",0.075016334531199
"100381257",0.0369088811995386
"100383",0.036795285141823
"100416145",0.0672743310790944
"100434",0.102819956616052
"100463519",0.0393881453154876
"100470",0.0400100800589296
"100494",0.0511049131498918
"100502723",0.0471865539200334
"100502739",0.0455636130958729
"100503043",0.0680475963456281
"100503659",0.0845745205239102
"100503670",0.0921318447645222
"100503890",0.0521169642689164
"100503895",0.0590158574464607
"100503915",0.0644351464435147
"100504309",0.0527450391391161
"100504404",0.131426234835408
"100504486",0.0914111967012337
"100504538",0.0515231894542239
"100504663",0.0428172123413271
"100504714",0.0399669694467382
"100504715",0.0543260494805013
"100515",0.0446389072881352
"100526796",0.0598112081592796
"100532",0.15113779880135
"100559",0.0540328895849648
"100561",0.0610610610610611
"100604",0.0719418814534121
"100608",0.0763171659103258
"100609",0.0457236772793359
"100637",0.0510232612675993
"100647",0.0524706310440017
"100653389",0.100161378992357
"100678",0.0492061065367899
"100683",0.0453109616015753
"100689",0.0621202657430015
"100705",0.0456481658083794
"100715",0.0540584937906704
"100727",0.0484694219377868
"100732",0.0401164803388519
"100763",0.0411111220717986
"100764",0.0557118251322784
"100855",0.0455679676279209
"100900",0.0344303266511701
"100929",0.0804587155963303
"100952",0.0562302545814189
"100972",0.0437578763819287
"100978",0.0534242424242424
"100986",0.0908200680907188
"101055782",0.0688737314922642
"101095",0.0663772857859991
"101100",0.0967561254445114
"101113",0.0519116754586621
"101118",0.0649179017079182
"101142",0.0535279805352798
"101185",0.0548194744774261
"101202",0.0552579644770228
"101206",0.0443968927569589
"101214",0.0564317695938042
"101314",0.051131289439638
"101351",0.0726683940480345
"101358",0.0442503334466616
"101437",0.0564758117635579
"101476",0.0472642892037127
"101489",0.0545493882644263
"101497",0.0623814980727159
"101502",0.108988610322536
"101513",0.0471466295019438
"101540",0.0818783317357782
"101568",0.0485193366028977
"101592",0.041434200772502
"101604",0.049488926746167
"101612",0.0412337418478867
"101613",0.0488413087407025
"101706",0.0535186120225737
"101739",0.0493518932519748
"101772",0.0478705643080472
"101831",0.042108847397991
"101861",0.0506224066390041
"101867",0.0769044593695165
"101869",0.0698670615410346
"101883",0.0664792166424161
"101943",0.0457806484189266
"101966",0.0412044374009509
"101985",0.0558041990814509
"102022",0.044921875
"102032",0.0560539010485189
"102058",0.0708256195118637
"102060",0.0582478518530364
"102093",0.0705798266773877
"102098",0.0456105934281511
"102115",0.0397766323024055
"102122",0.0340150163852823
"102124",0.0532738181501985
"102162",0.061950462617091
"102193",0.037671761618033
"102209",0.0533032734898791
"102216272",0.0417258752099212
"102247",0.0642829681477755
"102294",0.0708605928256111
"102334",0.0510036105693799
"102339",0.0515909806239009
"102371",0.0631129167834127
"102414",0.037037037037037
"102423",0.0632061944364783
"102443350",0.0551707317073171
"102448",0.0641662901039313
"102502",0.0887303306364274
"102545",0.076313501428394
"102566",0.0464456477907714
"102570",0.0512502583178343
"102580",0.0516047828823159
"102595",0.0486012444270246
"102607",0.0529842321123505
"102614",0.102095275746195
"102631912",0.0614679790196205
"102632",0.0599238697121809
"102633266",0.0569898721567325
"102633540",0.0476629411990629
"102634389",0.0434576335515704
"102635561",0.0552766022759664
"102636151",0.0431902153140527
"102636700",0.0766365087812666
"102638039",0.0610210980300734
"102638292",0.0623509207136724
"102638354",0.0471833107395692
"102638854",0.0526057633353771
"102640192",0.0642665233745298
"102640368",0.0635585275920255
"102640451",0.0437797147385103
"102642321",0.0624385447394297
"102644",0.0947259936371376
"102657",0.0674521354933726
"102693",0.0762678229310399
"102747",0.0863126658487174
"102791",0.0509491874542372
"102857",0.0541986605854165
"102866",0.0518366400582955
"103080",0.0788501026694045
"103098",0.0827756994572949
"103135",0.103199413376558
"103136",0.0475420087131926
"103140",0.0696832174554559
"103142",0.070008846947803
"103149",0.0748405922403545
"103161",0.0951320018139159
"103172",0.0539536258565945
"103199",0.0442213680635892
"103213",0.0739440881035943
"103236",0.0538099131721372
"103266",0.0751676034401029
"103268",0.0568136571057887
"103284",0.0485837381978183
"103406",0.0769445663886339
"103425",0.0469626804685372
"103466",0.064891940567312
"103468",0.0423728813559322
"103511",0.0706123586558369
"103534",0.0809215131318665
"103537",0.0519667620282583
"103551",0.213878508496768
"103554",0.0653305239007696
"103573",0.0641508876071478
"103583",0.0749416926275316
"103655",0.0453697188484719
"103694",0.0437566702241195
"103710",0.0487443470794972
"103711",0.0520962666893443
"103712",0.136258660508083
"103724",0.0595833333333333
"103733",0.0584071051645088
"103737",0.0585683297180043
"103742",0.0489067286363156
"103743",0.121453305080366
"103768",0.069625037798609
"103806",0.051664114005628
"103841",0.051957502324081
"103844",0.0495558265110608
"103850",0.0513579434898189
"103889",0.157000212449543
"103963",0.0487894864169474
"103967",0.074424898511502
"103988",0.053994892813445
"104001",0.0525646536284834
"104002",0.0457193292144748
"104009",0.0555929748488916
"104010",0.0907668951557253
"104027",0.131174800594527
"104069",0.0436499381616421
"104079",0.0706200502221364
"104086",0.0854255053656102
"104099",0.0580690554912796
"104103",0.214203099699283
