"","GSE91074_VEEV_vs_Control"
"100017",0.018977166918598
"100019",0.0027780237121588
"100036538",0.0022640779245698
"100036539",0.00209340404146437
"100037258",0.00527574624112242
"100038347",0.0103883745787882
"100038746",0.00629710258532006
"100038882",0.00444036204678355
"100040201",0.00205550483735303
"100040214",0.00214364968721153
"100040249",0.00226324445912286
"100040268",0.00210120025850678
"100040462",0.0100028006105194
"100040608",0.00555151149104284
"100042165",0.00420518412383587
"100042173",0.00186533814466446
"100042198",0.003769072455774
"100042480",0.0074425845213193
"100042889",0.00488523426520786
"100043270",0.00262024203817399
"100043272",0.00713689755582694
"100043315",0.00737575430826269
"100043468",0.00380058744791376
"100044236",0.0334398184488309
"100049077",0.00232330201891007
"100049166",0.00338403893183211
"100049789",0.0024982215899549
"100087",0.00251041448570754
"100088",0.00141329327725807
"100090",0.00195128151632187
"100121",0.00482427673471059
"100126226",0.00208547408860475
"100127111",0.00427851181161004
"100127433",0.00203675878053184
"100129",0.00338081791350867
"100134986",0.00238161011197023
"100141474",0.00145453238726747
"100163",0.00374870681749568
"100177",0.00221235131879911
"100182",0.0095380277981062
"100198",0.00190190684553464
"100206",0.00172380875322685
"100210",0.00221453287197232
"100213",0.00210160414866257
"100217446",0.00478872642598017
"100226",0.00158228157446599
"100273",0.00440677305432006
"100302594",0.00855222193979831
"100310872",0.00316845586418214
"100317",0.00260373392822077
"100336",0.00167713979035606
"100340",0.0132160690912173
"100379609",0.00562745044649675
"100381257",0.00136226551140166
"100383",0.00135389300866806
"100416145",0.0045258356221396
"100434",0.0105719434785268
"100463519",0.00155142599139397
"100470",0.00160080650632195
"100494",0.00261171214805798
"100502723",0.00222657087084822
"100502739",0.0020760428383504
"100503043",0.00463047536841754
"100503659",0.0071528495218493
"100503670",0.00848827681971401
"100503890",0.00271617796460751
"100503895",0.00348287143014097
"100503915",0.00415188809719718
"100504309",0.00278203915378689
"100504404",0.0172728552030118
"100504486",0.00835600688235164
"100504538",0.00265463905153585
"100504663",0.00183331367268229
"100504714",0.00159735864675651
"100504715",0.00295131965215788
"100515",0.00199263204387873
"100526796",0.00357738062147267
"100532",0.0228426342265174
"100559",0.00291955315690099
"100561",0.00372845317790263
"100604",0.0051756343070568
"100608",0.00582430981258419
"100609",0.00209065466394485
"100637",0.0026033731903817
"100647",0.00275316712215575
"100653389",0.0100323018416505
"100678",0.00242124092050992
"100683",0.00205308324125943
"100689",0.00385892741598113
"100705",0.0020837550416693
"100715",0.00292232075091595
"100727",0.00234928486298321
"100732",0.00160933199477749
"100763",0.00169012435800232
"100764",0.00310380745956957
"100855",0.00207643967373925
"100900",0.00118544739330627
"100929",0.00647360491541116
"100952",0.00316184153029118
"100972",0.00191475174545615
"100978",0.00285414967860422
"100986",0.00824828476800279
"101055782",0.0047435908896685
"101095",0.0044059440683162
"101100",0.00936174781103402
"101113",0.00269482204892546
"101118",0.00421433396215892
"101142",0.00286524470018529
"101185",0.00300517478198117
"101202",0.00305344263814392
"101206",0.00197108408647291
"101214",0.0031845446194882
"101314",0.00261440875976003
"101351",0.00528069549352041
"101358",0.00195809201014074
"101437",0.00318951731435282
"101476",0.0022339130339322
"101489",0.00297563576002313
"101497",0.00389145130179626
"101502",0.0118785171800377
"101513",0.00222280467339356
"101540",0.00670406120783415
"101568",0.00235412602438529
"101592",0.00171679299365601
"101604",0.00244915387048748
"101612",0.00170022146677816
"101613",0.00238547343950462
"101706",0.00286424183282277
"101739",0.00243560936755431
"101772",0.00229159092717089
"101831",0.0017731550291873
"101861",0.00256262805392469
"101867",0.00591429587091762
"101869",0.00488140628837872
"101883",0.0044194862453893
"101943",0.00209586776965737
"101966",0.00169780566152888
"101985",0.00311410863512221
"102022",0.00201797485351562
"102032",0.00314203982275715
"102058",0.00501626837923929
"102060",0.00339281224549328
"102093",0.00498151193381008
"102098",0.0020803262328681
"102115",0.00158218047732077
"102122",0.00115702133969102
"102124",0.00283809970030042
"102162",0.00383785981847159
"102193",0.00141916162340591
"102209",0.00284123896473685
"102216272",0.00174104866203392
"102247",0.00413229999388792
"102294",0.00502122361559704
"102334",0.00260136829111296
"102339",0.00266162928173572
"102371",0.00398324026490998
"102414",0.00137174211248285
"102423",0.00399502301514191
"102443350",0.00304380963712076
"102448",0.00411731278570187
"102502",0.00787307157484972
"102545",0.00582375050026149
"102566",0.00215719819870438
"102570",0.00262658897764474
"102580",0.00266305361633097
"102595",0.00236208095985539
"102607",0.00280732885253544
"102614",0.0104234453296916
"102631912",0.00377831244475651
"102632",0.00359087016128243
"102633266",0.00324784552844072
"102633540",0.00227175596374533
"102634389",0.00188856591390257
"102635561",0.00305550275917537
"102636151",0.00186539469887424
"102636700",0.00587315447818116
"102638039",0.00372357440479583
"102638292",0.00388763731384266
"102638354",0.00222626481234675
"102638854",0.0027673663360977
"102640192",0.00413018602664899
"102640368",0.00403968642966627
"102640451",0.00191666342258534
"102642321",0.00389857186917776
"102644",0.00897301387054304
"102657",0.0045497905826163
"102693",0.00581678081464045
"102747",0.00744987628591235
"102791",0.00259581970224701
"102857",0.00293749480925318
"102866",0.00268703725253329
"103080",0.00621733869097563
"103098",0.00685181642064441
"103135",0.0106501189212657
"103136",0.00226024259248528
"103140",0.00485575079494436
"103142",0.00490123865096091
"103149",0.00560111424688701
"103161",0.0090500977691229
"103172",0.00291099374307338
"103199",0.00195552939341543
"103213",0.00546772816547212
"103236",0.00289550675559295
"103266",0.00565016860692858
"103268",0.00322779163373414
"103284",0.00236037961727415
"103406",0.00592046629673489
"103425",0.00220549335678992
"103466",0.00421096395059156
"103468",0.00179546107440391
"103511",0.00498610519494055
"103534",0.00654829128755084
"103537",0.00270054435570163
"103551",0.0457440163968019
"103554",0.00426807735314903
"103573",0.00411533638078491
"103583",0.00561625729387942
"103655",0.00205841138838938
"103694",0.00191464618910235
"103710",0.00237601137220649
"103711",0.00271402100296729
"103712",0.0185664225634571
"103724",0.00355017361111111
"103733",0.00341138993369799
"103737",0.00343024924595687
"103742",0.00239186810590621
"103743",0.0147509053149444
"103768",0.00484764588845773
"103806",0.00266918067598653
"103841",0.00269958204775688
"103844",0.00245577994119436
"103850",0.00263763835950343
"103889",0.0246490667092017
"103963",0.00238041398482949
"103967",0.00553906551844738
"103988",0.00291544844993542
"104001",0.00276304281108243
"104002",0.00209025706382153
"104009",0.0030905788525495
"104010",0.00823862925621042
"104027",0.0172068283110139
"104069",0.00190531710151518
"104079",0.00498719149337706
"104086",0.0072975169669699
"104099",0.00337201520564931
"104103",0.0458829679207809
"104110",0.00203585773689645
"104111",0.00448275571844625
"104112",0.00779744932741769
"104130",0.00219998088451605
"104156",0.0100116244767959
"104158",0.00237539782451224
"104174",0.00819507914683037
"104175",0.126989933554854
"104183",0.00133461441383164
"104184",0.00204357365048341
"104215",0.0120269831469441
"104263",0.00377135321489348
"104271",0.00646425965509856
"104318",0.00269029021243858
"104346",0.00339490719100904
"104348",0.00792337480803174
"104349",0.00775452905486324
"104360",0.00183238179891749
"104362",0.0125712508622753
"104383",0.00303266547604545
"104384",0.00185126817701899
"104394",0.00194175357031418
"104401",0.00211779107523688
"104416",0.00211190557315513
"104418",0.0475286354852127
"104443",0.00247756565409256
"104444",0.00221301105967085
"104445",0.00416678537487714
"104457",0.00385439912929604
"104458",0.00121260182555636
"104479",0.0020957634684304
"104570",0.00445323557415209
"104601",0.00286274243545981
"104625",0.00391718514525649
"104662",0.00333443799590194
"104681",0.00518577748533928
"104718",0.00388182393041704
"104721",0.00222068618054986
"104725",0.00412011248094438
"104732",0.0023904353484759
"104759",0.0146353400565646
"104771",0.00326531593384971
"104776",0.00583132513512785
"104799",0.00218436213045458
"104806",0.00347471400602872
"104831",0.00181954394017802
"104836",0.00344154496979923
"104884",0.0029060500021081
"104886",0.00854756086958546
"104910",0.00306435464384387
"104943",0.00330790428554834
"105005",0.00630056804900887
"105014",0.00194768981416094
"105083",0.00200138504155125
"105148",0.00310248162422665
"105180375",0.00327392770081303
"105203",0.00313217552041951
"105239",0.00312865644123156
"105243269",0.00150022401633065
"105243422",0.00181380420205396
"105245",0.00465393641023185
"105245924",0.00151724594531695
"105246278",0.00403808711914768
"105246959",0.00412429256611058
"105278",0.0020736035068124
"105298",0.00426455879606844
"105348",0.0163485161205327
"105349",0.00506461529386651
"105351",0.00230574321843321
"105352",0.00265850041859449
"105355",0.00413601997157229
"105377",0.00279620017885741
"105387",0.00840375330955119
"105418",0.003508601536986
"105428",0.00694897219946319
"105439",0.00981618917577245
"105440",0.0243707672984382
"105445",0.00626398037551654
"105446",0.00292054053335895
"105501",0.00349239380065162
"105513",0.00267521064640767
"105594",0.00187791565000635
"105663",0.00255298247185093
"105670",0.00215539196110367
"105675",0.00276241877546346
"105689",0.00120921385349534
"105727",0.0112976097687568
"105732",0.00326848713163443
"105734",0.00311668291017762
"105782",0.00278287101744566
"105785",0.00343289845732115
"105833",0.0050972831648756
"105835",0.00320750773682804
"105837",0.00191645097600182
"105844",0.0138784260605182
"105853",0.0165024652379375
"105855",0.00923848229562868
"105859",0.0141077760948384
"105866",0.00166730011176862
"105886298",0.00349270591858979
"105887",0.00247141032845671
"106014",0.00368985691554456
"106021",0.00314496030242468
"106025",0.0020424012324147
"106039",0.00183779800361366
"106042",0.0199952491963873
"106052",0.00461683628176091
"106064",0.00296915496586127
"106073",0.00136163723260849
"106143",0.00144806055245269
"106200",0.00355877992498747
"106205",0.0023259591651838
"106248",0.00291964122078022
"106264",0.00201913799659433
"106298",0.00198165681065469
"106326",0.00240750262414598
"106344",0.00624432849035725
"106347",0.00186860343133271
"106369",0.00457487720592507
"106389",0.00310340647725439
"106407",0.00211630877400244
"106489",0.0014336058092129
"106504",0.00268649146125554
"106512",0.0136513787146072
"106522",0.0047952234139811
"106529",0.0037930655679911
"106564",0.00500265967835094
"106565",0.00737780726201947
"106572",0.00498154073466812
"106582",0.00293206504368459
"106583",0.00197814367374832
"106618",0.00567302771391866
"106628",0.00325746060360495
"106633",0.00322431899231481
"106648",0.0124284924071468
"106672",0.00176702655213536
"106707",0.00333779613963644
"106766",0.033803988581489
"106794",0.0020942802607625
"106795",0.00454581568917936
"106821",0.0035401920863306
"106840",0.00475525773846745
"106861",0.0128289635669987
"106869",0.0192484470410077
"106878",0.0082678115061578
"106894",0.00217123580338284
"106931",0.009115813023876
"106947",0.00340294728842513
"106952",0.00426319659339917
"106957",0.00466705767813429
"107022",0.00188551401018071
"107029",0.00575218408906547
"107035",0.00124721880571026
"107045",0.0016778456110779
"107047",0.00286474985861116
"107065",0.00523299100822356
"107071",0.00205038890368148
"107094",0.00401155785434766
"107141",0.00237854420723099
"107146",0.0017425541183045
"107197",0.00547784028381515
"107227",0.00293902338392202
"107239",0.0107020482047213
"107242",0.00164870570821359
"107250",0.00559826084780013
"107260",0.00244673561277791
"107271",0.00137174211248285
"107272",0.0094979945767156
"107305",0.00226873334380159
"107321",0.0177525859604108
"107328",0.00473854347595695
"107338",0.0015807003078655
"107350",0.00384409653622306
"107358",0.0031665315113732
"107371",0.00242296099062603
"107373",0.0105754011102466
"107375",0.00511921828054201
"107392",0.00482011279389603
"107435",0.00316582235808779
"107449",0.00777337691523854
"107476",0.00522780658845606
"107477",0.00245488267606666
"107503",0.00745274260829602
"107508",0.00242704993490049
"107513",0.00372981295304954
"107526",0.0264771013576036
"107527",0.00847440475511934
"107528",0.00289757986957502
"107566",0.00341948292239256
"107568",0.00544159954570837
"107569",0.00537295897721919
"107581",0.0130299490020657
"107586",0.0223434214077345
"107587",0.0019706516441712
"107589",0.00292791514513695
"107605",0.00357221160523468
"107652",0.00404177663941003
"107684",0.00844802551525804
"107686",0.00125057414476554
"107701",0.00295305024380123
"107702",0.00746062367204939
"107723",0.00222524488811654
"107732",0.00512109280653594
"107733",0.00245133553906071
"107734",0.00229885466250629
"107746",0.00292057660120607
"107747",0.00404038934947752
"107753",0.0030400320338422
"107765",0.00257670929309499
"107766",0.00530837809025082
"107767",0.00247467134645347
"107769",0.00240736308976321
"107770",0.00391772302963955
"107771",0.00432512918979634
"107815",0.00291020786368235
"107817",0.00237623654775979
"107831",0.00651658016521424
"107868",0.00502922826597263
