"","GSE91074_VEEV_vs_Control"
"100017",5.2302
"100019",-2.4437
"100036538",-2.2046
"100036539",-0.6229
"100037258",2.32704
"100038347",-1.9289
"100038746",-9.5584
"100038882",90.1224
"100040201",-1.1668
"100040214",-1.6998
"100040249",-1.6753
"100040268",-1.9634
"100040462",53.5635
"100040608",-2.3447
"100042165",-4.619
"100042173",-1.7319
"100042198",-1.5523
"100042480",-5.0759
"100042889",-3.5339
"100043270",-2.7897
"100043272",-4.9775
"100043315",-1.6674
"100043468",-4.0536
"100044236",-3.90755
"100049077",-1.9896
"100049166",1.4818
"100049789",-0.5622
"100087",1.2015
"100088",-7.8364
"100090",-2.7211
"100121",25.194
"100126226",-1.027
"100127111",1.6785
"100127433",-2.6789
"100129",-4.6367
"100134986",-1.1475
"100141474",-1.7017
"100163",-1.8603
"100177",-4.2117
"100182",5.2653
"100198",1.9674
"100206",-3.3527
"100210",0.0085
"100213",-4.53605
"100217446",3.1387
"100226",-2.3053
"100273",-0.6255
"100302594",-6.8654
"100310872",-4.0825
"100317",-1.77495
"100336",-1.67685
"100340",4.1327
"100379609",-2.4488
"100381257",0.0867
"100383",-4.0191
"100416145",-3.401
"100434",-0.922
"100463519",-0.2615
"100470",-5.1587
"100494",0.416733333333333
"100502723",-0.9579
"100502739",-3.7508
"100503043",-10.2781
"100503659",-3.81945
"100503670",-5.2595
"100503890",-2.2139
"100503895",-2.4468
"100503915",0.239
"100504309",-5.6593
"100504404",0.70895
"100504486",21.1473
"100504538",-1.2441
"100504663",-5.6169
"100504714",-1.211
"100504715",-2.1463
"100515",-5.4211
"100526796",-3.6866
"100532",0.43635
"100559",-3.0648
"100561",0.0999
"100604",8.9197
"100608",4.6854
"100609",-4.7459
"100637",-11.0871
"100647",-1.5382
"100653389",5.6389
"100678",-4.5787
"100683",-4.8752
"100689",-1.7611
"100705",-3.1458
"100715",3.2107
"100727",4.8463
"100732",-4.9107
"100763",-3.4021
"100764",-8.0701
"100855",-4.2045
"100900",-5.7217
"100929",-2.18
"100952",3.0873
"100972",-3.1811
"100978",3.3
"100986",-1.2628
"101055782",-2.4044
"101095",-3.3653
"101100",-3.1468
"101113",-8.5684
"101118",2.3563
"101142",0.2877
"101185",-7.6305
"101202",-1.7735
"101206",-5.5612
"101214",2.4791
"101314",-3.2346
"101351",-6.2224
"101358",3.8237
"101437",-4.0991
"101476",-0.8188
"101489",-1.2494
"101497",4.7995
"101502",5.8474
"101513",-5.4532
"101540",2.2481
"101568",2.6711
"101592",-2.5631
"101604",-1.174
"101612",-2.35826666666667
"101613",-2.3259
"101706",1.85915
"101739",-3.4543
"101772",-3.2943
"101831",-1.7621
"101861",-0.6025
