"","Probe","NCBIid","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_97695_coefficient","contrast_97695_log2fc","contrast_97695_tstat","contrast_97695_pvalue"
"1","1418930_at","15945","Cxcl10","C-X-C motif chemokine ligand 10",8.549e-15,3.852e-10,2.219e-05,4.7753,4.7753,34.6821,6.639e-14
"2","1453196_a_at","23962","Oasl2","2'-5' oligoadenylate synthetase-like 2",3.564e-14,8.03e-10,4.438e-05,3.258,3.258,30.0951,3.901e-13
"3","1450291_s_at","64380","Ms4a4c","membrane-spanning 4-domains, subfamily A, member 4C",1.443e-13,2.168e-09,6.657e-05,3.8935,3.8935,32.6191,1.428e-13
"4","1418191_at","24110","Usp18","ubiquitin specific peptidase 18",8.2e-13,7.39e-09,1e-04,3.7619,3.7619,24.2636,5.67e-12
"5","1436058_at","58185","Rsad2","radical S-adenosyl methionine domain containing 2",6.621e-13,7.39e-09,8.877e-05,3.2803,3.2803,26.028,2.375e-12
"6","1450783_at","15957","Ifit1","interferon-induced protein with tetratricopeptide repeats 1",1.544e-12,1.159e-08,1e-04,3.6679,3.6679,22.5465,1.405e-11
"7","1421009_at","58185","Rsad2","radical S-adenosyl methionine domain containing 2",5.879e-12,2.082e-08,3e-04,3.6217,3.6217,21.9905,1.912e-11
"8","1418293_at","15958","Ifit2","interferon-induced protein with tetratricopeptide repeats 2",5.225e-12,2.082e-08,2e-04,2.3339,2.3339,23.028,1.082e-11
"9","1418580_at","67775","Rtp4","receptor transporter protein 4",6.007e-12,2.082e-08,3e-04,2.5088,2.5088,19.4061,8.884e-11
"10","1443698_at","327959","Xaf1","XIAP associated factor 1",5.106e-12,2.082e-08,2e-04,1.8035,1.8035,20.5704,4.347e-11
"11","1452428_a_at","12010","B2m","beta-2 microglobulin",1.386e-11,3.93e-08,3e-04,1.3521,1.3521,16.9837,4.514e-10
"12","1426808_at","16854","Lgals3","lectin, galactose binding, soluble 3",1.395e-11,3.93e-08,4e-04,2.0469,2.0469,19.3091,9.446e-11
"13","1449289_a_at","12010","B2m","beta-2 microglobulin",1.618e-11,4.051e-08,4e-04,1.3043,1.3043,16.128,8.442e-10
"14","1431591_s_at","100038882","Isg15","ISG15 ubiquitin-like modifier",1.746e-11,4.142e-08,4e-04,3.0056,3.0056,19.736,7.226e-11
"15","1418126_at","20304","Ccl5","C-C motif chemokine ligand 5",2.6e-11,5.858e-08,4e-04,2.8608,2.8608,18.1073,2.071e-10
"16","1423555_a_at","99899","Ifi44","interferon-induced protein 44",3.017e-11,6.474e-08,5e-04,3.1824,3.1824,18.975,1.17e-10
"17","1460218_at","23833","Cd52","CD52 antigen",3.672e-11,7.194e-08,5e-04,1.782,1.782,16.6419,5.776e-10
"18","1435330_at","236312","Ifi209","interferon activated gene 209",6.288e-11,9.619e-08,6e-04,2.3462,2.3462,19.4499,8.642e-11
"19","1426278_at","76933","Ifi27l2a","interferon, alpha-inducible protein 27 like 2A",6.617e-11,9.619e-08,7e-04,2.7713,2.7713,14.0315,4.491e-09
"20","1425156_at","229900","Gbp7","guanylate binding protein 7",7.093e-11,9.988e-08,7e-04,1.9802,1.9802,18.5361,1.557e-10
"21","1451860_a_at","20128","Trim30a","tripartite motif-containing 30A",7.634e-11,1.019e-07,7e-04,2.8345,2.8345,18.5295,1.563e-10
"22","1423467_at","60361","Ms4a4b","membrane-spanning 4-domains, subfamily A, member 4B",7.688e-11,1.019e-07,8e-04,3.829,3.829,18.1592,2e-10
"23","1448380_at","19039","Lgals3bp","lectin, galactoside-binding, soluble, 3 binding protein",8.84e-11,1.13e-07,8e-04,1.4542,1.4542,14.8509,2.279e-09
"24","1418392_a_at","55932","Gbp3","guanylate binding protein 3",1.251e-10,1.445e-07,9e-04,2.6733,2.6733,16.769,5.267e-10
"25","1422962_a_at","16913","Psmb8","proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)",1.39e-10,1.566e-07,9e-04,1.815,1.815,15.6193,1.243e-09
"26","1448591_at","13040","Ctss","cathepsin S",1.877e-10,2.063e-07,9e-04,0.9463,0.9463,14.0242,4.519e-09
"27","1419603_at","15951","Ifi204","interferon activated gene 204",2.513e-10,2.696e-07,9e-04,1.8766,1.8766,17.3156,3.569e-10
"28","1434380_at","229900","Gbp7","guanylate binding protein 7",2.635e-10,2.761e-07,0.001,2.298,2.298,16.4788,6.508e-10
"29","1449227_at","12642","Ch25h","cholesterol 25-hydroxylase",3.103e-10,3.163e-07,0.001,1.5002,1.5002,15.6148,1.247e-09
"30","1418652_at","17329","Cxcl9","C-X-C motif chemokine ligand 9",3.647e-10,3.573e-07,0.001,2.9152,2.9152,16.9973,4.471e-10
"31","1418825_at","15944","Irgm1","immunity-related GTPase family M member 1",3.783e-10,3.627e-07,0.001,2.1048,2.1048,14.1719,3.988e-09
"32","1427102_at","20558","Slfn4","schlafen 4",4.143e-10,3.81e-07,0.0011,3.8078,3.8078,18.2409,1.894e-10
"33","1419060_at","14939","Gzmb","granzyme B",4.139e-10,3.81e-07,0.0011,3.4332,3.4332,17.7258,2.684e-10
"34","1418240_at","14469","Gbp2","guanylate binding protein 2",4.57e-10,4.119e-07,0.0011,3.4621,3.4621,15.2761,1.624e-09
"35","1420915_at","20846","Stat1","signal transducer and activator of transcription 1",4.959e-10,4.297e-07,0.0012,1.5432,1.5432,15.0119,2.002e-09
"36","1423754_at","66141","Ifitm3","interferon induced transmembrane protein 3",4.867e-10,4.297e-07,0.0011,1.6372,1.6372,14.1716,3.989e-09
"37","1429947_a_at","58203","Zbp1","Z-DNA binding protein 1",5.186e-10,4.409e-07,0.0012,1.5965,1.5965,14.0126,4.564e-09
"38","1450033_a_at","20846","Stat1","signal transducer and activator of transcription 1",6.434e-10,5.369e-07,0.0012,1.9655,1.9655,14.6457,2.692e-09
"39","1424948_x_at","14972","H2-K1","histocompatibility 2, K1, K region",6.862e-10,5.622e-07,0.0012,1.3545,1.3545,13.1653,9.571e-09
"40","1419569_a_at","57444","Isg20","interferon-stimulated protein",8.249e-10,6.638e-07,0.0012,1.5635,1.5635,17.2201,3.817e-10
"41","1437176_at","434341","Nlrc5","NLR family, CARD domain containing 5",8.733e-10,6.904e-07,0.0013,2.3602,2.3602,15.4425,1.425e-09
"42","1422124_a_at","19264","Ptprc","protein tyrosine phosphatase receptor type C",9.324e-10,6.918e-07,0.0013,1.7395,1.7395,14.8046,2.366e-09
"43","1419042_at","60440","Iigp1","interferon inducible GTPase 1",9.262e-10,6.918e-07,0.0013,3.4758,3.4758,12.9395,1.174e-08
"44","1428660_s_at","30935","Tor3a","torsin family 3, member A",9.365e-10,6.918e-07,0.0014,1.1445,1.1445,14.9287,2.14e-09
"45","1435906_x_at","14469","Gbp2","guanylate binding protein 2",1.111e-09,8.073e-07,0.0014,3.4854,3.4854,14.0016,4.607e-09
"46","1424921_at","69550","Bst2","bone marrow stromal cell antigen 2",1.147e-09,8.204e-07,0.0014,2.1589,2.1589,13.7754,5.593e-09
"47","1419714_at","60533","Cd274","CD274 antigen",1.341e-09,9.439e-07,0.0014,2.2433,2.2433,15.1594,1.78e-09
"48","1451335_at","231507","Plac8","placenta-specific 8",1.485e-09,1.029e-06,0.0014,3.4349,3.4349,14.9683,2.073e-09
"49","1419561_at","20302","Ccl3","C-C motif chemokine ligand 3",1.538e-09,1.05e-06,0.0015,1.8526,1.8526,17.2912,3.63e-10
"50","1425719_a_at","64685","Nmi","N-myc (and STAT) interactor",2.324e-09,1.54e-06,0.0015,1.0725,1.0725,15.2682,1.634e-09
"51","1450696_at","16912","Psmb9","proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)",2.425e-09,1.584e-06,0.0015,1.6767,1.6767,13.6631,6.164e-09
"52","1419043_a_at","60440","Iigp1","interferon inducible GTPase 1",2.642e-09,1.654e-06,0.0016,3.8195,3.8195,11.9328,3.038e-08
"53","1423233_at","12609","Cebpd","CCAAT/enhancer binding protein delta",2.613e-09,1.654e-06,0.0016,1.2272,1.2272,12.3383,2.055e-08
"54","1451564_at","547253","Parp14","poly (ADP-ribose) polymerase family, member 14",2.6e-09,1.654e-06,0.0016,2.0258,2.0258,13.2595,8.797e-09
"55","1438037_at","67138","Herc6","hect domain and RLD 6",2.827e-09,1.745e-06,0.0016,1.521,1.521,14.4989,3.037e-09
