"","Probe","NCBIid","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_140572_coefficient","contrast_140572_log2fc","contrast_140572_tstat","contrast_140572_pvalue","contrast_140573_coefficient","contrast_140573_log2fc","contrast_140573_tstat","contrast_140573_pvalue"
"1",10462613,"15958","Ifit2","interferon-induced protein with tetratricopeptide repeats 2",0,0,1e-04,5.012,5.012,87.0324,0,4.8481,4.8481,84.1877,0
"2",10420488,"219132","Phf11d","PHD finger protein 11D",0,0,1e-04,4.7117,4.7117,68.3267,0,4.019,4.019,58.2817,4.441e-16
"3",10389207,"20304","Ccl5","C-C motif chemokine ligand 5",0,0,1e-04,5.5695,5.5695,67.3055,0,5.5314,5.5314,66.8453,0
"4",10496592,"14469","Gbp2","guanylate binding protein 2",0,0,1e-04,5.3157,5.3157,71.5845,0,5.2951,5.2951,71.3066,0
"5",10399710,"58185","Rsad2","radical S-adenosyl methionine domain containing 2",0,0,1e-04,4.9094,4.9094,66.8395,0,5.0264,5.0264,68.4322,0
"6",10444244,"21354","Tap1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)",1.11e-16,2.818e-13,3e-04,3.8064,3.8064,56.3172,6.661e-16,4.5334,4.5334,67.0736,0
"7",10462621,"667370","Ifit3b","interferon-induced protein with tetratricopeptide repeats 3B",1.11e-16,2.818e-13,3e-04,4.612,4.612,57.37,4.441e-16,5.0541,5.0541,62.8692,2.22e-16
"8",10385500,"15944","Irgm1","immunity-related GTPase family M member 1",1.11e-16,2.818e-13,3e-04,4.5299,4.5299,57.0432,4.441e-16,4.8679,4.8679,61.3005,2.22e-16
"9",10462623,"15957","Ifit1","interferon-induced protein with tetratricopeptide repeats 1",1.11e-16,2.818e-13,3e-04,5.1473,5.1473,60.1707,2.22e-16,5.3555,5.3555,62.6046,2.22e-16
"10",10455961,"60440","Iigp1","interferon inducible GTPase 1",2.22e-16,5.261e-13,4e-04,5.7223,5.7223,54.3199,8.882e-16,6.0531,6.0531,57.4599,4.441e-16
"11",10441233,"17857","Mx1","MX dynamin-like GTPase 1",3.331e-16,7.398e-13,5e-04,4.4629,4.4629,56.5038,6.661e-16,4.286,4.286,54.2644,8.882e-16
"12",10496539,"229898","Gbp5","guanylate binding protein 5",4.441e-16,8.768e-13,5e-04,5.1198,5.1198,51.8169,1.776e-15,5.4107,5.4107,54.7609,8.882e-16
"13",10455954,"240327","Iigp1c","interferon inducible GTPase 1C",7.772e-16,1.315e-12,6e-04,5.3476,5.3476,51.49,1.776e-15,5.3014,5.3014,51.0448,1.998e-15
"14",10496580,"55932","Gbp3","guanylate binding protein 3",7.772e-16,1.315e-12,6e-04,4.2039,4.2039,47.4928,4.663e-15,4.799,4.799,54.2165,8.882e-16
"15",10531415,"15945","Cxcl10","C-X-C motif chemokine ligand 10",7.772e-16,1.315e-12,6e-04,5.6799,5.6799,45.7526,7.55e-15,6.8531,6.8531,55.203,8.882e-16
"16",10523359,"55985","Cxcl13","C-X-C motif chemokine ligand 13",1.332e-15,2.152e-12,6e-04,5.6379,5.6379,49.7688,2.665e-15,5.4442,5.4442,48.0589,4.219e-15
"17",10376060,"16362","Irf1","interferon regulatory factor 1",1.998e-15,2.959e-12,7e-04,4.4576,4.4576,47.024,5.329e-15,4.4949,4.4949,47.418,4.885e-15
"18",10496569,"229900","Gbp7","guanylate binding protein 7",2.109e-15,2.999e-12,7e-04,4.1634,4.1634,44.1887,1.132e-14,4.6552,4.6552,49.4092,2.887e-15
"19",10566358,"20128","Trim30a","tripartite motif-containing 30A",2.22e-15,3.035e-12,7e-04,4.8838,4.8838,47.3221,4.885e-15,4.7562,4.7562,46.0864,6.883e-15
"20",10360398,"26388","Ifi202b","interferon activated gene 202B",2.776e-15,3.653e-12,8e-04,3.9325,3.9325,45.5131,7.994e-15,4.0024,4.0024,46.3217,6.439e-15
