"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Human Diseases","Infectious disease: viral","mmu05164","Influenza A - Mus musculus (house mouse)","19/76","127/4960",1.65503382480708e-14,1.93638957502428e-12,1.06270592961297e-12,"20846/15945/20293/20304/58185/71586/16391/54123/14960/14961/217069/246728/17857/15894/19106/12702/22035/12362/20296",19
"2","Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection - Mus musculus (house mouse)","22/76","202/4960",8.88041499853726e-14,5.1950427741443e-12,2.85108060479354e-12,"12010/69550/20846/14972/20293/20304/71586/16391/15042/54123/14960/14961/246728/19106/20684/12266/21354/12702/21355/16149/24088/20296",22
"3","Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)","17/76","165/4960",2.29443615677129e-10,8.94830101140803e-09,4.91089844080873e-09,"12010/20846/14972/100038882/15945/16391/15042/54123/14960/14961/246728/15894/19106/21354/21355/24088/12505",17
"4","Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)","15/76","124/4960",3.11761377169537e-10,9.11902028220895e-09,5.00459052824783e-09,"55932/14469/15944/20846/229900/20293/20304/16391/13058/54123/246728/12364/12362/12363/20296",15
"5","Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)","14/76","132/4960",7.55711875436796e-09,1.59228184935675e-07,8.73856885386968e-08,"20846/100038882/15945/20293/71586/16391/13058/246728/17857/19106/12266/24088/12362/20296",14
"6","Cellular Processes","Transport and catabolism","mmu04145","Phagosome - Mus musculus (house mouse)","13/76","111/4960",8.16554794541921e-09,1.59228184935675e-07,8.73856885386968e-08,"14972/13058/246256/15042/14960/14961/13040/12266/21354/14129/16409/21355/24088",13
"7","Organismal Systems","Immune system","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)","9/76","49/4960",3.60483690974696e-08,6.02522740629134e-07,3.30669250367766e-07,"12010/14972/15042/14960/14961/13040/21354/21355/16149",9
"8","Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis - Mus musculus (house mouse)","9/76","61/4960",2.62583176704452e-07,3.84027895930261e-06,2.1075754972331e-06,"20846/13058/246256/14960/14961/12266/14129/16409/24088",9
"9","Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","9/76","74/4960",1.42640794471491e-06,1.85433032812938e-05,1.0176711652352e-05,"15945/20293/20304/17329/16186/22035/20306/20296/20302",9
"10","Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis - Mus musculus (house mouse)","11/76","143/4960",8.93757443483453e-06,0.000104569620887564,5.7388635844727e-05,"20846/246256/14960/14961/13040/14127/12266/14129/16409/16149/24088",11
"11","Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","8/76","71/4960",1.02389986220373e-05,0.000108905712616215,5.97683173152416e-05,"20293/20304/14960/14961/15894/24088/20296/20302",8
"12","Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C - Mus musculus (house mouse)","10/76","124/4960",1.56679906213376e-05,0.000152762908558042,8.38374936755785e-05,"15957/20846/15945/58185/16391/54123/246728/17857/19106/12702",10
"13","Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway - Mus musculus (house mouse)","8/76","81/4960",2.73742032080981e-05,0.000246367828872882,0.00013520861503595,"20846/15945/20304/16391/54123/17329/24088/20302",8
