"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","Microglia_All_Zeisel_Science_2015",0.862654320987654,0.916570216049383,-0.177700016826754,-0.687523160009128,2794,11,"Tgfbi,Ch25h,Casp4,Ccl3,Ifi27l2a,Ccl2,,Ms4a6c,Ccl12,Ms4a6d"
"2","DropViz_HC_Endothelial_Flt1_cluster-markers.csv",0.426883514039477,0.860498549854986,0.255580129041625,1.02395239132816,3070,19,"Ifit1,Gbp2,Rsad2,Trim30a,Gbp3,Isg15,Gbp7,H2-K1,Ifitm3,,Ifih1,Lcn2,Rtp4,Bst2"
"3","DropViz_STR_Endothelial_Flt1_cluster-markers.csv",0.556793179317932,0.860498549854986,0.221788260998431,0.914018985106437,4048,22,"Iigp1,Ifit1,Gbp2,Rsad2,Trim30a,Gbp3,Isg15,Gbp7,H2-K1,Ifitm3,,Ifih1,Psmb9,Rtp4,Bst2,Psmb8,Ly6a,Tmem140,Ifi35,Parp9,Lgals9"
"4","FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE",0.530246913580247,0.860498549854986,-0.24,-0.928562424184013,1717,11,"B2m,Il2rg,Irf1,Isg20,Psmb8,Psmb9,,Ifitm3,H2-K1,Isg15,Plac8"
"5","MANNO_MIDBRAIN_NEUROTYPES_HENDO",0.501713929573076,0.860498549854986,-0.235265097014688,-0.946242208506441,1609,12,"B2m,Parp14,Casp4,Irf1,Parp9,Ifi35"
"6","MANNO_MIDBRAIN_NEUROTYPES_HPERIC",0.148587933247754,0.756552076242342,-0.321318001304356,-1.31995282718879,462,13,"B2m,Tgfbi,Serping1,Parp14,Casp4,Irf1"
"7","MANNO_MIDBRAIN_NEUROTYPES_HMGL",0.0636580992229528,0.756552076242342,-0.411764705882353,-1.53248187631599,212,10,"B2m,Parp14,Casp4,Irf1,Parp9,Fcgr4,,Cd274,Stat1,Ccl12"
"8","Gandal_2018_AutismSpectrumDisorder_Upregulated_Cortex",0.80458768873403,0.911866047231901,0.19854446839238,0.715370153570403,5541,13,"Cxcl10,Gbp2,Irf7,H2-K1,Ccl12,Ifitm3,,Ccl2"
"9","BLALOCK_ALZHEIMERS_DISEASE_UP",0.136879856545129,0.756552076242342,-0.361404028328231,-1.34505244264147,457,10,"Ch25h,Tap1,Serping1,Il2rg,Casp4"
"10","Gemma_GSE126678_Enduring_and_sex-specific_changes_in_hippocampal_gene_expression_after_subchronic_immune_challenge_treatment_lipopolysaccharide_Acute.immune.challenge._vehicle_Up",0.30226624643554,0.856421031567362,0.343493015714114,1.13707116927625,2013,10,"Ifi44,Slfn4,Plac8,Ms4a6d,Irf7,Ms4a6c,,Lcn2"
"11","Gemma_GSE126678_Enduring_and_sex-specific_changes_in_hippocampal_gene_expression_after_subchronic_immune_challenge_treatment_Long.term.subchronic.immune.challenge.acute.immune.challenge_lipopolysaccharide_lipopolysaccharide_Up",0.30226624643554,0.856421031567362,0.343493015714114,1.13707116927625,2013,10,"Ifi44,Slfn4,Plac8,Ms4a6d,Irf7,Ms4a6c,,Lcn2"
"12","Gemma_GSE23182_Systemic_inflammation_modulates_Fc_receptor_expression_on_microglia_in_chronic_neurodegeneration_disease_prion.disease_Up",0.178012253233492,0.756552076242342,-0.280224391570186,-1.27174662925146,522,17,"B2m,Il2rg,Lgals9,Cd52,Fcgr4,Ccl3,Ifi27l2a,Psmb8,Bst2,Psmb9,,Lgals3bp,Ms4a6c,Stat1,H2-K1,Ms4a6d"
"13","Gemma_GSE117758_Cell-type_specific_transcriptional_profiling_of_glucocorticoid_receptor-dependent_changes_in_the_nucleus_accumbens_cell_type_astrocyte_Up",0.710493827160494,0.862742504409171,-0.206711725457229,-0.799769753740935,2301,11,"Ch25h,Irf1,Ccl3,Ly6a,Parp12,Lcn2,,Ifitm3,Lgals3bp"
"14","Gemma_GSE72343_Circuit-wide_transcriptional_profiling_reveals_region_specific_gene_co-expression_networks_regulating_depression_susceptibility_timepoint_28.d_chronic.social.defeat.stress_1.h_aggressor.re.exposure_Down",0.919753086419753,0.919753086419753,-0.148936170212766,-0.632379370287256,2830,14,"Ch25h,Il2rg,Isg20,Fcgr4,Ly6a,Trim30d,Rtp4,Lcn2,,Ms4a6c,Ccl12,Ms4a6d,Trim30a,Slfn4"
"15","Gemma_GSE72343_Circuit-wide_transcriptional_profiling_reveals_region_specific_gene_co-expression_networks_regulating_depression_susceptibility_timepoint_28.d_chronic.social.defeat.stress_Down",0.687689421272911,0.862742504409171,0.219539854317463,0.80901089220172,4764,14,"Iigp1,Trim30a,Gbp3,Ifit2,Ms4a6d,Ccl12,Ms4a6c,,Rtp4,Oasl1,Trim30d,Ly6a"
"16","Gemma_GSE85136_Sex_Differences_in_Nucleus_Accumbens_Transcriptome_Profiles_Associated_with_Susceptibility_versus_Resilience_to_Subchronic_Variable_Stress_genotype_wild.type.genotype_Down",0.490673927842069,0.860498549854986,0.227265545727091,0.965347396352522,3603,34,"Cxcl10,Iigp1,Usp18,Oasl2,Gbp2,Rsad2,Trim30a,Ifit2,Irgm1,Gbp7,Ms4a6d,Mx1,H2-K1,Stat1,Lgals3bp,Gzmb,Cd274,,Ccl2,Lcn2,Rtp4,Oasl1,Parp12,Ddx60,Psmb8"
"17","Gemma_GSE85136_Sex_Differences_in_Nucleus_Accumbens_Transcriptome_Profiles_Associated_with_Susceptibility_versus_Resilience_to_Subchronic_Variable_Stress_genotype_Dnmt3a.mouse.DNA.methyltransferase.3A_Homozygous.negative_Up",0.703436890289659,0.862742504409171,0.243578702405143,0.806323003042148,4686,10,"Usp18,Rsad2,Ms4a6d,H2-K1,Lgals3bp,,Lcn2,Parp12"
