"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)","10/35","216/9771",2.56444213693369e-09,1.84639833859226e-07,8.36817960473099e-08,"55932/14469/15944/20846/229900/20293/20304/54123/12363/20296",10
"2","Human Diseases","Infectious disease: viral","mmu05164","Influenza A - Mus musculus (house mouse)","9/35","174/9771",6.94456827745761e-09,2.50004457988474e-07,1.13306114000624e-07,"20846/15945/20293/20304/58185/71586/54123/17857/20296",9
"3","Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","7/35","95/9771",3.53662659377156e-08,8.48790382505173e-07,3.84685699673397e-07,"15945/20293/20304/17329/16186/20296/20302",7
"4","Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway - Mus musculus (house mouse)","6/35","104/9771",1.58912212779609e-06,2.86041983003297e-05,1.29638910425471e-05,"20846/15945/20304/54123/17329/20302",6
"5","Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection - Mus musculus (house mouse)","10/35","464/9771",3.32522408458267e-06,4.78832268179905e-05,2.17014624467501e-05,"12010/69550/20846/14972/20293/20304/71586/54123/21354/20296",10
"6","Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","7/35","193/9771",4.42839990019171e-06,5.31407988023006e-05,2.40842801589374e-05,"20846/15945/20293/20304/17329/20296/20302",7
"7","Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)","7/35","228/9771",1.32351726681812e-05,0.000136133204587007,6.16977974005442e-05,"12010/20846/14972/100038882/15945/54123/21354",7
"8","Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C - Mus musculus (house mouse)","6/35","167/9771",2.45212268647048e-05,0.000213103833230117,9.65821466393805e-05,"15957/20846/15945/58185/54123/17857",6
"9","Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)","7/35","254/9771",2.66379791537646e-05,0.000213103833230117,9.65821466393805e-05,"12010/14972/20293/20304/21354/20296/20302",7
"10","Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway - Mus musculus (house mouse)","5/35","118/9771",5.73315614053984e-05,0.000412787242118869,0.000187081937217616,"15945/20293/20304/16362/20296",5
"11","Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","7/35","294/9771",6.77418149393259e-05,0.000443400970511951,0.000200956580202785,"15945/20293/20304/17329/16186/20296/20302",7
"12","Organismal Systems","Immune system","mmu04622","RIG-I-like receptor signaling pathway - Mus musculus (house mouse)","4/35","73/9771",0.000126007127331058,0.000756042763986346,0.000342650960286209,"100038882/15945/71586/54123",4
"13","Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)","7/35","334/9771",0.000150708275496029,0.000783334276973383,0.00035501992085051,"20846/100038882/15945/20293/71586/17857/20296",7
"14","Human Diseases","Infectious disease: viral","mmu05162","Measles - Mus musculus (house mouse)","5/35","145/9771",0.00015231499830038,0.000783334276973383,0.00035501992085051,"20846/71586/54123/17857/16186",5
"15","Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)","7/35","359/9771",0.00023538825683492,0.00111913384352658,0.000507209782884851,"23962/20846/14972/100038882/231655/17857/16362",7
"16","Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","4/35","87/9771",0.000248696409672572,0.00111913384352658,0.000507209782884851,"20293/20304/20296/20302",4
"17","Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)","4/35","93/9771",0.000321290132274692,0.00136075820728105,0.00061671790096071,"15945/20293/16819/20296",4
"18","Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease - Mus musculus (house mouse)","4/35","103/9771",0.00047433579917815,0.0018973431967126,0.00085990700435805,"20293/20304/20296/20302",4
"19","Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)","5/35","217/9771",0.000972828554667398,0.00368650820716067,0.00167078588336229,"20293/20304/54123/20296/20302",5
"20","Genetic Information Processing","Information processing in viruses","mmu03250","Viral life cycle - HIV-1 - Mus musculus (house mouse)","3/35","63/9771",0.00144326714169322,0.00519576171009559,0.00235480428381525,"69550/209387/17857",3
"21","Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection - Mus musculus (house mouse)","5/35","241/9771",0.00155267368690245,0.00532345264080841,0.00241267590445995,"12010/69550/14972/209387/21354",5
"22","Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway - Mus musculus (house mouse)","3/35","82/9771",0.00307253496976594,0.0100555689919613,0.00455734851974853,"15945/20304/54123",3
"23","Organismal Systems","Immune system","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)","3/35","87/9771",0.00363279531727279,0.0113722288192887,0.00515408031283554,"12010/14972/21354",3
"24","Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","3/35","101/9771",0.0055198094563875,0.0165594283691625,0.00750500408543915,"20846/20293/20296",3
"25","Human Diseases","Immune disease","mmu05340","Primary immunodeficiency - Mus musculus (house mouse)","2/35","36/9771",0.00727574235088021,0.020954137970535,0.00949675843693838,"16186/21354",2
"26","Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity - Mus musculus (house mouse)","3/35","122/9771",0.00929130939210389,0.0257297798550569,0.0116611575366486,"14972/246256/14939",3
"27","Genetic Information Processing","Folding, sorting and degradation","mmu03050","Proteasome - Mus musculus (house mouse)","2/35","47/9771",0.0121809181998896,0.032482448533039,0.0147215775515235,"16912/16913",2
"28","Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","2/35","57/9771",0.0175872544076466,0.0452243684768055,0.0204964243096633,"20293/20296",2
"29","Human Diseases","Immune disease","mmu05330","Allograft rejection - Mus musculus (house mouse)","2/35","60/9771",0.0193747369716965,0.0463663159257622,0.0210139735920852,"14972/14939",2
