"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","R-MMU-380108","Chemokine receptors bind chemokines","5/30","54/8582",1.03233491995417e-06,0.000195111299871339,9.23668086274786e-05,"15945/20293/20304/17329/20302",5
"2","R-MMU-1236975","Antigen processing-Cross presentation","5/30","91/8582",1.3871706649996e-05,0.00131087627842463,0.000620576350131402,"12010/14972/16912/16913/21354",5
"3","R-MMU-1236974","ER-Phagosome pathway","3/30","33/8582",0.000195964573803712,0.0123457681496338,0.00584455746432122,"12010/14972/21354",3
"4","R-MMU-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","4/30","95/8582",0.000309730544004281,0.0130947254257187,0.00619911813526088,"12010/14972/66141/246256",4
"5","R-MMU-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","3/30","40/8582",0.000349053271966402,0.0130947254257187,0.00619911813526088,"12010/14972/21354",3
"6","R-MMU-375276","Peptide ligand-binding receptors","5/30","186/8582",0.000415705569070436,0.0130947254257187,0.00619911813526088,"15945/20293/20304/17329/20302",5
"7","R-MMU-197264","Nicotinamide salvaging","2/30","18/8582",0.00174570690987409,0.0471340865666003,0.0223135469683154,"80285/547253",2
"8","R-MMU-5620971","Pyroptosis","2/30","20/8582",0.00215847776180652,0.0509940371226789,0.024140869704415,"14939/12363",2
"9","R-MMU-1236977","Endosomal/Vacuolar pathway","2/30","24/8582",0.0031083746814409,0.0569748286004205,0.0269722106991687,"12010/14972",2
"10","R-MMU-5689880","Ub-specific processing proteases","4/30","181/8582",0.00341613202166342,0.0569748286004205,0.0269722106991687,"24110/16912/71586/16913",4
"11","R-MMU-1169410","Antiviral mechanism by IFN-stimulated genes","3/30","91/8582",0.00380661698757928,0.0569748286004205,0.0269722106991687,"24110/100038882/231655",3
"12","R-MMU-373076","Class A/1 (Rhodopsin-like receptors)","5/30","307/8582",0.00387001370067528,0.0569748286004205,0.0269722106991687,"15945/20293/20304/17329/20302",5
"13","R-MMU-1280215","Cytokine Signaling in Immune system","6/30","447/8582",0.00393849490114959,0.0569748286004205,0.0269722106991687,"24110/100038882/16912/231655/16913/16186",6
"14","R-MMU-1169408","ISG15 antiviral mechanism","2/30","28/8582",0.00422035767410522,0.0569748286004205,0.0269722106991687,"24110/100038882",2
"15","R-MMU-196807","Nicotinate metabolism","2/30","30/8582",0.00483575608914077,0.0609305267231737,0.0288448608825941,"80285/547253",2
"16","R-MMU-9020702","Interleukin-1 signaling","3/30","102/8582",0.0052429040148477,0.0619318036753885,0.0293188711356615,"24110/16912/16913",3
"17","R-MMU-983169","Class I MHC mediated antigen processing & presentation","5/30","342/8582",0.00611497284097034,0.0679841098201996,0.0321840675840544,"12010/14972/16912/16913/21354",5
"18","R-MMU-446652","Interleukin-1 family signaling","3/30","115/8582",0.00731290812147809,0.0721435797087049,0.0341531844903365,"24110/16912/16913",3
"19","R-MMU-5688426","Deubiquitination","4/30","246/8582",0.0100477634251223,0.0721435797087049,0.0341531844903365,"24110/16912/71586/16913",4
"20","R-MMU-913531","Interferon Signaling","3/30","131/8582",0.0104456501709495,0.0721435797087049,0.0341531844903365,"24110/100038882/231655",3
"21","R-MMU-500792","GPCR ligand binding","5/30","394/8582",0.0109677335181443,0.0721435797087049,0.0341531844903365,"15945/20293/20304/17329/20302",5
"22","R-MMU-1236978","Cross-presentation of soluble exogenous antigens (endosomes)","2/30","49/8582",0.012546906357606,0.0721435797087049,0.0341531844903365,"16912/16913",2
"23","R-MMU-449147","Signaling by Interleukins","4/30","266/8582",0.013111572551985,0.0721435797087049,0.0341531844903365,"24110/16912/16913/16186",4
"24","R-MMU-350562","Regulation of ornithine decarboxylase (ODC)","2/30","51/8582",0.0135445590784161,0.0721435797087049,0.0341531844903365,"16912/16913",2
"25","R-MMU-5218859","Regulated Necrosis","2/30","51/8582",0.0135445590784161,0.0721435797087049,0.0341531844903365,"14939/12363",2
