"","Entrez_ID","Gene_symbol","Gene_description","Chromosome","Map_location","Model_scientific_name","Model_common_name","Gene_function"
"1","55932","Gbp3","guanylate binding protein 3","3","3 66.69 cM","Mus musculus","house mouse","Predicted to enable GTP binding activity; GTPase activity; and protein homodimerization activity. Acts upstream of or within adhesion of symbiont to host; cellular response to interferon-beta; and defense response to other organism. Located in cytoplasmic vesicle; cytosol; and symbiont-containing vacuole membrane. Orthologous to human GBP4 (guanylate binding protein 4) and GBP7 (guanylate binding protein 7). [provided by Alliance of Genome Resources, Apr 2022]"
"2","15957","Ifit1","interferon-induced protein with tetratricopeptide repeats 1","19","19 29.78 cM","Mus musculus","house mouse","Predicted to enable RNA binding activity. Involved in response to virus. Acts upstream of or within cellular response to interferon-alpha; cellular response to interferon-beta; and response to bacterium. Located in cytoplasm. Is expressed in several structures, including alimentary system; cardiovascular system; central nervous system; eye; and genitourinary system. Orthologous to several human genes including IFIT1B (interferon induced protein with tetratricopeptide repeats 1B). [provided by Alliance of Genome Resources, Apr 2022]"
"3","24110","Usp18","ubiquitin specific peptidase 18","6","6 57.17 cM","Mus musculus","house mouse","Enables ISG15-specific protease activity. Acts upstream of or within response to bacterium and response to stilbenoid. Predicted to be located in intracellular membrane-bounded organelle. Predicted to be active in cytosol and nucleus. Is expressed in axial skeleton; lung; and mandible. Orthologous to several human genes including USP18 (ubiquitin specific peptidase 18). [provided by Alliance of Genome Resources, Apr 2022]"
"4","12010","B2m","beta-2 microglobulin","2","2 60.55 cM","Mus musculus","house mouse","Predicted to enable MHC class II protein complex binding activity and protein homodimerization activity. Involved in learning or memory; modulation of age-related behavioral decline; and negative regulation of cell differentiation. Acts upstream of or within several processes, including antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent; cellular response to iron(III) ion; and protein refolding. Located in external side of plasma membrane. Is expressed in several structures, including central nervous system; early conceptus; genitourinary system; hemolymphoid system gland; and retina. Used to study hemochromatosis and type 1 diabetes mellitus. Human ortholog(s) of this gene implicated in arthritis; familial visceral amyloidosis; immunodeficiency 43; and inflammatory bowel disease. Orthologous to human B2M (beta-2-microglobulin). [provided by Alliance of Genome Resources, Apr 2022]"
"5","14469","Gbp2","guanylate binding protein 2","3","3 66.69 cM","Mus musculus","house mouse","Predicted to enable several functions, including Hsp90 protein binding activity; cytoskeletal protein binding activity; and guanyl ribonucleotide binding activity. Acts upstream of or within several processes, including cellular response to interferon-beta; cellular response to lipopolysaccharide; and defense response to other organism. Located in cytoplasmic vesicle and symbiont-containing vacuole membrane. Is expressed in several structures, including alimentary system; brain; cardiovascular system; genitourinary system; and sensory organ. Orthologous to several human genes including GBP2 (guanylate binding protein 2). [provided by Alliance of Genome Resources, Apr 2022]"
"6","23962","Oasl2","2'-5' oligoadenylate synthetase-like 2","5","5 55.99 cM","Mus musculus","house mouse","Enables 2'-5'-oligoadenylate synthetase activity and double-stranded RNA binding activity. Involved in purine nucleotide biosynthetic process. Acts upstream of or within interleukin-27-mediated signaling pathway. Predicted to be active in cytosol; membrane; and nucleoplasm. Is expressed in central nervous system; retina; and thymus primordium. Orthologous to human OASL2P (2'-5' oligoadenylate synthetase like 2, pseudogene). [provided by Alliance of Genome Resources, Apr 2022]"
"7","69550","Bst2","bone marrow stromal cell antigen 2","8","8 34.43 cM","Mus musculus","house mouse","Predicted to enable metalloendopeptidase inhibitor activity and protein homodimerization activity. Involved in several processes, including negative regulation of intracellular transport of viral material; negative regulation of viral genome replication; and response to interferon-gamma. Located in cell surface. Is expressed in retina. Human ortholog(s) of this gene implicated in acquired immunodeficiency syndrome and endometrial cancer. Orthologous to human BST2 (bone marrow stromal cell antigen 2). [provided by Alliance of Genome Resources, Apr 2022]"
"8","60440","Iigp1","interferon inducible GTPase 1","18","18 34.36 cM","Mus musculus","house mouse","Enables GTPase activity; guanyl ribonucleotide binding activity; and identical protein binding activity. Involved in defense response to Gram-negative bacterium; defense response to protozoan; and regulation of autophagy. Acts upstream of or within cellular response to interferon-beta and response to bacterium. Located in endoplasmic reticulum membrane and symbiont-containing vacuole membrane. Is expressed in several structures, including cardiovascular system; foregut; genitourinary system; limb; and respiratory system. [provided by Alliance of Genome Resources, Apr 2022]"
"9","15944","Irgm1","immunity-related GTPase family M member 1","11","11 28.84 cM","Mus musculus","house mouse","Predicted to enable several functions, including GTPase activity; protein domain specific binding activity; and protein serine/threonine kinase activator activity. Involved in several processes, including positive regulation by symbiont of host autophagy; positive regulation of autophagosome maturation; and positive regulation of interferon-gamma-mediated signaling pathway. Acts upstream of or within cellular response to interferon-gamma and response to bacterium. Located in autolysosome; late endosome; and phagocytic vesicle. Is expressed in several structures, including alimentary system; brain; genitourinary system; hemolymphoid system gland; and liver and biliary system. Human ortholog(s) of this gene implicated in inflammatory bowel disease 19 and tuberculosis. Orthologous to human IRGM (immunity related GTPase M). [provided by Alliance of Genome Resources, Apr 2022]"
"10","20846","Stat1","signal transducer and activator of transcription 1","1","1 26.81 cM","Mus musculus","house mouse","Enables DNA-binding transcription factor activity. Involved in activation of cysteine-type endopeptidase activity involved in apoptotic process and defense response to other organism. Acts upstream of or within several processes, including cell surface receptor signaling pathway; negative regulation of macrophage fusion; and response to exogenous dsRNA. Located in cytoplasm and nucleus. Is expressed in several structures, including alimentary system; central nervous system; genitourinary system; hemolymphoid system gland; and skeletal musculature. Used to study breast cancer and severe acute respiratory syndrome. Human ortholog(s) of this gene implicated in breast carcinoma; immunodeficiency 31A; immunodeficiency 31B; immunodeficiency 31C; and prostate adenocarcinoma. Orthologous to human STAT1 (signal transducer and activator of transcription 1). [provided by Alliance of Genome Resources, Apr 2022]"
