"","Probe","NCBIid","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_84556_coefficient","contrast_84556_log2fc","contrast_84556_tstat","contrast_84556_pvalue"
"1","A_51_P109508","171285","Havcr2","hepatitis A virus cellular receptor 2",6.673e-12,2.28e-07,2.928e-05,4.9608,4.9608,8.9074,1.136e-08
"2","A_52_P185343","14674","Gna13","guanine nucleotide binding protein, alpha 13",4.106e-11,3.506e-07,1e-04,6.9631,6.9631,11.6316,1.697e-10
"3","A_52_P212756","240832","Tor1aip2","torsin A interacting protein 2",2.094e-11,3.506e-07,5.855e-05,3.5333,3.5333,7.1328,4.245e-07
"4","A_51_P191463","14990","H2-M2","histocompatibility 2, M region locus 2",2.178e-10,4.37e-07,4e-04,5.1883,5.1883,9.7706,3.603e-09
"5","A_52_P512817","66940","Shisa5","shisa family member 5",7.72e-11,4.37e-07,1e-04,5.2656,5.2656,9.9639,2.577e-09
"6","A_51_P453343","71701","Pnpt1","polyribonucleotide nucleotidyltransferase 1",2.431e-10,4.37e-07,6e-04,4.733,4.733,8.1428,1.05e-07
"7","A_52_P681771","66853","Pnpla2","patatin-like phospholipase domain containing 2",2.386e-10,4.37e-07,5e-04,5.5091,5.5091,11.0825,7.133e-10
"8","A_51_P181691","257632","Nod2","nucleotide-binding oligomerization domain containing 2",1.51e-10,4.37e-07,3e-04,5.3349,5.3349,9.7857,3.509e-09
"9","A_51_P497985","12263","C2","complement C2",9.551e-11,4.37e-07,2e-04,5.3077,5.3077,11.2924,2.881e-10
"10","A_52_P153302","69863","Ttc39b","tetratricopeptide repeat domain 39B",2.143e-10,4.37e-07,4e-04,4.8407,4.8407,8.1071,5.521e-08
"11","A_51_P469433","22163","Tnfrsf4","tumor necrosis factor receptor superfamily, member 4",1.658e-10,4.37e-07,3e-04,4.9439,4.9439,8.7778,1.459e-08
"12","A_52_P413947","17769","Mthfr","methylenetetrahydrofolate reductase",2.228e-10,4.37e-07,5e-04,4.9906,4.9906,9.706,2.545e-09
"13","A_51_P414548","12369","Casp7","caspase 7",1.785e-10,4.37e-07,4e-04,5.0453,5.0453,8.339,3.462e-08
"14","A_51_P367285","71956","Rnf135","ring finger protein 135",1.957e-10,4.37e-07,4e-04,5.2119,5.2119,9.3354,7.793e-09
"15","A_52_P416756","110956","D17H6S56E-5","DNA segment, Chr 17, human D6S56E 5",3.082e-10,4.979e-07,6e-04,6.9337,6.9337,12.3434,3.07e-11
"16","A_52_P452689","11910","Atf3","activating transcription factor 3",4.92e-10,4.979e-07,9e-04,5.1043,5.1043,7.7294,1.651e-07
"17","A_52_P1068320","21934","Tnfrsf11a","tumor necrosis factor receptor superfamily, member 11a, NFKB activator",3.54e-10,4.979e-07,7e-04,4.0898,4.0898,8.0636,6.032e-08
"18","A_51_P296755","14129","Fcgr1","Fc receptor, IgG, high affinity I",3.153e-10,4.979e-07,6e-04,2.8246,2.8246,3.3279,0.0036
"19","A_51_P128876","66141","Ifitm3","interferon induced transmembrane protein 3",4.879e-10,4.979e-07,9e-04,4.4041,4.4041,8.8099,2.04e-08
"20","A_52_P1197913","17873","Gadd45b","growth arrest and DNA-damage-inducible 45 beta",4.205e-10,4.979e-07,8e-04,5.0212,5.0212,8.4087,6.399e-08
"21","A_51_P173678","75750","Slc10a6","solute carrier family 10 (sodium/bile acid cotransporter family), member 6",4.956e-10,4.979e-07,0.001,4.2769,4.2769,7.4719,2.781e-07
"22","A_52_P574653","12122","Bid","BH3 interacting domain death agonist",4.922e-10,4.979e-07,0.001,4.5828,4.5828,7.6265,1.486e-07
"23","A_52_P253167","240832","Tor1aip2","torsin A interacting protein 2",4.646e-10,4.979e-07,8e-04,5.0491,5.0491,9.1495,1.091e-08
"24","A_52_P644690","14256","Flt3l","FMS-like tyrosine kinase 3 ligand",3.319e-10,4.979e-07,6e-04,5.102,5.102,8.8242,1.987e-08
"25","A_51_P400190","22169","Cmpk2","cytidine/uridine monophosphate kinase 2",4.872e-10,4.979e-07,9e-04,5.5327,5.5327,8.8296,1.967e-08
"26","A_51_P484020","140497","Cd300c2","CD300C molecule 2",4.452e-10,4.979e-07,8e-04,5.4873,5.4873,8.9801,1.488e-08
"27","A_51_P371190","30939","Pttg1","pituitary tumor-transforming gene 1",3.762e-10,4.979e-07,7e-04,4.2775,4.2775,8.0165,6.639e-08
"28","A_51_P195506","12977","Csf1","colony stimulating factor 1 (macrophage)",4.167e-10,4.979e-07,7e-04,5.1419,5.1419,8.8004,3.139e-08
"29","A_52_P559919","19106","Eif2ak2","eukaryotic translation initiation factor 2-alpha kinase 2",5.409e-10,5.279e-07,0.001,4.9807,4.9807,8.5161,3.549e-08
"30","A_52_P640282","20229","Sat1","spermidine/spermine N1-acetyl transferase 1",6.931e-10,6.268e-07,0.0011,4.91,4.91,10.3014,2.438e-09
"31","A_52_P412417","21929","Tnfaip3","tumor necrosis factor, alpha-induced protein 3",6.714e-10,6.268e-07,0.0011,5.5153,5.5153,9.0912,1.873e-08
"32","A_52_P192071","12633","Cflar","CASP8 and FADD-like apoptosis regulator",6.973e-10,6.268e-07,0.0011,4.5124,4.5124,7.4061,2.365e-07
"33","A_52_P51078","13036","Ctsh","cathepsin H",8.15e-10,6.79e-07,0.0012,4.799,4.799,8.9529,1.565e-08
"34","A_51_P452629","24088","Tlr2","toll-like receptor 2",7.998e-10,6.79e-07,0.0012,4.8441,4.8441,6.9183,8.79e-07
"35","A_51_P408506","15894","Icam1","intercellular adhesion molecule 1",8.665e-10,7.047e-07,0.0012,5.2412,5.2412,8.6562,2.722e-08
