"Rat_EntrezGene.ID","Mouse_EntrezGene.ID","Log2FC_estimate","SE","pval","CI_lb","CI_ub","Number_Of_Comparisons","FDR","MouseVsRat_EntrezGene.ID","Mouse_Symbol","Mouse_Genetic.Location","Mouse_Genome.Coordinates..mouse..GRCm39.human..GRCh38.","Mouse_Name","Rat_Symbol","Rat_Genetic.Location","Rat_Genome.Coordinates..mouse..GRCm39.human..GRCh38.","Rat_Name"
"114087","23825",-0.0107829768900402,0.0393744988516531,0.784194620015622,-0.0879555765485939,0.0663896227685136,8,0.865554486576252,"23825_114087","Banf1","Chr19  cM","Chr19:5414661-5416904(-)","BAF nuclear assembly factor 1","Banf1","Chr1 q43",NA,"BAF nuclear assembly factor 1"
"191569","18585",0.0308844144810204,0.0760771950618853,0.68477086714398,-0.118224147885103,0.179992976847144,8,0.790345649228519,"18585_191569","Pde9a","Chr17  cM","Chr17:31605184-31695284(+)","phosphodiesterase 9A","Pde9a","Chr20 p12",NA,"phosphodiesterase 9A"
"65041","20480",-0.113814805197505,0.0504179858235443,0.0239815514022064,-0.212632241584703,-0.0149973688103076,8,0.117527539182103,"20480_65041","Clpb","Chr7  cM","Chr7:101312958-101444667(+)","ClpB caseinolytic peptidase B","Clpb","Chr1 q32",NA,"ClpB family mitochondrial disaggregase"
"25437","13726",0.17821127215616,0.137288241996964,0.194259468225227,-0.090868737658708,0.447291281971028,8,0.355690868517346,"13726_25437","Emd","ChrX  cM","ChrX:73298293-73305154(+)","emerin","Emd","ChrX",NA,"emerin"
"25380","16952",0.945318505913365,0.425872152240628,0.0264375296052213,0.110624425503174,1.78001258632356,8,0.122936687792445,"16952_25380","Anxa1","Chr19  cM","Chr19:20350798-20368035(-)","annexin A1","Anxa1","Chr1 q51",NA,"annexin A1"
"362528","338355",0.11954212888283,0.0641693971357976,0.0624742339276904,-0.0062275784129808,0.245311836178641,8,0.18687961042099,"338355_362528","Fkbp15","Chr4  cM","Chr4:62218579-62278785(-)","FK506 binding protein 15","Fkbp15","Chr5 q24",NA,"FKBP prolyl isomerase family member 15"
"100362547","11766",0.0885115694458261,0.0516281988248247,0.0864546295398824,-0.0126778408375035,0.189700979729156,8,0.221957203490474,"11766_100362547","Ap1g2","Chr14  cM","Chr14:55336292-55344050(-)","adaptor protein complex AP-1, gamma 2 subunit","Ap1g2","Chr15",NA,"adaptor related protein complex 1 subunit gamma 2"
"294429","19386",0.192127687061551,0.110038279738846,0.0808096085766123,-0.0235433781473298,0.407798752270432,8,0.214753417839152,"19386_294429","Ranbp2","Chr10  cM","Chr10:58282674-58329977(+)","RAN binding protein 2","Ranbp2","Chr20 q11",NA,"RAN binding protein 2"
"690254","69870",-0.0959809056462628,0.0647530363649045,0.138270839768703,-0.222894524811088,0.0309327135185625,8,0.292302880932737,"69870_690254","Polr3gl","Chr3  cM","Chr3:96485188-96501497(-)","polymerase (RNA) III (DNA directed) polypeptide G like","Polr3gl","Chr2 q34",NA,"RNA polymerase III subunit GL"
"29141","14419",0.180795865255892,0.0881586976718739,0.0402864186515417,0.00800799289506374,0.353583737616719,8,0.149894918614368,"14419_29141","Gal","Chr19  cM","Chr19:3459915-3464544(-)","galanin and GMAP prepropeptide","Gal","Chr1 q42",NA,"galanin and GMAP prepropeptide"
"680427","21375",-0.735652935878054,0.37671918942649,0.0508446507512045,-1.4740089794391,0.0027031076829882,8,0.169429230703715,"21375_680427","Tbr1","Chr2  cM","Chr2:61633274-61644458(+)","T-box brain transcription factor 1","Tbr1","Chr3 q21",NA,"T-box brain transcription factor 1"
"303398","21385",-0.0057132269174293,0.030295903716943,0.850421352223181,-0.0650921070817308,0.0536656532468722,8,0.908603284136523,"21385_303398","Tbx2","Chr11  cM","Chr11:85723441-85732774(+)","T-box 2","Tbx2","Chr10 q26",NA,"T-box transcription factor 2"
"316317","27993",0.217760725470299,0.113178796803,0.0543493558014429,-0.00406564007715826,0.439587091017756,8,0.175031460942941,"27993_316317","Imp4","Chr1  cM","Chr1:34478558-34484828(+)","IMP4, U3 small nucleolar ribonucleoprotein","Imp4","Chr9 q21",NA,"IMP U3 small nucleolar ribonucleoprotein 4"
"81635","56417",0.648595119702108,0.336561925765595,0.0539647133419806,-0.0110541333659013,1.30824437277012,8,0.174672031929816,"56417_81635","Adar","Chr3  cM","Chr3:89622329-89660753(+)","adenosine deaminase, RNA-specific","Adar","Chr2 q34",NA,"adenosine deaminase, RNA-specific"
"309532","67979",0.0745054634753103,0.0316027243904608,0.0183952556397321,0.0125652618566615,0.136445665093959,8,0.104596157281417,"67979_309532","Atad1","Chr19  cM","Chr19:32649958-32717187(-)","ATPase family, AAA domain containing 1","Atad1","Chr1 q52",NA,"ATPase family, AAA domain containing 1"
"84027","56637",-0.0763611612831162,0.0459403107834451,0.0964762721768313,-0.166402515857246,0.0136801932910133,8,0.235964882365833,"56637_84027","Gsk3b","Chr16  cM","Chr16:37909363-38066446(+)","glycogen synthase kinase 3 beta","Gsk3b","Chr11 q21",NA,"glycogen synthase kinase 3 beta"
"360475","208211",-0.0119023348120341,0.0256717876162422,0.642909397890966,-0.0622181139586302,0.0384134443345621,8,0.758344312240419,"208211_360475","Alg1","Chr16  cM","Chr16:5051485-5062776(+)","ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase","Alg1","Chr10 q12",NA,"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase"
"294400","52014",-0.0151212136974739,0.0215879246461781,0.483647711805656,-0.0574327685049475,0.0271903411099997,8,0.631272651382792,"52014_294400","Nus1","Chr10  cM","Chr10:52293643-52316279(+)","NUS1 dehydrodolichyl diphosphate synthase subunit","Nus1","Chr20 q11",NA,"NUS1 dehydrodolichyl diphosphate synthase subunit"
"89826","19892",-0.186690421549342,0.112177006253554,0.0960627667285661,-0.406553313699834,0.0331724706011488,8,0.235576723930027,"19892_89826","Rpe65","Chr3  cM","Chr3:159304812-159330958(+)","retinal pigment epithelium 65","Rpe65","Chr2 q45",NA,"retinoid isomerohydrolase RPE65"
"304407","12740",0.0402672044546035,0.0521724914115814,0.440227491989646,-0.0619889996958214,0.142523408605028,8,0.591401665026762,"12740_304407","Cldn4","Chr5  cM","Chr5:134973977-134975788(-)","claudin 4","Cldn4","Chr12 q12",NA,"claudin 4"
"65130","12739",0.00197011800953846,0.0472024810346081,0.966707884038963,-0.0905450447992283,0.0944852808183052,8,0.982003910927392,"12739_65130","Cldn3","Chr5  cM","Chr5:135015068-135016326(+)","claudin 3","Cldn3","Chr12",NA,"claudin 3"
"287098","54419",-0.0107971508040307,0.0450184266285186,0.81045547832802,-0.0990316456365861,0.0774373440285247,8,0.881743119440685,"54419_287098","Cldn6","Chr17  cM","Chr17:23898345-23901417(+)","claudin 6","Cldn6","Chr10 q12",NA,"claudin 6"
"287099","56863",-0.00315119952850203,0.045150713655152,0.944358493346148,-0.0916449721688808,0.0853425731118768,8,0.968127532884858,"56863_287099","Cldn9","Chr17  cM","Chr17:23901558-23903000(-)","claudin 9","Cldn9","Chr10 q12",NA,"claudin 9"
"25682","19015",-0.00479401538522111,0.0393711378366365,0.903085359162406,-0.0819600275753909,0.0723719968049486,8,0.942962100981653,"19015_25682","Ppard","Chr17  cM","Chr17:28451715-28520446(+)","peroxisome proliferator activator receptor delta","Ppard","Chr20 p12",NA,"peroxisome proliferator-activated receptor delta"
"25662","16008",0.0217629334334126,0.0643215936546551,0.735102702659234,-0.104305073557931,0.147830940424757,8,0.830099566576496,"16008_25662","Igfbp2","Chr1  cM","Chr1:72863662-72891633(+)","insulin-like growth factor binding protein 2","Igfbp2","Chr9 q33",NA,"insulin-like growth factor binding protein 2"
"361131","80720",-0.108008919059053,0.0317291962550776,0.000663858005111847,-0.170197000977409,-0.045820837140698,8,0.0192018522695975,"80720_361131","Pbx4","Chr8  cM","Chr8:70285141-70324942(+)","pre B cell leukemia homeobox 4","Pbx4","Chr16 p14",NA,"PBX homeobox 4"
"289311","27217",-0.0807988444162289,0.047577363407565,0.0894582596075441,-0.17404876317443,0.0124510743419722,8,0.22651712068604,"27217_289311","Mixl1","Chr1  cM","Chr1:180520608-180524599(-)","Mix paired-like homeobox","Mixl1","Chr13 q26",NA,"Mix paired-like homeobox 1"
"294279","12815",0.209711444526843,0.155740066593909,0.178125914714046,-0.095533476947088,0.514956366000774,8,0.337354052558638,"12815_294279","Col11a2","Chr17  cM","Chr17:34258411-34285659(+)","collagen, type XI, alpha 2","Col11a2","Chr20",NA,"collagen type XI alpha 2 chain"
