"Rat_EntrezGene.ID","Mouse_EntrezGene.ID","Log2FC_estimate","SE","pval","CI_lb","CI_ub","Number_Of_Comparisons","FDR","MouseVsRat_EntrezGene.ID","Mouse_Symbol","Mouse_Genetic.Location","Mouse_Genome.Coordinates..mouse..GRCm39.human..GRCh38.","Mouse_Name","Rat_Symbol","Rat_Genetic.Location","Rat_Genome.Coordinates..mouse..GRCm39.human..GRCh38.","Rat_Name"
"310917","55932",3.06863117497322,0.650904634375398,2.42412379521209e-06,1.79288153422722,4.34438081571921,8,0.000456421346272102,"55932_310917","Gbp3","Chr3  cM","Chr3:142265787-142278970(+)","guanylate binding protein 3","Gbp4","Chr2 q44",NA,"guanylate binding protein 4"
"291359","17084",0.8552416005685,0.189828856777241,6.62699451080892e-06,0.483183878058696,1.22729932307831,8,0.000958417075700902,"17084_291359","Ly86","Chr13  cM","Chr13:37529276-37603012(+)","lymphocyte antigen 86","Ly86","Chr17 p12",NA,"lymphocyte antigen 86"
"56824","15957",3.61093900756341,0.806804427517348,7.61947643132529e-06,2.02963138706196,5.19224662806487,8,0.00103890014119924,"15957_56824","Ifit1","Chr19  cM","Chr19:34618289-34627409(+)","interferon-induced protein with tetratricopeptide repeats 1","Ifit1","Chr1 q53",NA,"interferon-induced protein with tetratricopeptide repeats 1"
"312688","24110",3.57730985829165,0.812146418521649,1.05901177422723e-05,1.98553212781603,5.16908758876728,8,0.00130467635740908,"24110_312688","Usp18","Chr6  cM","Chr6:121222865-121247876(+)","ubiquitin specific peptidase 18","Usp18","Chr4 q42",NA,"ubiquitin specific peptidase 18"
"24223","12010",2.0274648489417,0.465405714116474,1.32256170026066e-05,1.11528641107427,2.93964328680913,8,0.00157117181034537,"12010_24223","B2m","Chr2  cM","Chr2:121978168-121983563(+)","beta-2 microglobulin","B2m","Chr3 q35",NA,"beta-2 microglobulin"
NA,"14469",3.37505474400905,0.779643570170695,1.49807361540405e-05,1.84698142569626,4.90312806232184,8,0.00167969400091202,"14469_NA","Gbp2","Chr3  cM","Chr3:142326424-142343769(+)","guanylate binding protein 2",NA,NA,NA,NA
"304549","23962",3.47114819480399,0.805147725800514,1.62375227749632e-05,1.89308765000065,5.04920873960733,8,0.00180038044190398,"23962_304549","Oasl2","Chr5  cM","Chr5:115034997-115050295(+)","2'-5' oligoadenylate synthetase-like 2","Oasl2","Chr12 q16",NA,"2'-5' oligoadenylate synthetase-like 2"
"378947","69550",2.38630795459362,0.555329079407833,1.73042409210569e-05,1.29788295938649,3.47473294980076,8,0.00186990917115443,"69550_378947","Bst2","Chr8  cM","Chr8:71986899-71990100(-)","bone marrow stromal cell antigen 2","Bst2","Chr16 p14",NA,"bone marrow stromal cell antigen 2"
NA,"60440",3.68985085156896,0.858995528898849,1.74267514698228e-05,2.00625055204628,5.37345115109164,8,0.00186990917115443,"60440_NA","Iigp1","Chr18  cM","Chr18:60509099-60525706(+)","interferon inducible GTPase 1",NA,NA,NA,NA
"303090","15944",2.81762695319451,0.663585130216251,2.17555555910447e-05,1.51702399729433,4.11822990909468,8,0.00223813081693851,"15944_303090","Irgm1","Chr11  cM","Chr11:48756072-48762247(-)","immunity-related GTPase family M member 1","Irgm","Chr10 q21",NA,"immunity-related GTPase M"
NA,"20846",2.59257701872169,0.616680022132245,2.62137061135708e-05,1.38390638535713,3.80124765208626,8,0.00251525551257041,"20846_NA","Stat1","Chr1  cM","Chr1:52158599-52201024(+)","signal transducer and activator of transcription 1",NA,NA,NA,NA
"685067","229900",2.79399715493336,0.666178505161249,2.7399722918168e-05,1.48831127754259,4.09968303232414,8,0.00254771114938524,"229900_685067","Gbp7","Chr3  cM","Chr3:142236103-142255910(+)","guanylate binding protein 7","Gbp7","Chr2 q44",NA,"guanylate binding protein 7"
NA,"20128",3.07517725435432,0.740699191442223,3.29982709769e-05,1.62343351574962,4.52692099295901,8,0.00286864779162299,"20128_NA","Trim30a","Chr7  cM","Chr7:104058232-104114400(-)","tripartite motif-containing 30A",NA,NA,NA,NA
NA,"14972",2.60985243515478,0.63219696239089,3.65571466782371e-05,1.37076915773302,3.84893571257655,8,0.00306640541877571,"14972_NA","H2-K1","Chr17  cM","Chr17:34214986-34219316(-)","histocompatibility 2, K1, K region",NA,NA,NA,NA
